step,bear_target,bear_other,w_cmd,on_target
1,-16.1,16.1,-0.120,1
2,-16.0,16.5,-0.240,1
3,-15.8,17.4,-0.346,1
4,-15.8,18.4,-0.331,1
5,-15.8,19.8,-0.275,1
6,-15.7,21.1,-0.155,1
7,-15.9,22.4,-0.107,1
8,-16.2,23.6,-0.126,1
9,-16.8,24.5,-0.006,1
10,-17.4,25.3,0.114,1
11,-18.0,26.0,0.152,1
12,-18.8,26.5,0.228,1
13,-19.6,26.8,0.165,1
14,-20.4,27.0,0.134,1
15,-21.2,27.2,0.095,1
16,-21.8,27.3,0.098,1
17,-22.2,27.5,0.057,1
18,-22.5,27.6,0.039,1
19,-22.7,27.7,0.098,1
20,-22.8,27.7,-0.022,1
21,-22.7,27.6,-0.057,1
22,-22.6,27.7,0.063,1
23,-22.5,27.9,0.082,1
24,-22.5,28.0,-0.038,1
25,-22.7,28.1,-0.070,1
26,-22.7,28.3,-0.127,1
27,-22.8,28.7,-0.161,1
28,-22.8,29.1,-0.281,1
29,-22.8,29.7,-0.161,1
30,-22.7,30.4,-0.041,1
31,-22.7,31.1,0.079,1
32,-22.9,31.6,0.040,1
33,-23.1,31.9,-0.009,1
34,-23.2,32.3,-0.055,1
35,-23.1,32.7,-0.146,1
36,-22.8,33.2,-0.039,1
37,-22.1,33.9,-0.010,1
38,-21.4,34.5,0.022,1
39,-20.5,35.2,-0.018,1
40,-19.3,35.9,-0.138,1
41,-18.0,36.6,-0.211,1
42,-16.2,37.6,-0.173,1
43,-14.3,38.7,-0.142,1
44,-12.2,39.8,-0.022,1
45,-10.0,41.0,0.098,1
46,-7.8,42.0,0.218,1
47,-5.8,43.0,0.330,1
48,-4.2,43.9,0.370,1
49,-4.1,44.6,0.250,1
50,-3.9,45.2,0.130,1
51,-3.7,45.7,0.103,1
52,-3.2,46.6,0.223,1
53,-2.7,47.5,0.343,1
54,-2.3,48.3,0.460,1
55,-1.7,48.9,0.580,1
56,-1.7,49.3,0.600,1
57,-2.1,49.3,0.600,1
58,-2.8,49.0,0.600,1
59,-3.5,48.3,0.480,1
60,-4.6,47.7,0.360,1
61,-5.7,47.0,0.240,1
62,-6.3,46.5,0.140,1
63,-6.7,46.5,0.154,1
64,-6.4,46.9,0.163,1
65,-5.8,47.7,0.274,1
66,-4.9,48.7,0.241,1
67,-4.4,49.7,0.361,1
68,-3.6,50.6,0.413,1
69,-2.9,51.5,0.293,1
70,-2.4,52.3,0.173,1
71,-1.7,53.1,0.135,1
72,-0.9,54.2,0.143,1
73,0.1,55.3,0.263,1
74,0.9,56.4,0.383,1
75,1.8,57.5,0.464,1
76,2.5,58.4,0.505,1
77,3.1,59.3,0.600,1
78,3.6,60.1,0.585,1
79,4.1,60.9,0.465,1
80,4.6,61.7,0.345,1
81,5.1,62.5,0.325,1
82,5.8,63.5,0.406,1
83,6.6,64.7,0.526,1
84,7.3,65.7,0.470,1
85,8.0,66.8,0.423,1
86,8.9,68.1,0.450,1
87,9.5,69.1,0.392,1
88,10.0,70.0,0.361,1
89,10.6,71.1,0.282,1
90,11.6,72.2,0.236,1
91,12.2,73.3,0.217,1
92,13.4,74.7,0.327,1
93,14.1,76.0,0.324,1
94,15.1,77.3,0.306,1
95,16.1,78.5,0.314,1
96,17.0,79.6,0.321,1
97,17.8,80.8,0.312,1
98,18.7,82.0,0.348,1
99,19.4,83.0,0.270,1
100,20.2,84.1,0.370,1
101,20.9,85.1,0.315,1
102,21.7,86.0,0.328,1
103,22.7,86.7,0.376,1
104,23.7,87.5,0.321,1
105,24.8,88.4,0.306,1
106,26.0,89.4,0.384,1
107,27.3,90.5,0.437,1
108,28.5,91.6,0.457,1
109,29.5,92.5,0.577,1
110,30.5,93.3,0.590,1
111,31.3,93.9,0.536,1
112,31.5,94.1,0.564,1
113,31.6,94.1,0.444,1
114,31.7,94.0,0.387,1
115,31.8,94.0,0.391,1
116,32.0,94.1,0.438,1
117,32.5,94.5,0.421,1
118,33.0,95.0,0.462,1
119,33.4,95.3,0.582,1
120,33.7,95.4,0.600,1
121,33.7,95.4,0.600,1
122,33.9,95.6,0.600,1
123,34.2,95.8,0.600,1
124,34.4,95.8,0.600,1
125,34.5,95.9,0.600,1
126,34.6,96.0,0.600,1
127,34.8,96.1,0.600,1
128,35.2,96.4,0.600,1
129,35.5,96.6,0.483,1
130,35.9,97.0,0.600,1
131,36.6,97.6,0.480,1
132,37.3,98.2,0.360,1
133,38.1,98.9,0.240,1
134,39.1,99.9,0.120,1
135,40.2,101.0,0.000,1
136,41.5,102.2,-0.120,1
137,43.0,103.7,-0.240,1
138,44.7,105.3,-0.360,1
139,46.5,107.0,-0.480,1
140,48.3,108.7,-0.600,1
141,50.3,110.7,-0.600,1
142,52.7,113.0,-0.600,1
143,54.7,115.4,-0.600,1
144,55.9,118.0,-0.600,1
145,57.7,121.0,-0.600,1
146,59.9,124.1,-0.600,1
147,63.3,127.5,-0.600,1
148,65.5,129.8,-0.600,1
149,68.2,132.5,-0.600,1
150,70.9,135.3,-0.600,1
151,73.3,137.9,-0.600,1
152,75.6,140.4,-0.600,1
153,77.7,142.7,-0.600,1
154,79.8,144.9,-0.600,1
155,81.3,146.8,-0.600,1
156,81.8,148.7,-0.600,1
157,82.4,150.6,-0.600,1
158,82.8,152.4,-0.600,1
159,83.3,154.2,-0.600,1
160,83.8,156.3,-0.600,1
161,84.2,157.7,-0.600,1
162,84.5,159.5,-0.600,1
163,84.9,161.2,-0.600,1
164,85.3,162.9,-0.600,1
165,85.7,164.6,-0.600,1
166,86.1,166.3,-0.600,1
167,86.4,168.0,-0.600,1
168,86.8,169.7,-0.600,1
169,87.1,171.3,-0.600,1
170,87.4,173.0,-0.600,1
171,87.6,174.6,-0.600,1
172,88.0,176.2,-0.600,1
173,88.3,177.9,-0.600,1
174,88.6,179.6,-0.600,1
175,89.1,-178.6,-0.600,1
176,89.5,-176.8,-0.600,1
177,89.8,-175.2,-0.594,1
178,89.5,-173.4,-0.474,1
179,88.3,-171.8,-0.594,1
180,87.0,-170.2,-0.600,1
181,85.6,-168.5,-0.600,1
182,84.2,-166.8,-0.600,1
183,82.7,-165.1,-0.600,1
184,81.3,-163.3,-0.600,1
185,80.0,-161.5,-0.600,1
186,78.6,-159.7,-0.600,1
187,77.2,-157.9,-0.600,1
188,75.8,-156.1,-0.480,1
189,74.4,-154.3,-0.600,1
190,72.9,-152.5,-0.600,1
191,71.4,-150.7,-0.600,1
192,70.1,-148.7,-0.600,1
193,69.0,-146.5,-0.600,1
194,67.9,-144.3,-0.600,1
