step,bear_target,bear_other,w_cmd,on_target
1,16.1,-16.3,0.002,1
2,16.1,-17.0,0.060,1
3,16.1,-17.7,0.045,1
4,15.7,-18.4,-0.015,1
5,15.3,-19.0,-0.025,1
6,14.8,-19.7,-0.033,1
7,14.5,-20.3,-0.037,1
8,14.3,-20.8,0.012,1
9,14.1,-21.3,0.057,1
10,14.0,-21.8,0.020,1
11,13.9,-22.3,-0.034,1
12,13.9,-22.7,-0.027,1
13,14.0,-23.0,-0.058,1
14,14.2,-23.4,-0.100,1
15,14.5,-23.7,-0.060,1
16,14.8,-24.0,-0.085,1
17,15.0,-24.4,-0.041,1
18,15.3,-24.6,-0.051,1
19,15.6,-25.0,-0.018,1
20,15.9,-25.3,-0.041,1
21,16.2,-25.6,-0.069,1
22,16.5,-26.0,-0.052,1
23,16.9,-26.3,0.065,1
24,17.2,-26.7,0.038,1
25,17.4,-27.1,0.029,1
26,17.7,-27.5,0.013,1
27,18.0,-27.9,0.056,1
28,18.5,-28.4,0.097,1
29,18.9,-28.8,-0.023,1
30,19.3,-29.3,0.020,1
31,19.9,-29.8,0.032,1
32,20.4,-30.2,0.084,1
33,21.1,-30.7,0.133,1
34,21.7,-31.2,0.089,1
35,22.4,-31.7,0.062,1
36,23.0,-32.2,0.036,1
37,23.8,-32.6,0.035,1
38,24.8,-33.0,0.030,1
39,25.7,-33.4,0.150,1
40,26.6,-33.8,0.270,1
41,27.5,-34.2,0.390,1
42,28.2,-34.9,0.510,1
43,28.6,-35.7,0.495,1
44,28.5,-36.9,0.498,1
45,28.3,-38.3,0.477,1
46,27.8,-39.7,0.454,1
47,27.5,-40.8,0.359,1
48,27.1,-41.9,0.295,1
49,27.0,-42.8,0.415,1
50,27.2,-42.9,0.535,1
51,27.8,-42.7,0.600,1
52,28.4,-42.5,0.600,1
53,29.0,-42.0,0.532,1
54,29.7,-41.5,0.482,1
55,30.5,-40.7,0.418,1
56,31.3,-39.9,0.410,1
57,32.2,-38.9,0.441,1
58,33.1,-38.0,0.464,1
59,33.8,-37.2,0.584,1
60,34.5,-36.4,0.600,1
61,35.0,-35.8,0.600,1
62,35.6,-35.2,0.600,0
63,36.2,-34.6,0.600,0
64,36.8,-33.9,0.600,0
65,37.4,-33.2,0.600,0
66,38.1,-32.5,0.600,0
67,38.7,-31.9,0.600,0
68,39.2,-31.3,0.600,0
69,39.4,-31.1,0.480,0
70,39.2,-31.3,0.360,0
71,38.8,-31.7,0.240,0
72,38.7,-31.8,0.120,0
73,38.9,-31.6,0.000,0
74,39.5,-31.0,-0.120,0
75,40.7,-29.9,-0.240,0
76,42.2,-28.4,-0.360,0
77,44.1,-26.6,-0.480,0
78,46.3,-24.5,-0.593,0
79,48.9,-21.9,-0.600,0
80,51.9,-19.0,-0.600,0
81,55.3,-15.7,-0.600,0
82,58.8,-12.4,-0.480,0
83,62.2,-9.1,-0.360,0
84,64.8,-6.6,-0.240,0
85,66.6,-5.0,-0.120,0
86,68.2,-3.5,0.000,0
87,69.7,-2.1,0.120,0
88,71.2,-0.9,0.240,0
89,72.4,0.2,0.120,0
90,73.6,1.3,0.000,0
91,74.8,2.3,-0.120,0
92,76.3,3.5,-0.240,0
93,77.8,4.8,-0.360,0
94,79.5,6.3,-0.480,0
95,81.3,7.8,-0.600,0
96,83.2,9.5,-0.600,0
97,85.2,11.4,-0.600,0
98,86.2,13.6,-0.600,0
99,86.9,15.5,-0.480,0
100,87.6,17.3,-0.600,0
101,88.2,19.1,-0.600,0
102,88.7,20.8,-0.600,0
103,89.4,22.6,-0.600,0
104,90.1,24.5,-0.600,0
105,90.8,26.3,-0.600,0
106,91.3,28.0,-0.600,0
107,91.8,29.6,-0.600,0
108,92.4,31.3,-0.600,0
109,92.8,32.7,-0.480,0
110,93.4,34.3,-0.360,0
111,93.8,35.7,-0.240,0
112,94.0,37.0,-0.120,0
113,93.9,38.0,0.000,0
114,94.0,39.0,0.120,0
115,93.9,39.8,0.240,0
116,93.8,40.6,0.360,0
117,93.7,41.4,0.480,0
118,93.5,42.0,0.564,0
119,93.3,42.4,0.600,0
120,92.7,42.6,0.600,0
121,92.1,42.8,0.600,0
122,91.6,43.1,0.600,0
123,91.2,43.4,0.600,0
124,90.7,43.7,0.600,0
125,90.2,43.9,0.600,0
126,89.6,44.0,0.600,0
127,88.9,44.0,0.600,0
128,88.3,44.1,0.600,0
129,87.4,44.0,0.600,0
130,86.5,43.7,0.600,0
131,85.4,43.4,0.600,0
132,84.1,42.8,0.600,0
133,83.0,42.4,0.600,0
134,81.6,41.8,0.600,0
135,80.2,41.1,0.600,0
136,78.7,40.3,0.600,0
137,77.0,39.4,0.600,0
138,75.1,38.3,0.600,0
139,73.5,37.3,0.480,0
140,72.4,37.0,0.360,0
141,71.6,36.9,0.240,0
142,71.2,37.1,0.120,0
143,70.8,37.3,0.000,0
144,70.6,37.8,-0.120,0
145,70.6,38.5,-0.240,0
146,70.8,39.3,-0.360,0
147,71.3,40.4,-0.480,0
148,71.9,41.7,-0.600,0
149,73.0,43.3,-0.480,0
150,74.1,45.0,-0.360,0
151,75.1,46.6,-0.240,0
152,75.8,48.0,-0.120,0
153,76.3,49.1,0.000,0
154,76.6,50.0,0.120,0
155,76.7,50.7,0.240,0
156,76.6,51.2,0.360,0
157,76.2,51.4,0.480,0
158,75.4,51.3,0.600,0
159,74.3,50.8,0.600,0
160,72.6,49.8,0.600,0
161,70.8,48.6,0.600,0
162,69.4,48.3,0.600,0
163,68.5,48.0,0.600,0
164,67.8,47.9,0.600,0
165,67.1,47.8,0.600,0
166,66.2,47.6,0.600,0
167,65.4,47.4,0.600,0
168,64.5,47.1,0.600,0
169,63.4,46.6,0.600,0
170,62.0,45.9,0.600,0
171,60.4,44.8,0.600,0
172,59.0,44.0,0.589,0
173,57.3,43.0,0.469,0
174,55.9,42.2,0.349,0
175,54.7,41.7,0.229,0
176,54.1,41.7,0.109,0
177,53.7,42.0,-0.011,0
178,53.5,42.4,-0.131,0
179,53.4,43.2,-0.251,0
180,53.5,43.9,-0.371,0
181,53.8,44.8,-0.491,0
182,54.4,46.0,-0.600,0
183,55.0,47.3,-0.600,0
184,55.7,48.6,-0.600,0
185,56.5,49.9,-0.600,0
186,57.2,51.3,-0.600,0
187,58.1,52.8,-0.600,0
188,59.2,54.5,-0.600,0
189,60.8,56.9,-0.600,0
190,62.4,58.8,-0.600,0
191,64.4,61.3,-0.600,0
192,66.1,63.6,-0.600,0
193,67.6,65.6,-0.600,0
194,68.9,67.5,-0.600,0
195,70.1,69.2,-0.600,0
196,71.0,70.6,-0.600,0
197,71.8,72.0,-0.600,1
198,72.5,73.3,-0.600,1
199,73.3,74.6,-0.600,1
200,73.9,75.8,-0.600,1
201,74.3,76.9,-0.600,1
202,74.8,77.9,-0.600,1
203,75.5,79.1,-0.600,1
204,75.8,80.1,-0.600,1
205,76.2,81.1,-0.600,1
206,76.7,82.3,-0.600,1
207,77.2,83.4,-0.600,1
208,77.7,84.5,-0.600,1
209,78.1,85.5,-0.600,1
210,78.6,86.6,-0.600,1
211,79.0,87.7,-0.600,1
212,79.3,88.7,-0.600,1
213,79.9,89.7,-0.600,1
214,80.3,90.8,-0.600,1
215,80.8,91.9,-0.600,1
216,81.2,93.0,-0.600,1
217,81.6,94.1,-0.568,1
218,82.0,95.1,-0.579,1
219,82.3,96.1,-0.600,1
220,82.6,97.1,-0.600,1
221,83.0,98.1,-0.600,1
222,83.3,99.1,-0.600,1
223,83.6,100.1,-0.600,1
224,83.9,101.1,-0.600,1
225,84.3,102.2,-0.600,1
226,84.8,103.3,-0.600,1
227,85.2,104.3,-0.600,1
228,85.6,105.4,-0.600,1
229,86.0,106.5,-0.600,1
230,86.4,107.6,-0.600,1
231,86.9,108.6,-0.600,1
232,87.3,109.7,-0.600,1
233,87.9,110.9,-0.600,1
234,88.5,112.1,-0.600,1
235,89.1,113.5,-0.600,1
236,89.8,114.8,-0.600,1
237,90.7,116.5,-0.600,1
238,91.4,117.8,-0.600,1
239,92.2,119.2,-0.600,1
240,92.5,120.4,-0.600,1
241,93.2,121.3,-0.600,1
242,94.1,122.2,-0.600,1
243,94.7,122.9,-0.600,1
244,95.5,123.8,-0.600,1
245,96.6,124.9,-0.600,1
246,97.7,126.0,-0.600,1
247,99.0,127.3,-0.600,1
248,100.6,129.0,-0.600,1
249,102.1,130.6,-0.600,1
250,103.6,133.0,-0.600,1
251,105.2,135.6,-0.600,1
252,106.5,137.9,-0.600,1
253,108.1,140.3,-0.600,1
254,109.1,142.2,-0.600,1
255,109.9,143.9,-0.600,1
