step,bear_target,bear_other,w_cmd,on_target
1,16.5,-9.0,-0.010,0
2,16.5,-8.7,0.020,0
3,16.5,-8.4,-0.011,0
4,16.5,-8.1,-0.015,0
5,16.5,-7.7,-0.003,0
6,16.5,-7.4,0.017,0
7,16.7,-7.1,0.032,0
8,17.0,-6.8,0.083,0
9,17.3,-6.4,-0.037,0
10,17.4,-6.2,-0.089,0
11,17.5,-5.9,-0.041,0
12,17.7,-5.4,0.079,0
13,17.7,-5.0,0.135,0
14,17.5,-4.7,0.141,0
15,17.2,-4.5,0.210,0
16,16.6,-4.4,0.148,0
17,15.9,-4.4,0.103,0
18,15.3,-4.4,0.065,0
19,14.7,-4.2,0.143,0
20,14.2,-3.9,0.176,0
21,13.6,-3.7,0.203,0
22,13.0,-3.5,0.127,0
23,12.2,-3.5,0.024,0
24,11.6,-3.3,-0.004,0
25,11.1,-2.9,0.020,0
26,10.7,-2.5,0.017,0
27,10.2,-2.1,0.035,0
28,9.7,-1.7,0.100,0
29,9.2,-1.3,0.110,0
30,8.6,-1.0,0.115,0
31,7.9,-0.7,0.100,0
32,7.1,-0.5,0.203,0
33,6.3,-0.2,0.207,0
34,5.3,-0.1,0.327,0
35,4.1,-0.1,0.337,0
36,2.7,-0.2,0.329,0
37,1.1,-0.6,0.316,0
38,-0.5,-0.8,0.242,1
39,-2.1,-1.1,0.122,0
40,-3.6,-1.3,0.002,0
41,-4.9,-1.1,-0.118,0
42,-5.9,-0.7,-0.197,0
43,-6.8,-0.1,-0.189,0
44,-7.5,0.6,-0.172,0
45,-8.3,1.3,-0.182,0
46,-9.1,2.0,-0.178,0
47,-9.9,2.8,-0.233,0
48,-10.7,3.5,-0.189,0
49,-11.5,4.3,-0.309,0
50,-12.3,5.1,-0.391,0
51,-13.0,6.0,-0.377,0
52,-13.4,7.2,-0.340,0
53,-13.7,8.5,-0.350,0
54,-13.9,9.8,-0.230,0
55,-14.2,11.2,-0.143,0
56,-14.9,12.1,-0.151,0
57,-15.8,12.8,-0.174,0
58,-16.7,13.5,-0.146,0
59,-17.8,14.1,-0.266,0
60,-18.7,14.7,-0.235,0
61,-19.7,15.4,-0.179,0
62,-20.6,16.1,-0.211,0
63,-21.5,16.8,-0.251,0
64,-22.4,17.6,-0.239,0
65,-23.2,18.4,-0.119,0
66,-24.0,19.1,-0.049,0
67,-25.1,19.8,-0.036,0
68,-26.1,20.3,-0.069,0
69,-27.2,20.8,-0.189,0
70,-28.3,21.3,-0.309,0
71,-29.3,22.0,-0.429,0
72,-29.9,23.0,-0.460,0
73,-30.1,24.4,-0.496,0
74,-30.0,26.0,-0.437,0
75,-29.8,27.8,-0.437,0
76,-29.7,29.4,-0.446,0
77,-29.6,31.1,-0.451,1
78,-29.5,32.7,-0.368,1
79,-29.5,34.3,-0.248,1
80,-29.5,35.8,-0.179,1
81,-29.8,37.1,-0.183,1
82,-30.4,38.0,-0.159,1
83,-31.1,38.9,-0.171,1
84,-31.8,39.7,-0.202,1
85,-32.6,40.5,-0.267,1
86,-33.2,41.3,-0.387,1
87,-33.7,42.4,-0.380,1
88,-34.0,43.6,-0.395,1
89,-34.3,44.8,-0.515,1
90,-34.7,46.0,-0.600,1
91,-34.8,47.4,-0.600,1
92,-34.5,48.6,-0.600,1
93,-34.1,50.1,-0.600,1
94,-33.6,51.6,-0.600,1
95,-33.0,53.2,-0.600,1
96,-32.6,54.7,-0.600,1
97,-32.3,56.0,-0.600,1
98,-32.1,57.3,-0.600,1
99,-31.7,58.8,-0.600,1
100,-31.2,60.6,-0.600,1
101,-31.0,61.7,-0.600,1
102,-30.8,62.9,-0.600,1
103,-30.5,64.3,-0.551,1
104,-30.4,65.5,-0.534,1
105,-30.2,66.8,-0.514,1
106,-30.0,68.7,-0.557,1
107,-29.8,70.6,-0.561,1
108,-29.6,72.6,-0.600,1
109,-29.4,74.4,-0.600,1
110,-29.2,76.3,-0.600,1
111,-29.0,78.2,-0.600,1
112,-28.7,80.1,-0.600,1
113,-28.3,82.1,-0.600,1
114,-27.7,84.1,-0.600,1
115,-26.9,86.4,-0.600,1
116,-25.9,88.8,-0.600,1
117,-24.9,91.3,-0.600,1
118,-24.0,93.7,-0.600,1
119,-23.1,95.9,-0.600,1
120,-22.3,98.2,-0.600,1
121,-21.6,100.3,-0.600,1
122,-21.1,102.3,-0.600,1
123,-20.6,104.1,-0.600,1
124,-20.3,105.9,-0.554,1
125,-20.1,107.5,-0.526,1
126,-19.8,109.2,-0.552,1
127,-19.6,110.8,-0.530,1
128,-19.5,112.3,-0.572,1
129,-19.3,113.9,-0.600,1
130,-19.1,115.5,-0.600,1
131,-18.7,117.3,-0.568,1
132,-18.0,119.4,-0.509,1
133,-17.6,121.2,-0.442,1
134,-17.6,122.7,-0.421,1
135,-17.7,124.0,-0.541,1
136,-17.7,125.3,-0.510,1
137,-17.6,126.8,-0.523,1
138,-17.5,128.3,-0.469,1
139,-17.2,130.0,-0.349,1
140,-17.1,131.5,-0.313,1
141,-17.2,132.8,-0.261,1
142,-17.5,133.9,-0.278,1
143,-17.8,135.0,-0.328,1
144,-18.3,136.0,-0.343,1
145,-18.5,137.2,-0.242,1
146,-18.7,138.4,-0.259,1
147,-19.1,139.5,-0.272,1
148,-19.3,140.7,-0.268,1
149,-19.5,142.0,-0.388,1
150,-19.8,143.2,-0.449,1
151,-19.9,144.5,-0.399,1
152,-19.9,145.9,-0.459,1
153,-19.2,147.4,-0.430,1
154,-18.5,149.0,-0.426,1
155,-17.9,150.5,-0.431,1
156,-17.3,152.1,-0.383,1
157,-16.6,153.7,-0.432,1
158,-16.1,155.2,-0.384,1
159,-15.4,156.9,-0.264,1
160,-14.9,158.4,-0.320,1
161,-14.4,160.0,-0.286,1
162,-13.9,161.6,-0.318,1
163,-13.3,163.3,-0.349,1
164,-12.8,164.9,-0.341,1
165,-12.3,166.6,-0.317,1
166,-11.9,168.2,-0.334,1
167,-11.6,169.8,-0.298,1
168,-11.0,171.6,-0.314,1
169,-10.9,173.3,-0.358,1
170,-11.3,175.1,-0.327,1
171,-11.7,176.9,-0.315,1
172,-12.2,178.6,-0.342,1
173,-12.7,-179.7,-0.364,1
174,-13.0,-178.0,-0.369,1
175,-13.2,-176.1,-0.364,1
176,-13.1,-174.2,-0.366,1
177,-13.1,-172.2,-0.424,1
178,-12.9,-170.2,-0.395,1
179,-12.6,-168.1,-0.275,1
180,-12.4,-166.1,-0.322,1
181,-12.3,-164.1,-0.397,1
182,-12.3,-162.1,-0.436,1
183,-12.4,-160.2,-0.455,1
184,-12.2,-157.9,-0.393,1
185,-12.4,-155.8,-0.420,1
186,-12.8,-153.9,-0.372,1
187,-13.2,-151.9,-0.277,1
188,-13.8,-150.1,-0.260,1
189,-14.6,-148.5,-0.330,1
190,-15.6,-146.9,-0.321,1
191,-16.5,-145.2,-0.279,1
192,-17.2,-143.3,-0.304,1
193,-18.0,-141.5,-0.273,1
194,-18.8,-139.6,-0.274,1
195,-19.9,-137.9,-0.278,1
196,-20.9,-136.3,-0.231,1
197,-21.9,-134.5,-0.219,1
198,-23.0,-132.9,-0.177,1
199,-24.2,-131.3,-0.297,1
200,-25.4,-129.8,-0.417,1
201,-26.6,-128.3,-0.492,1
202,-27.5,-126.5,-0.490,1
203,-28.4,-124.7,-0.440,1
204,-29.2,-122.7,-0.439,1
205,-30.0,-120.8,-0.444,1
206,-31.0,-119.2,-0.464,1
207,-31.9,-117.4,-0.440,1
208,-32.8,-115.7,-0.423,1
209,-33.7,-114.0,-0.543,1
210,-34.7,-112.4,-0.600,1
211,-35.6,-110.7,-0.600,1
212,-36.5,-109.0,-0.600,1
213,-37.3,-107.3,-0.563,1
214,-38.0,-105.5,-0.573,1
215,-38.5,-103.6,-0.555,1
216,-39.1,-101.7,-0.549,1
217,-39.6,-99.8,-0.525,1
218,-40.1,-97.9,-0.506,1
219,-40.8,-96.1,-0.600,1
220,-41.5,-94.6,-0.600,1
221,-42.2,-92.9,-0.600,1
222,-42.8,-91.2,-0.600,1
223,-43.1,-89.2,-0.600,1
224,-43.2,-87.1,-0.600,1
225,-43.3,-84.9,-0.600,1
226,-43.3,-82.7,-0.600,1
227,-43.6,-80.9,-0.600,1
228,-44.3,-79.4,-0.600,1
229,-44.8,-77.7,-0.600,1
230,-45.2,-76.0,-0.600,1
231,-45.3,-74.0,-0.600,1
232,-45.3,-71.9,-0.600,1
233,-44.9,-69.5,-0.600,1
234,-44.4,-66.8,-0.600,1
235,-44.0,-64.4,-0.600,1
236,-43.8,-62.2,-0.600,1
237,-44.7,-61.1,-0.600,1
238,-45.6,-60.1,-0.600,1
239,-46.4,-58.9,-0.600,1
240,-47.0,-57.5,-0.600,1
241,-47.8,-56.4,-0.600,1
242,-48.6,-55.6,-0.600,1
243,-49.2,-54.7,-0.600,1
244,-49.3,-53.4,-0.600,1
245,-49.2,-51.8,-0.600,1
246,-48.6,-49.8,-0.600,1
247,-47.8,-47.6,-0.572,0
248,-46.8,-45.2,-0.577,0
249,-46.0,-42.8,-0.600,0
250,-45.2,-40.6,-0.600,0
251,-44.5,-38.4,-0.600,0
252,-43.7,-36.3,-0.600,0
253,-42.9,-34.0,-0.600,0
254,-42.5,-32.1,-0.600,0
255,-42.0,-30.2,-0.600,0
256,-41.4,-27.8,-0.600,0
257,-40.8,-25.0,-0.600,0
258,-40.1,-22.1,-0.600,0
259,-39.3,-19.1,-0.480,0
260,-38.4,-15.9,-0.360,0
261,-37.7,-13.1,-0.240,0
262,-37.5,-10.7,-0.120,0
263,-37.8,-8.7,-0.141,0
264,-38.6,-7.3,-0.208,0
265,-39.6,-6.2,-0.253,0
266,-40.6,-5.0,-0.241,0
267,-41.4,-3.7,-0.240,0
268,-42.2,-2.4,-0.253,0
269,-42.9,-1.1,-0.167,0
270,-43.6,0.2,-0.193,0
271,-44.4,1.4,-0.183,0
272,-45.2,2.4,-0.173,0
273,-46.1,3.2,-0.179,0
274,-47.1,3.9,-0.170,0
275,-48.1,4.6,-0.190,0
276,-49.0,5.1,-0.198,0
277,-49.9,5.6,-0.194,0
278,-50.8,6.1,-0.169,0
279,-50.3,6.6,-0.138,0
280,-49.8,7.1,-0.194,0
281,-49.4,7.5,-0.133,0
282,-49.0,7.9,-0.107,0
283,-48.6,8.2,-0.100,0
284,-48.4,8.5,-0.123,0
285,-48.2,8.7,-0.101,0
286,-47.9,9.1,-0.075,0
287,-47.7,9.5,-0.056,0
288,-47.5,9.9,-0.075,0
289,-47.4,10.2,0.045,0
290,-47.3,10.7,0.054,0
291,-47.3,11.0,0.174,0
292,-47.4,11.3,0.117,0
293,-47.6,11.5,0.052,0
294,-47.7,11.8,0.105,0
295,-47.8,12.1,0.046,0
296,-47.9,12.5,0.091,0
297,-47.9,13.0,0.055,0
298,-48.0,13.3,0.003,0
299,-48.0,13.7,0.123,0
300,-48.0,14.2,0.243,0
301,-48.1,14.5,0.251,0
302,-48.4,14.5,0.241,0
303,-48.1,14.5,0.305,0
304,-46.8,14.4,0.251,0
305,-45.4,14.2,0.189,0
306,-43.8,14.1,0.127,0
307,-42.2,13.8,0.085,0
308,-40.6,13.6,0.051,0
309,-38.9,13.5,0.072,0
310,-37.3,13.4,0.061,0
311,-35.9,13.2,0.104,0
312,-34.7,13.1,0.047,0
313,-33.7,12.8,0.070,0
314,-32.8,12.7,0.075,0
315,-32.2,12.4,-0.036,0
316,-31.7,12.2,-0.006,0
317,-31.0,11.9,-0.026,0
318,-30.3,11.9,-0.052,0
319,-29.6,11.8,0.068,0
320,-28.8,11.7,0.020,0
321,-28.1,11.5,0.016,0
322,-27.4,11.1,0.046,0
323,-26.7,11.0,0.013,0
324,-26.0,11.0,-0.032,0
325,-25.2,11.0,-0.035,0
326,-24.3,11.1,-0.019,0
327,-23.5,11.1,-0.028,0
328,-22.6,11.2,0.013,0
329,-21.8,11.2,0.103,0
330,-20.9,11.2,0.127,0
331,-20.2,11.1,0.087,0
332,-19.5,10.9,0.039,0
333,-18.7,10.8,-0.023,0
334,-17.9,10.7,0.012,0
335,-16.9,10.8,-0.042,0
336,-16.0,10.8,-0.077,0
337,-15.1,10.9,-0.061,0
338,-14.0,11.0,-0.070,0
339,-13.0,11.1,0.050,0
340,-12.0,11.2,0.085,0
341,-11.1,11.1,0.073,0
342,-10.3,11.0,0.011,1
343,-9.5,10.9,-0.030,1
344,-8.5,10.9,0.009,1
345,-7.6,11.0,-0.015,1
346,-6.6,11.0,-0.048,1
347,-5.7,11.0,-0.056,1
348,-4.6,10.9,-0.098,1
349,-3.6,10.8,0.022,1
350,-2.5,10.8,0.142,1
351,-1.5,11.0,0.239,1
352,-0.9,11.1,0.227,1
353,-0.4,11.1,0.199,1
354,0.1,11.3,0.165,1
355,0.5,11.6,0.126,1
356,0.9,12.0,0.126,1
357,1.4,12.6,0.094,1
358,1.9,13.3,0.134,1
359,2.5,14.2,0.254,1
360,3.1,15.0,0.374,1
361,3.5,15.8,0.344,1
362,3.6,16.2,0.326,1
363,3.6,16.4,0.374,1
364,3.5,16.5,0.303,1
365,3.2,16.5,0.356,1
366,3.1,16.5,0.272,1
367,3.0,16.5,0.219,1
368,2.9,16.5,0.099,1
369,3.1,16.7,0.219,1
370,3.6,17.3,0.339,1
371,4.2,17.9,0.352,1
372,4.6,18.3,0.332,1
373,4.2,18.6,0.258,1
374,3.7,18.7,0.212,1
375,3.3,18.4,0.119,1
376,3.1,18.1,0.083,1
377,2.9,17.9,0.023,1
378,2.9,17.9,0.020,1
379,2.9,17.9,0.140,1
380,2.9,17.9,0.260,1
381,2.8,17.8,0.365,1
382,2.3,17.3,0.333,1
383,1.6,16.7,0.355,1
384,1.0,16.0,0.306,1
385,0.4,15.4,0.271,1
386,-0.1,14.9,0.256,1
387,-0.5,14.5,0.222,1
388,-0.8,14.2,0.220,1
389,-1.1,13.9,0.340,1
390,-1.4,13.7,0.460,1
391,-1.7,13.9,0.510,1
392,-2.4,14.2,0.390,1
393,-3.2,14.6,0.370,1
394,-4.0,15.1,0.350,1
395,-4.8,15.1,0.309,1
396,-5.6,15.1,0.228,1
397,-6.4,15.1,0.139,1
398,-7.2,15.0,0.173,1
399,-7.9,15.0,0.085,1
400,-8.6,14.9,0.190,1
401,-9.2,15.5,0.257,1
402,-9.8,16.1,0.251,1
403,-10.4,16.6,0.184,1
404,-10.5,17.0,0.174,1
405,-10.6,17.4,0.241,1
406,-10.7,17.7,0.208,1
407,-10.8,17.8,0.225,1
408,-10.9,17.9,0.121,1
409,-10.9,17.8,0.161,1
410,-11.0,17.7,0.114,1
411,-11.0,17.4,0.064,1
412,-11.0,17.0,0.023,1
413,-11.0,16.5,0.090,1
414,-11.1,15.8,0.063,1
415,-11.1,15.0,0.016,1
416,-11.1,14.1,0.026,1
417,-11.1,13.1,-0.015,1
418,-10.7,12.0,0.026,1
419,-9.7,10.8,0.146,1
420,-8.7,9.6,0.085,1
421,-7.7,8.4,0.094,1
422,-6.7,7.0,0.062,1
423,-5.7,5.6,0.047,0
424,-4.8,4.2,0.038,0
425,-3.8,2.8,0.051,0
426,-2.9,1.4,-0.003,0
427,-2.0,-0.1,-0.030,0
428,-1.1,-1.6,-0.050,1
429,-0.1,-3.1,-0.043,1
430,0.9,-4.6,-0.063,1
431,1.8,-6.1,-0.106,1
432,3.0,-7.9,-0.114,1
433,3.9,-9.1,-0.128,1
434,4.9,-10.7,-0.122,1
435,5.9,-12.2,-0.141,1
436,6.9,-13.7,-0.218,1
437,7.9,-15.2,-0.216,1
438,8.9,-16.7,-0.197,1
439,9.8,-18.1,-0.317,1
440,10.8,-19.6,-0.383,1
441,11.7,-21.0,-0.332,1
442,12.6,-22.3,-0.295,1
443,13.5,-23.7,-0.206,1
444,14.2,-25.1,-0.123,1
445,14.6,-26.5,-0.062,1
446,14.7,-28.0,-0.091,1
447,14.7,-29.5,-0.126,1
448,14.8,-30.9,-0.093,1
449,14.8,-32.4,-0.213,1
450,14.8,-33.8,-0.333,1
451,14.7,-35.2,-0.351,1
452,14.6,-36.5,-0.395,1
453,14.6,-37.7,-0.398,1
454,14.5,-38.7,-0.518,1
455,14.6,-39.8,-0.491,1
456,15.0,-40.6,-0.420,1
457,15.8,-41.2,-0.409,1
458,16.1,-41.8,-0.371,1
459,16.5,-42.5,-0.251,1
460,16.9,-43.1,-0.131,1
461,17.0,-44.0,-0.011,1
462,16.8,-45.4,0.109,1
463,16.5,-46.8,0.120,1
464,16.0,-48.3,0.019,1
465,15.6,-49.8,-0.014,1
466,15.2,-51.1,0.000,1
467,14.7,-52.4,-0.016,1
468,14.1,-53.7,-0.019,1
469,13.5,-55.1,0.092,1
470,12.8,-56.4,0.170,1
471,12.0,-57.8,0.134,1
472,11.0,-59.3,0.126,1
473,10.0,-60.8,0.095,1
474,9.1,-62.2,0.031,1
475,8.1,-63.7,-0.012,1
476,7.2,-65.0,-0.036,1
477,6.2,-66.2,-0.071,1
478,5.3,-67.6,-0.078,1
479,4.3,-68.8,-0.095,1
480,3.4,-70.1,-0.058,1
481,2.4,-71.4,-0.041,1
482,1.3,-72.8,-0.031,1
483,0.3,-74.1,-0.032,1
484,-0.8,-75.4,-0.047,1
485,-1.9,-76.8,-0.118,1
486,-3.0,-78.1,-0.094,1
487,-4.1,-79.4,-0.119,1
488,-5.1,-80.7,-0.144,1
489,-6.2,-81.9,-0.253,1
490,-7.2,-83.1,-0.334,1
491,-8.2,-84.1,-0.279,1
492,-8.9,-85.0,-0.275,1
493,-9.8,-86.0,-0.302,1
494,-10.8,-87.1,-0.342,1
495,-11.7,-88.1,-0.337,1
496,-12.6,-89.0,-0.364,1
497,-13.5,-89.9,-0.396,1
498,-14.3,-90.7,-0.419,1
499,-15.1,-91.5,-0.426,1
500,-15.8,-92.2,-0.441,1
501,-16.4,-92.7,-0.493,1
502,-15.8,-92.9,-0.488,1
503,-14.5,-92.7,-0.520,1
504,-12.9,-92.2,-0.527,1
505,-11.2,-91.6,-0.569,1
506,-9.4,-90.9,-0.600,1
507,-7.6,-90.1,-0.600,1
508,-5.7,-89.3,-0.600,1
509,-3.7,-88.3,-0.480,1
510,-1.6,-87.2,-0.360,1
511,0.4,-86.2,-0.240,1
512,2.0,-85.6,-0.128,1
513,3.1,-85.5,-0.079,1
514,3.9,-85.7,-0.028,1
515,4.2,-86.4,-0.087,1
516,4.3,-87.2,-0.100,1
517,4.4,-87.9,-0.123,1
518,4.6,-88.6,-0.040,1
519,4.8,-89.2,0.080,1
520,4.9,-89.9,0.099,1
521,4.8,-90.8,0.077,1
522,4.7,-91.7,0.045,1
523,4.6,-92.6,-0.002,1
524,4.5,-93.4,-0.086,1
525,4.5,-94.1,-0.087,1
526,4.8,-94.6,-0.062,1
527,5.0,-95.1,0.035,1
528,5.1,-95.6,0.117,1
529,5.0,-96.3,0.068,1
530,4.8,-97.2,0.038,1
531,4.7,-98.0,0.051,1
532,4.6,-98.7,0.053,1
533,4.5,-99.4,0.027,1
534,4.5,-100.0,0.048,1
535,4.4,-100.6,-0.021,1
536,4.4,-101.2,0.024,1
537,4.4,-101.8,-0.057,1
538,4.4,-102.3,-0.061,1
539,4.4,-102.8,0.048,1
540,4.5,-103.2,-0.071,1
541,4.5,-103.7,-0.066,1
542,4.6,-104.1,-0.032,1
543,4.7,-104.5,-0.023,1
544,4.7,-104.9,-0.033,1
545,4.8,-105.3,-0.064,1
546,4.9,-105.7,-0.053,1
547,5.0,-106.0,-0.075,1
548,5.1,-106.3,-0.054,1
549,5.2,-106.6,-0.014,1
550,5.3,-106.9,0.106,1
551,5.3,-107.3,0.082,1
552,5.2,-107.9,0.109,1
553,5.0,-108.4,0.079,1
554,4.8,-109.0,0.073,1
555,4.7,-109.5,0.049,1
556,4.5,-109.9,0.091,1
557,4.5,-110.4,0.108,1
558,4.3,-110.9,0.055,1
559,4.2,-111.4,0.109,1
560,4.1,-111.8,0.069,1
561,4.0,-112.2,0.026,1
562,3.9,-112.6,-0.024,1
563,3.9,-112.9,0.002,1
564,3.9,-113.2,-0.010,1
565,3.9,-113.5,-0.033,1
566,4.0,-113.8,-0.022,1
567,4.0,-114.1,-0.082,1
568,4.0,-114.3,-0.106,1
569,4.2,-114.4,0.014,1
570,4.4,-114.5,-0.000,1
571,4.5,-114.6,-0.018,1
572,4.5,-114.8,0.048,1
573,4.5,-115.1,-0.024,1
574,4.5,-115.4,-0.001,1
575,4.5,-115.5,0.026,1
576,4.5,-115.5,-0.021,1
577,4.5,-115.5,-0.052,1
578,4.6,-115.5,-0.172,1
579,4.7,-115.3,-0.052,1
580,5.0,-115.1,0.068,1
581,5.2,-114.8,0.183,1
582,5.1,-114.8,0.065,1
583,4.8,-115.2,0.067,1
584,4.6,-115.3,-0.025,1
585,4.5,-115.4,-0.060,1
586,4.6,-115.4,-0.064,1
587,4.7,-115.2,-0.103,1
588,4.9,-115.1,-0.170,1
589,5.1,-114.9,-0.050,1
590,5.5,-115.0,0.070,1
591,5.8,-115.2,0.158,1
592,5.7,-115.8,0.085,1
593,5.4,-116.5,0.137,1
594,5.2,-117.2,0.155,1
595,4.9,-117.8,0.052,1
596,4.6,-118.4,0.058,1
597,4.4,-118.9,0.002,1
598,4.3,-119.3,0.029,1
599,4.3,-119.5,0.149,1
600,4.4,-119.6,0.173,1
601,4.2,-119.9,0.228,1
602,3.9,-120.4,0.121,1
603,3.4,-121.0,0.108,1
604,3.1,-121.5,0.031,1
605,2.9,-121.9,0.026,1
606,2.7,-122.1,0.001,1
607,2.7,-122.3,-0.033,1
608,2.7,-122.4,-0.049,1
609,2.8,-122.5,0.055,1
610,2.8,-122.6,0.021,1
611,2.8,-122.8,-0.001,1
612,2.9,-123.0,0.071,1
613,2.9,-123.2,0.070,1
614,2.8,-123.5,0.031,1
615,2.7,-123.7,-0.016,1
616,2.7,-124.0,0.009,1
617,2.7,-124.1,0.010,1
618,2.7,-124.4,0.083,1
619,2.6,-124.6,0.203,1
