step,bear_target,bear_other,w_cmd,on_target
1,-17.0,16.0,-0.120,0
2,-17.6,16.0,-0.133,0
3,-18.2,15.8,-0.142,0
4,-18.9,15.4,-0.096,0
5,-19.5,15.0,-0.028,0
6,-20.1,14.6,0.025,0
7,-20.7,14.4,0.057,0
8,-21.2,14.1,-0.063,0
9,-21.7,14.0,-0.178,0
10,-22.2,13.9,-0.187,0
11,-22.6,14.0,-0.252,0
12,-22.8,14.1,-0.313,0
13,-23.1,14.4,-0.321,0
14,-23.2,14.9,-0.322,0
15,-23.3,15.3,-0.368,0
16,-23.5,15.8,-0.265,0
17,-23.5,16.3,-0.277,0
18,-23.8,16.7,-0.157,0
19,-23.9,17.1,-0.037,0
20,-24.2,17.5,-0.015,0
21,-24.6,17.7,0.046,0
22,-24.9,18.0,0.031,0
23,-25.3,18.3,0.071,0
24,-25.8,18.5,0.076,0
25,-26.2,18.8,0.025,0
26,-26.6,19.1,0.021,0
27,-27.1,19.5,0.051,0
28,-27.5,19.9,0.103,0
29,-27.9,20.5,0.075,0
30,-28.3,21.0,0.016,0
31,-28.8,21.6,-0.041,0
32,-29.2,22.2,-0.017,0
33,-29.5,23.0,-0.001,0
34,-29.9,23.8,0.009,0
35,-30.4,24.5,0.013,0
36,-30.7,25.4,0.027,0
37,-31.1,26.3,0.039,0
38,-31.5,27.2,0.135,0
39,-31.8,28.1,0.134,0
40,-32.2,29.1,0.064,0
41,-32.6,30.0,0.095,0
42,-32.9,31.1,0.104,0
43,-33.0,32.1,0.077,0
44,-33.1,33.2,0.050,1
45,-33.0,34.3,0.061,1
46,-32.8,35.4,0.151,1
47,-32.4,36.5,0.191,1
48,-32.1,37.6,0.071,1
49,-31.5,38.7,-0.049,1
50,-30.8,39.8,-0.169,1
51,-29.9,41.1,-0.289,1
52,-28.8,42.4,-0.409,1
53,-27.5,43.8,-0.529,1
54,-26.0,45.3,-0.600,1
55,-24.2,47.0,-0.600,1
56,-22.3,48.8,-0.600,1
57,-20.3,50.7,-0.600,1
58,-18.2,52.7,-0.480,1
59,-15.9,54.8,-0.360,1
60,-13.6,57.0,-0.240,1
61,-11.7,58.8,-0.120,1
62,-10.0,60.4,0.000,1
63,-8.6,61.8,0.017,1
64,-7.3,63.1,0.009,1
65,-5.9,64.4,0.059,1
66,-4.6,65.7,0.049,1
67,-3.3,67.0,0.076,1
68,-2.0,68.3,0.097,1
69,-0.7,69.6,0.079,1
70,0.6,70.9,0.051,1
71,1.9,72.2,0.019,1
72,3.3,73.5,0.064,1
73,4.5,74.8,0.088,1
74,5.8,76.1,0.105,1
75,7.0,77.4,0.152,1
76,8.2,78.7,0.272,1
77,9.5,80.0,0.337,1
78,10.5,81.1,0.217,1
79,11.6,82.3,0.216,1
80,12.7,83.5,0.212,1
81,13.8,84.7,0.217,1
82,14.9,85.9,0.229,1
83,16.0,87.2,0.256,1
84,17.2,88.5,0.275,1
85,18.3,89.7,0.368,1
86,19.4,90.9,0.386,1
87,20.4,92.2,0.410,1
88,21.4,93.4,0.522,1
89,22.1,94.3,0.488,1
90,23.0,95.4,0.462,1
91,23.8,96.4,0.470,1
92,24.7,97.6,0.518,1
93,25.7,98.8,0.600,1
94,26.7,100.0,0.600,1
95,27.5,101.1,0.600,1
96,28.3,102.2,0.600,1
97,29.1,101.8,0.600,1
98,30.0,101.6,0.600,1
99,30.9,101.3,0.600,1
100,31.7,101.1,0.600,1
101,32.6,100.9,0.600,1
102,33.4,100.6,0.600,1
103,34.2,100.2,0.600,1
104,35.1,100.0,0.600,1
105,36.0,99.7,0.600,1
106,36.8,99.4,0.600,1
107,37.6,99.1,0.600,1
108,38.4,98.8,0.600,1
109,39.1,98.5,0.600,1
110,39.8,98.2,0.600,1
111,40.5,97.9,0.600,1
112,41.2,97.4,0.600,1
113,41.8,96.8,0.600,1
114,42.4,96.4,0.600,1
115,42.9,96.1,0.600,1
116,43.5,95.5,0.600,1
117,44.1,95.3,0.600,1
118,44.6,95.0,0.600,1
119,45.1,94.7,0.600,1
120,45.5,94.3,0.600,1
121,45.9,93.9,0.600,1
122,46.3,93.3,0.600,1
123,46.7,93.0,0.600,1
124,47.1,92.5,0.600,1
125,47.4,92.0,0.600,1
126,47.7,91.4,0.600,1
127,47.9,90.8,0.600,1
128,48.2,90.3,0.600,1
129,48.4,89.7,0.600,1
130,48.6,89.2,0.600,1
131,48.8,88.5,0.600,1
132,48.9,87.9,0.600,1
133,49.0,87.3,0.600,1
134,49.1,86.6,0.600,1
135,49.3,86.1,0.600,1
136,49.4,85.3,0.600,1
137,49.5,84.8,0.600,1
138,49.4,84.1,0.600,1
139,49.2,83.0,0.600,1
140,48.9,81.9,0.600,1
141,48.5,80.8,0.600,1
142,48.1,79.8,0.600,1
143,48.2,79.0,0.600,1
144,48.4,78.6,0.600,1
145,48.6,78.1,0.600,1
146,48.7,77.5,0.600,1
147,48.7,76.9,0.600,1
148,48.9,76.5,0.600,1
149,49.3,76.2,0.600,1
150,49.6,75.7,0.600,1
151,49.9,75.3,0.600,1
152,50.1,74.9,0.600,1
153,50.0,74.2,0.600,1
154,50.0,73.5,0.600,1
155,49.8,72.7,0.600,1
156,49.7,71.9,0.600,1
157,49.4,71.0,0.600,1
158,49.1,70.0,0.600,1
159,48.7,68.8,0.600,1
160,47.9,67.2,0.600,1
161,46.8,65.4,0.600,1
162,45.5,63.5,0.600,1
163,44.0,61.3,0.600,1
164,42.3,59.0,0.600,1
165,40.8,56.8,0.600,1
166,40.0,55.2,0.600,1
167,39.5,54.0,0.600,1
168,39.2,53.0,0.600,1
169,38.9,52.0,0.600,1
170,38.5,51.0,0.600,1
171,38.2,50.0,0.480,1
172,38.2,49.3,0.360,1
173,38.3,48.8,0.240,1
174,38.5,48.3,0.120,1
175,38.9,47.9,0.000,1
176,39.4,47.8,-0.120,1
177,40.0,47.7,-0.240,1
178,40.7,47.9,-0.360,1
179,41.7,48.2,-0.480,1
180,42.7,48.6,-0.600,1
181,43.9,49.1,-0.600,1
