step,bear_target,bear_other,w_cmd,on_target
1,13.1,-15.1,-0.120,1
2,12.4,-14.4,-0.147,1
3,12.0,-13.9,-0.027,1
4,12.2,-13.7,-0.015,1
5,12.2,-13.7,0.011,1
6,12.2,-13.7,0.067,1
7,12.2,-13.7,-0.012,1
8,12.1,-13.8,0.008,1
9,12.1,-13.8,0.048,1
10,12.0,-13.8,0.009,1
11,11.9,-13.9,-0.005,1
12,11.9,-13.9,-0.004,1
13,12.3,-14.1,-0.016,1
14,12.5,-14.5,0.003,1
15,12.8,-14.6,0.001,1
16,12.8,-14.7,-0.015,1
17,12.8,-14.7,-0.037,1
18,12.8,-14.7,-0.025,1
19,13.1,-14.8,-0.144,1
20,13.4,-15.1,-0.200,1
21,13.6,-15.3,-0.190,1
22,13.9,-15.1,-0.170,1
23,14.1,-14.9,-0.085,1
24,14.6,-14.7,-0.030,1
25,15.1,-14.9,0.062,0
26,15.3,-15.0,0.070,0
27,15.2,-15.1,0.109,0
28,15.3,-15.3,0.216,0
29,15.5,-15.7,0.202,1
30,15.2,-16.1,0.225,1
31,15.0,-16.6,0.213,1
32,15.0,-17.2,0.139,1
33,14.7,-17.5,0.196,1
34,14.8,-18.1,0.217,1
35,14.6,-18.6,0.194,1
36,14.8,-19.2,0.176,1
37,15.1,-19.7,0.141,1
38,15.0,-20.1,0.099,1
39,15.3,-20.6,-0.021,1
40,15.6,-21.2,-0.058,1
41,15.7,-21.6,-0.039,1
42,15.7,-21.6,-0.045,1
43,16.1,-22.0,-0.075,1
44,16.6,-22.6,-0.072,1
45,17.0,-23.1,0.001,1
46,17.1,-23.9,0.072,1
47,17.0,-24.9,0.060,1
48,16.7,-26.0,0.069,1
49,16.1,-27.3,0.013,1
50,15.3,-28.7,0.032,1
51,14.5,-30.2,0.040,1
52,13.4,-31.7,0.139,1
53,12.2,-33.3,0.068,1
54,10.5,-35.0,0.123,1
55,9.2,-36.7,0.094,1
56,7.6,-38.4,0.076,1
57,6.2,-40.1,0.082,1
58,4.7,-41.7,0.079,1
59,3.2,-43.4,-0.041,1
60,2.0,-45.0,-0.053,1
61,0.1,-46.6,-0.139,1
62,-1.4,-48.1,-0.113,1
63,-2.8,-49.5,-0.096,1
64,-4.2,-50.8,-0.089,1
65,-5.3,-52.3,-0.071,1
66,-6.7,-53.9,-0.087,1
67,-7.5,-55.1,-0.106,1
68,-8.5,-56.6,-0.117,1
69,-9.6,-58.0,-0.237,1
70,-10.7,-59.4,-0.259,1
71,-11.2,-60.7,-0.284,1
72,-12.1,-61.9,-0.256,1
73,-12.4,-63.0,-0.296,1
74,-13.3,-64.3,-0.416,1
75,-13.7,-65.5,-0.536,1
76,-14.4,-66.6,-0.600,1
77,-14.6,-67.6,-0.600,1
78,-14.7,-68.1,-0.575,1
79,-14.3,-68.5,-0.455,1
80,-13.8,-68.4,-0.335,1
81,-13.1,-68.5,-0.227,1
82,-12.5,-68.7,-0.214,1
83,-12.7,-69.4,-0.229,1
84,-12.8,-70.4,-0.286,1
85,-13.5,-71.5,-0.304,1
86,-13.7,-72.6,-0.363,1
87,-14.2,-73.6,-0.405,1
88,-13.6,-73.6,-0.407,1
89,-13.0,-72.9,-0.390,1
90,-12.2,-72.1,-0.382,1
91,-11.3,-71.2,-0.418,1
92,-10.4,-70.3,-0.385,1
93,-9.4,-69.2,-0.467,1
94,-8.3,-68.1,-0.471,1
95,-7.2,-67.1,-0.469,1
96,-6.1,-65.9,-0.589,1
97,-5.0,-64.7,-0.600,1
98,-3.7,-63.4,-0.600,1
99,-2.2,-61.8,-0.480,1
100,-0.6,-60.2,-0.360,1
101,0.6,-58.7,-0.240,1
102,1.4,-57.8,-0.287,1
103,2.0,-57.2,-0.252,1
104,2.5,-56.6,-0.278,1
105,2.7,-56.3,-0.308,1
106,2.9,-56.0,-0.367,1
107,3.3,-56.1,-0.399,1
108,4.1,-56.0,-0.385,1
109,4.8,-55.2,-0.265,1
110,5.4,-54.6,-0.145,1
111,5.9,-54.1,-0.025,1
112,6.2,-53.8,0.095,1
113,6.3,-53.7,0.169,1
114,6.2,-53.8,0.190,1
115,6.0,-54.0,0.248,1
116,5.8,-54.2,0.238,1
117,5.5,-54.5,0.217,1
118,5.3,-54.7,0.224,1
119,5.0,-55.0,0.104,1
120,4.2,-55.4,0.073,1
121,4.0,-55.7,0.048,1
122,3.8,-55.8,-0.072,1
123,3.8,-55.8,-0.131,1
124,3.9,-55.7,-0.166,1
125,4.1,-55.5,-0.258,1
126,4.4,-55.3,-0.198,1
127,4.8,-54.5,-0.215,1
128,5.1,-54.1,-0.183,1
129,5.1,-53.9,-0.063,1
130,5.0,-53.2,0.057,1
131,5.3,-52.8,0.099,1
132,5.7,-52.8,0.042,1
133,6.1,-53.2,0.040,1
134,6.4,-53.7,-0.048,1
135,6.4,-53.7,-0.029,1
136,6.5,-53.6,-0.002,1
137,6.6,-53.6,-0.032,1
138,6.6,-53.5,0.023,1
139,6.6,-53.5,0.143,1
140,6.6,-53.6,0.105,1
141,6.5,-53.7,0.014,1
142,6.4,-53.8,0.037,1
143,6.3,-53.8,-0.083,1
144,6.3,-53.9,-0.192,1
145,6.4,-53.8,-0.192,1
146,6.5,-53.6,-0.183,1
147,6.2,-53.4,-0.163,1
148,6.0,-53.0,-0.116,1
149,6.2,-52.8,-0.126,1
150,6.4,-52.6,-0.204,1
151,6.6,-52.4,-0.201,1
152,6.8,-52.1,-0.215,1
153,7.2,-51.8,-0.192,1
154,7.5,-50.7,-0.185,1
155,7.8,-49.2,-0.226,1
156,8.1,-48.1,-0.210,1
157,7.9,-46.6,-0.174,1
158,7.9,-45.6,-0.187,1
159,8.3,-45.4,-0.177,1
160,9.3,-45.0,-0.140,1
161,10.6,-44.8,-0.139,1
162,10.8,-44.5,-0.107,1
163,11.1,-44.2,-0.040,1
164,11.3,-43.9,0.053,1
165,11.5,-43.7,0.074,1
166,11.5,-43.7,-0.013,1
167,11.6,-43.6,-0.048,1
168,11.6,-43.6,-0.071,1
