step,bear_target,bear_other,w_cmd,on_target
1,14.8,-15.4,-0.120,1
2,14.1,-14.9,-0.158,1
3,13.4,-14.4,-0.154,1
4,12.9,-13.9,-0.176,1
5,12.7,-13.6,-0.130,1
6,13.0,-13.3,-0.091,1
7,13.1,-13.2,-0.086,1
8,13.2,-13.1,-0.024,0
9,13.4,-12.9,-0.102,0
10,13.4,-12.9,-0.143,0
11,13.5,-12.8,-0.121,0
12,13.7,-12.6,-0.075,0
13,13.9,-12.4,-0.051,0
14,14.0,-12.3,0.006,0
15,14.6,-12.6,0.011,0
16,15.2,-12.9,0.007,0
17,15.7,-13.1,0.010,0
18,16.0,-13.4,-0.000,0
19,16.2,-13.5,-0.063,0
20,16.4,-13.7,-0.065,0
21,16.6,-13.8,-0.065,0
22,16.9,-13.8,-0.065,0
23,17.2,-13.9,-0.080,0
24,17.5,-14.0,-0.114,0
25,17.9,-14.0,-0.111,0
26,18.4,-14.1,-0.101,0
27,19.1,-14.2,-0.081,0
28,19.9,-14.2,-0.088,0
29,20.8,-14.3,-0.044,0
30,21.8,-14.4,-0.086,0
31,23.0,-14.7,0.034,0
32,24.2,-15.0,0.137,0
33,25.5,-15.4,0.257,0
34,26.8,-16.0,0.317,0
35,27.9,-17.0,0.372,0
36,29.1,-18.1,0.371,0
37,30.4,-19.2,0.349,0
38,31.7,-20.5,0.372,0
39,33.0,-21.9,0.252,0
40,34.5,-23.3,0.132,0
41,36.0,-24.7,0.252,0
42,37.8,-25.9,0.330,0
43,39.6,-27.3,0.271,0
44,41.2,-28.9,0.299,0
45,42.9,-30.4,0.248,0
46,44.7,-32.1,0.185,0
47,46.5,-33.7,0.162,0
48,48.3,-35.3,0.146,0
49,50.3,-36.8,0.026,0
50,52.3,-38.4,-0.094,0
51,54.3,-39.9,-0.214,0
52,56.5,-41.3,-0.334,0
53,58.7,-42.6,-0.454,0
54,61.2,-43.7,-0.574,0
55,63.6,-44.8,-0.600,0
56,66.2,-45.8,-0.600,0
57,69.0,-46.6,-0.600,0
58,72.0,-47.1,-0.600,0
59,74.9,-47.7,-0.600,0
60,78.0,-48.1,-0.600,0
61,81.2,-48.4,-0.600,0
62,84.6,-48.4,-0.600,0
63,88.1,-48.4,-0.600,0
64,91.6,-48.4,-0.600,0
65,94.9,-48.6,-0.600,0
66,98.4,-48.6,-0.600,0
67,102.0,-48.5,-0.600,0
68,105.6,-48.4,-0.600,0
69,109.2,-48.4,-0.600,0
70,112.8,-48.3,-0.600,0
71,116.5,-48.1,-0.600,0
72,120.2,-48.0,-0.600,0
73,123.8,-47.8,-0.600,0
74,127.5,-47.7,-0.600,0
75,131.3,-47.4,-0.600,0
76,134.9,-47.5,-0.600,0
77,138.5,-47.5,-0.600,0
78,141.7,-47.9,-0.600,0
79,144.9,-48.4,-0.600,0
80,148.3,-48.6,-0.600,0
81,151.8,-48.7,-0.600,0
82,155.9,-48.2,-0.600,0
83,160.2,-47.6,-0.600,0
84,163.7,-47.7,-0.600,0
85,166.8,-48.2,-0.600,0
86,170.3,-48.5,-0.600,0
87,173.5,-49.0,-0.600,0
88,177.1,-49.0,-0.600,0
89,179.2,-48.6,-0.600,0
