step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,15.4,-15.3,-0.014,0,0.790,4.669,4.615,0
2,15.3,-14.8,-0.019,0,0.803,4.668,4.585,0
3,14.8,-14.7,-0.031,0,0.657,4.658,4.542,0
4,13.5,-15.4,-0.038,1,0.630,4.605,4.479,0
5,11.5,-16.8,-0.099,1,0.547,4.516,4.395,0
6,9.5,-18.3,-0.080,1,0.482,4.413,4.297,0
7,8.1,-19.3,-0.087,1,0.495,4.310,4.200,0
8,6.7,-20.4,-0.121,1,0.415,4.212,4.108,0
9,5.8,-21.2,-0.237,1,0.738,4.112,4.014,0
10,4.9,-22.0,-0.295,1,0.763,4.016,3.923,0
11,4.1,-22.9,-0.344,1,0.919,3.915,3.828,0
12,3.4,-24.1,-0.247,1,0.894,3.799,3.720,0
13,2.9,-25.4,-0.286,1,0.857,3.666,3.596,0
14,2.5,-26.8,-0.318,1,0.849,3.528,3.468,0
15,2.7,-28.0,-0.321,1,0.790,3.389,3.343,0
16,3.1,-29.0,-0.329,1,0.458,3.252,3.222,0
17,3.9,-29.9,-0.335,1,0.381,3.118,3.106,0
18,4.9,-30.5,-0.304,1,0.375,2.995,3.001,0
19,6.1,-30.9,-0.184,1,0.865,2.888,2.910,0
20,7.2,-31.2,-0.188,1,0.716,2.793,2.829,0
21,8.3,-31.8,-0.303,1,0.505,2.697,2.748,0
22,9.4,-32.5,-0.284,1,0.365,2.590,2.656,0
23,10.8,-33.0,-0.307,1,0.339,2.484,2.565,0
24,12.5,-33.5,-0.369,1,0.349,2.393,2.484,0
25,14.2,-34.0,-0.363,1,0.322,2.312,2.409,0
26,16.0,-34.5,-0.343,1,0.303,2.237,2.335,0
27,18.1,-34.9,-0.344,1,0.257,2.168,2.262,0
28,20.3,-35.4,-0.426,1,0.256,2.104,2.191,0
29,22.6,-35.9,-0.306,1,0.304,2.048,2.122,0
30,25.1,-36.1,-0.186,1,0.276,1.997,2.061,0
31,27.7,-35.9,-0.066,1,0.286,1.950,2.040,0
32,30.3,-36.2,0.054,1,0.294,1.907,1.975,0
33,33.0,-36.4,0.174,1,0.280,1.868,1.900,0
34,35.7,-36.7,0.294,1,0.285,1.833,1.824,0
35,38.4,-37.0,0.414,0,0.287,1.802,1.748,0
