step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,15.9,-6.5,-0.064,0,0.823,4.625,4.683,0
2,15.2,-5.7,-0.075,0,0.893,4.570,4.647,0
3,14.9,-4.5,-0.051,0,0.766,4.503,4.598,0
4,15.4,-2.7,-0.040,0,0.743,4.416,4.531,0
5,16.6,-0.4,-0.019,0,0.738,4.307,4.441,0
6,17.9,1.9,0.025,0,0.630,4.176,4.327,0
7,19.4,3.6,0.059,0,0.438,4.113,4.203,0
8,20.8,5.2,0.116,0,0.519,4.054,4.078,0
9,22.6,7.2,0.236,0,0.925,4.010,3.968,0
10,24.8,9.5,0.329,0,0.805,3.957,3.845,0
11,25.6,10.2,0.266,0,0.713,3.908,3.724,0
12,26.1,10.6,0.200,0,0.680,3.847,3.588,0
13,26.5,10.7,0.131,0,0.765,3.784,3.450,0
14,26.8,10.6,0.126,0,0.697,3.723,3.314,0
15,27.5,10.5,0.130,0,0.654,3.607,3.173,0
16,28.5,10.4,0.113,0,0.833,3.473,3.035,0
17,29.6,10.2,0.074,0,0.815,3.348,2.900,0
18,31.0,10.1,0.068,0,0.724,3.227,2.758,0
19,32.6,9.9,0.188,0,0.444,3.112,2.611,0
20,34.5,10.0,0.308,0,0.421,3.013,2.468,0
21,36.5,10.3,0.428,0,0.374,2.932,2.333,0
22,38.4,10.7,0.548,0,0.358,2.877,2.215,0
23,40.3,11.2,0.428,0,0.344,2.837,2.111,0
24,41.9,11.7,0.463,0,0.354,2.800,2.013,0
25,43.6,12.4,0.533,0,0.317,2.764,1.921,0
26,45.3,13.3,0.444,0,0.316,2.729,1.832,0
27,46.9,14.3,0.424,0,0.305,2.697,1.748,0
28,48.4,15.3,0.328,0,0.305,2.668,1.670,0
29,49.9,15.1,0.448,0,-0.390,2.640,1.633,0
30,51.6,14.6,0.568,0,-0.393,2.612,1.604,0
31,53.1,14.1,0.448,0,-0.406,2.586,1.579,0
32,54.9,13.8,0.328,0,-0.428,2.568,1.569,0
33,56.8,13.8,0.208,0,-0.434,2.559,1.575,0
34,58.9,14.2,0.088,0,-0.457,2.555,1.596,0
35,61.2,14.9,-0.024,0,-0.455,2.549,1.622,0
36,63.6,15.7,-0.073,0,-0.457,2.536,1.647,0
37,66.0,18.8,-0.063,0,-0.477,2.516,1.685,0
38,68.2,21.7,0.057,0,-0.429,2.488,1.732,0
39,70.3,24.4,-0.062,0,0.294,2.452,1.786,0
40,72.1,26.5,-0.182,0,0.281,2.408,1.845,0
41,73.4,28.0,-0.302,0,0.295,2.358,1.906,0
42,75.1,29.2,-0.422,0,-0.288,2.308,1.961,0
43,77.3,30.7,-0.542,0,-0.380,2.263,2.014,0
44,79.9,32.1,-0.422,0,-0.424,2.223,2.073,0
45,82.2,33.1,-0.542,0,-0.446,2.191,2.145,0
46,84.8,34.2,-0.600,0,0.276,2.165,2.227,0
47,87.5,35.5,-0.600,0,-0.368,2.142,2.309,0
48,90.6,37.2,-0.600,0,-0.015,2.122,2.384,0
49,94.2,39.4,-0.600,0,-0.468,2.105,2.457,0
50,97.8,41.8,-0.600,0,-0.534,2.091,2.525,0
51,101.2,43.9,-0.600,0,-0.479,2.081,2.585,0
52,105.1,46.7,-0.600,0,0.258,2.071,2.647,0
53,109.5,50.0,-0.600,0,0.247,2.062,2.707,0
54,113.7,53.2,-0.600,0,0.267,2.057,2.757,0
55,117.0,55.3,-0.600,0,0.256,2.059,2.794,0
