step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,-16.1,14.1,-0.120,0,0.852,4.573,4.656,0
2,-15.6,14.0,-0.185,0,0.819,4.538,4.655,0
3,-15.6,13.3,-0.296,0,0.770,4.492,4.617,0
4,-16.4,11.7,-0.221,0,0.780,4.427,4.549,0
5,-17.5,10.0,-0.175,0,0.646,4.341,4.458,0
6,-19.2,8.0,-0.161,0,0.616,4.235,4.345,0
7,-20.1,6.9,-0.145,0,0.489,4.128,4.232,0
8,-20.2,6.6,-0.201,0,0.555,4.034,4.130,0
9,-20.2,6.7,-0.081,0,0.536,3.928,4.017,0
10,-20.7,6.4,-0.201,0,0.305,3.825,3.909,0
11,-21.2,6.3,-0.321,0,0.341,3.722,3.800,0
12,-21.7,6.4,-0.441,0,0.421,3.628,3.701,0
13,-22.0,6.7,-0.372,0,0.518,3.542,3.610,0
14,-22.6,7.0,-0.327,0,0.556,3.456,3.518,0
15,-23.1,7.5,-0.397,0,0.569,3.365,3.418,0
16,-23.9,8.0,-0.374,0,0.380,3.270,3.312,0
17,-24.5,8.7,-0.309,0,0.387,3.174,3.204,0
18,-24.9,9.6,-0.295,0,0.344,3.085,3.104,0
19,-25.3,10.5,-0.175,0,0.461,3.003,3.011,0
20,-25.8,11.4,-0.295,0,0.349,2.924,2.922,0
21,-26.3,12.3,-0.356,0,0.363,2.843,2.832,0
22,-26.7,13.3,-0.236,0,0.231,2.764,2.743,0
23,-27.2,14.4,-0.116,0,0.228,2.685,2.655,0
24,-27.7,15.4,0.004,0,0.285,2.613,2.574,0
25,-28.2,16.4,0.124,0,0.262,2.544,2.499,0
26,-28.8,17.6,0.244,0,0.280,2.474,2.425,0
27,-29.5,18.8,0.364,0,0.293,2.404,2.354,0
28,-30.4,20.0,0.484,0,0.275,2.333,2.286,0
29,-31.5,21.3,0.405,0,0.238,2.262,2.220,0
30,-32.7,22.5,0.336,0,0.499,2.191,2.159,0
31,-34.0,23.8,0.304,0,0.373,2.120,2.102,0
32,-35.4,25.2,0.184,0,0.358,2.053,2.044,0
33,-36.3,26.9,0.064,0,0.352,2.025,1.988,0
34,-37.4,28.7,0.184,0,0.352,1.961,1.937,0
35,-38.5,30.7,0.304,0,0.312,1.880,1.891,0
36,-39.7,32.7,0.424,0,-0.017,1.800,1.850,0
37,-40.7,34.7,0.544,0,0.274,1.721,1.816,0
38,-41.3,36.7,0.600,0,0.269,1.650,1.794,0
39,-41.9,38.6,0.600,0,0.054,1.579,1.773,0
40,-42.5,40.5,0.600,0,0.272,1.508,1.754,0
41,-42.9,42.3,0.600,0,0.268,1.439,1.739,0
42,-43.4,43.9,0.600,1,0.281,1.372,1.726,0
43,-43.9,45.5,0.600,1,0.262,1.307,1.715,0
44,-44.1,47.0,0.480,1,-0.223,1.245,1.705,0
45,-44.2,48.4,0.360,1,-0.254,1.190,1.700,0
46,-43.3,50.0,0.240,1,0.269,1.147,1.703,0
47,-40.9,51.8,0.120,1,0.276,1.121,1.716,0
48,-38.3,53.6,0.000,1,0.273,1.103,1.729,0
49,-36.5,55.3,-0.120,1,0.293,1.081,1.734,0
50,-35.0,57.0,-0.240,1,0.277,1.060,1.736,0
51,-33.6,58.8,-0.360,1,0.293,1.045,1.739,0
52,-32.0,60.8,-0.480,1,0.287,1.032,1.743,0
53,-30.1,62.9,-0.600,1,0.293,1.021,1.750,0
54,-28.0,65.3,-0.600,1,0.272,1.011,1.758,0
55,-25.6,67.9,-0.600,1,0.290,1.002,1.768,0
56,-22.9,70.8,-0.600,1,0.000,0.995,1.780,1
57,-20.1,73.7,-0.600,1,0.000,0.989,1.793,1
58,-16.8,76.6,-0.600,1,0.000,0.993,1.811,1
59,-13.6,78.9,-0.600,1,-0.425,1.008,1.831,0
60,-10.4,81.0,-0.600,1,-0.459,1.030,1.852,0
61,-7.4,82.9,-0.600,1,-0.427,1.058,1.873,0
62,-4.5,84.5,-0.480,1,-0.452,1.101,1.895,0
63,-2.2,85.3,-0.360,1,-0.463,1.152,1.915,0
64,-0.4,85.9,-0.339,1,-0.491,1.204,1.934,0
65,1.3,86.6,-0.219,1,-0.502,1.253,1.951,0
66,3.5,87.9,-0.099,1,-0.453,1.302,1.967,0
67,6.8,90.4,0.021,1,0.284,1.349,1.982,0
68,10.6,93.5,0.141,1,0.305,1.395,1.995,0
69,13.9,96.2,0.261,1,-0.444,1.433,2.007,0
70,15.7,97.7,0.278,1,-0.472,1.458,2.019,0
71,16.5,98.4,0.258,1,-0.475,1.478,2.032,0
72,18.1,99.7,0.378,1,-0.450,1.505,2.044,0
73,20.7,101.9,0.434,1,-0.460,1.543,2.054,0
74,23.3,104.1,0.469,1,-0.450,1.586,2.060,0
75,25.9,106.2,0.589,1,-0.473,1.629,2.065,0
76,28.5,108.4,0.559,1,-0.218,1.672,2.068,0
77,30.7,110.2,0.439,1,0.180,1.713,2.070,0
78,32.6,111.8,0.319,1,-0.017,1.749,2.073,0
79,34.3,113.3,0.439,1,0.292,1.776,2.078,0
80,35.9,114.9,0.559,1,0.319,1.796,2.086,0
81,37.4,116.3,0.600,1,0.313,1.813,2.095,0
82,38.5,117.5,0.600,1,0.320,1.818,2.111,0
83,39.5,118.5,0.600,1,0.308,1.818,2.131,0
84,40.7,119.7,0.600,1,0.295,1.818,2.152,0
85,41.9,120.9,0.600,1,0.304,1.821,2.173,0
86,43.3,122.3,0.600,1,0.306,1.827,2.191,0
87,44.8,123.7,0.600,1,0.302,1.834,2.203,0
88,45.8,124.6,0.600,1,0.309,1.837,2.213,0
89,46.5,125.1,0.600,1,0.283,1.837,2.219,0
90,46.6,124.9,0.600,1,0.290,1.833,2.221,0
91,46.3,124.3,0.600,1,0.289,1.825,2.218,0
92,45.7,123.4,0.600,1,0.294,1.814,2.215,0
93,45.1,122.5,0.600,1,0.293,1.798,2.216,0
94,44.6,121.7,0.600,1,0.287,1.781,2.219,0
95,43.9,120.7,0.600,1,0.293,1.766,2.224,0
96,43.4,119.9,0.600,1,0.294,1.753,2.232,0
97,43.1,119.2,0.600,1,0.294,1.742,2.242,0
98,42.8,117.4,0.600,1,0.288,1.733,2.255,0
99,42.5,115.4,0.600,1,0.299,1.729,2.267,0
100,42.3,113.6,0.600,1,0.290,1.729,2.279,0
101,42.1,111.7,0.600,1,0.296,1.733,2.289,0
102,41.8,110.2,0.600,1,0.301,1.740,2.300,0
103,41.5,110.5,0.600,1,0.294,1.749,2.319,0
104,41.3,110.7,0.600,1,0.294,1.757,2.351,0
105,41.1,110.7,0.600,1,0.296,1.764,2.394,0
106,40.9,110.6,0.600,1,0.294,1.771,2.447,0
107,40.7,110.4,0.600,1,0.305,1.777,2.509,0
108,40.4,109.8,0.600,1,0.159,1.782,2.579,0
109,40.3,109.2,0.600,1,0.334,1.788,2.653,0
110,40.4,108.8,0.600,1,0.314,1.800,2.725,0
111,40.5,108.3,0.600,1,0.297,1.813,2.798,0
112,40.3,107.5,0.600,1,0.302,1.823,2.874,0
113,40.0,106.6,0.600,1,0.297,1.833,2.951,0
114,39.5,105.5,0.600,1,0.298,1.845,3.028,0
115,39.1,104.5,0.600,1,0.299,1.858,3.106,0
116,38.6,103.4,0.600,1,0.304,1.872,3.184,0
117,38.1,102.2,0.600,1,0.299,1.887,3.263,0
118,37.5,101.0,0.600,1,0.315,1.903,3.341,0
119,36.8,99.8,0.600,1,0.326,1.920,3.420,0
120,36.1,98.5,0.600,1,0.313,1.937,3.499,0
121,35.3,97.1,0.600,1,0.333,1.955,3.577,0
122,34.5,95.8,0.600,1,0.316,1.973,3.656,0
123,33.6,94.4,0.600,1,0.314,1.990,3.734,0
124,32.9,93.1,0.600,1,-0.291,2.013,3.812,0
125,32.5,92.2,0.600,1,-0.385,2.040,3.890,0
126,32.0,91.2,0.600,1,-0.389,2.070,3.967,0
127,32.2,91.0,0.600,1,-0.397,2.113,4.044,0
128,32.8,91.1,0.480,1,-0.467,2.171,4.120,0
129,33.9,91.8,0.600,1,0.299,2.234,4.197,0
130,35.1,92.6,0.600,1,0.314,2.297,4.273,0
131,35.4,92.7,0.600,1,0.318,2.354,4.349,0
132,35.1,92.0,0.600,1,0.321,2.402,4.427,0
133,34.0,90.6,0.600,1,0.335,2.444,4.504,0
134,31.8,88.1,0.600,1,0.336,2.479,4.581,0
135,28.7,84.6,0.600,1,0.327,2.509,4.657,0
136,25.2,80.9,0.600,1,0.338,2.536,4.732,0
137,22.0,77.5,0.600,1,0.321,2.562,4.805,0
138,20.0,75.3,0.600,1,0.320,2.593,4.878,0
139,17.2,72.3,0.480,1,0.327,2.618,4.949,0
140,14.5,69.5,0.530,1,0.360,2.643,5.019,0
141,11.8,66.7,0.600,1,0.343,2.665,5.086,0
142,9.1,63.9,0.483,1,0.380,2.685,5.152,0
143,6.6,61.4,0.600,1,0.346,2.705,5.217,0
144,4.2,59.0,0.600,1,0.334,2.725,5.280,0
145,1.7,56.5,0.600,1,0.326,2.744,5.342,0
146,-0.7,54.2,0.494,1,0.306,2.764,5.403,0
147,-3.0,51.9,0.525,1,0.301,2.784,5.463,0
148,-5.1,49.8,0.481,1,0.284,2.807,5.524,0
149,-7.2,47.8,0.361,1,0.864,2.833,5.587,0
150,-9.1,45.9,0.241,1,0.717,2.861,5.650,0
151,-11.1,43.9,0.121,1,0.681,2.886,5.710,0
152,-12.4,42.8,0.001,1,0.508,2.904,5.764,0
153,-14.3,41.2,-0.119,1,0.483,2.908,5.807,0
154,-15.9,40.0,-0.095,1,0.694,2.912,5.849,0
155,-17.1,39.1,-0.070,1,0.708,2.917,5.891,0
156,-18.3,38.3,-0.114,1,0.572,2.916,5.927,0
157,-19.6,37.5,-0.063,1,0.753,2.908,5.957,0
158,-20.7,37.0,-0.046,1,0.767,2.904,5.989,0
159,-21.8,36.5,-0.166,1,0.755,2.894,6.015,0
160,-22.8,36.2,-0.286,1,0.813,2.879,6.037,0
161,-23.5,36.1,-0.299,1,0.852,2.863,6.057,0
162,-24.2,36.1,-0.345,1,0.830,2.850,6.083,0
163,-24.6,36.4,-0.404,1,0.862,2.832,6.101,0
164,-24.9,36.8,-0.351,1,0.800,2.812,6.118,0
165,-25.2,37.4,-0.319,1,0.767,2.788,6.132,0
166,-25.2,38.3,-0.372,1,0.761,2.768,6.150,0
167,-24.8,39.3,-0.348,1,0.758,2.749,6.170,0
168,-24.4,40.5,-0.316,1,0.688,2.732,6.166,0
169,-26.1,39.3,-0.418,1,0.577,2.726,6.121,0
170,-25.8,40.0,-0.365,1,0.564,2.725,6.076,0
171,-26.7,39.6,-0.354,1,0.644,2.722,6.030,0
172,-27.1,39.6,-0.359,1,0.550,2.728,5.993,0
173,-27.7,39.3,-0.418,1,0.576,2.738,5.958,0
174,-28.1,39.1,-0.486,1,0.508,2.751,5.927,0
175,-27.9,39.5,-0.469,1,0.480,2.766,5.897,0
176,-27.6,40.2,-0.445,1,0.490,2.776,5.860,0
177,-26.2,41.9,-0.395,1,0.449,2.790,5.829,0
178,-25.4,42.8,-0.345,1,0.527,2.807,5.799,0
179,-24.5,43.9,-0.324,1,0.638,2.820,5.769,0
180,-23.5,45.3,-0.415,1,0.605,2.827,5.735,0
181,-22.5,46.7,-0.361,1,0.616,2.829,5.698,0
182,-21.4,48.3,-0.359,1,0.634,2.826,5.658,0
183,-20.5,49.6,-0.291,1,0.517,2.824,5.621,0
184,-19.5,51.0,-0.340,1,0.503,2.827,5.586,0
185,-17.8,52.9,-0.353,1,0.484,2.846,5.557,0
186,-16.2,55.4,-0.291,1,0.437,2.852,5.543,0
187,-15.1,57.5,-0.304,1,0.454,2.860,5.531,0
