step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
98,-14.1,-43.9,-0.450,1,0.636,2.977,1.619,0
99,-12.5,-42.1,-0.472,1,0.548,2.988,1.592,0
100,-10.7,-40.4,-0.475,1,0.481,2.988,1.555,0
101,-8.9,-38.9,-0.481,1,0.432,2.986,1.515,0
102,-7.4,-37.5,-0.537,1,0.662,2.989,1.478,0
103,-6.2,-33.6,-0.543,1,0.441,2.996,1.409,0
104,-4.9,-29.6,-0.476,1,0.441,2.996,1.343,0
105,-3.6,-25.2,-0.493,1,0.517,2.998,1.286,0
106,-2.5,-20.7,-0.459,1,0.537,3.005,1.242,0
107,-1.5,-16.1,-0.354,1,0.345,3.009,1.205,0
108,-0.4,-11.3,-0.468,1,0.477,3.012,1.177,0
109,0.6,-6.7,-0.555,1,0.521,3.017,1.160,0
110,1.6,-2.1,-0.435,1,0.599,3.024,1.155,0
111,2.6,2.3,-0.480,0,0.557,3.028,1.155,0
112,3.6,6.5,-0.360,1,0.499,3.028,1.159,0
113,4.6,10.4,-0.272,1,0.438,3.030,1.170,0
114,5.4,14.2,-0.152,1,0.487,3.037,1.187,0
115,6.0,17.7,-0.032,1,0.572,3.048,1.208,0
116,6.5,21.3,0.088,1,0.747,3.057,1.227,0
117,6.7,24.9,-0.032,1,-0.187,3.061,1.242,0
118,6.8,28.5,-0.152,1,0.271,3.054,1.249,0
119,6.8,32.3,-0.272,1,0.320,3.045,1.256,0
120,6.8,35.9,-0.392,1,0.315,3.049,1.276,0
121,6.8,39.2,-0.512,1,0.312,3.068,1.309,0
122,6.8,42.0,-0.600,1,0.303,3.094,1.337,0
123,6.8,43.5,-0.563,1,0.299,3.123,1.315,0
124,7.2,45.2,-0.506,1,0.317,3.152,1.294,0
125,8.0,47.7,-0.429,1,0.339,3.186,1.284,0
126,8.8,52.6,-0.383,1,0.351,3.215,1.313,0
127,9.7,57.6,-0.263,1,0.872,3.243,1.340,0
128,10.9,62.8,-0.143,1,0.876,3.276,1.370,0
129,12.8,68.9,-0.023,1,0.887,3.305,1.397,0
130,14.1,74.8,0.012,1,0.863,3.324,1.423,0
131,17.2,82.7,-0.042,1,0.835,3.336,1.450,0
132,21.2,91.6,-0.050,1,0.763,3.345,1.482,0
133,24.2,99.4,-0.118,1,0.695,3.353,1.522,0
134,24.9,104.8,-0.125,1,0.661,3.365,1.552,0
135,29.3,113.2,-0.115,1,0.509,3.389,1.598,0
136,77.9,165.4,-0.110,1,0.445,3.435,1.563,0
