step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,-8.5,16.1,-0.069,1,0.871,5.020,4.688,0
2,-8.0,16.1,-0.161,1,0.672,5.045,4.687,0
3,-7.3,16.3,-0.234,1,0.639,5.063,4.672,0
4,-6.7,16.0,-0.198,1,0.575,5.070,4.608,0
5,-6.1,15.9,-0.222,1,0.556,5.058,4.521,0
6,-5.4,16.0,-0.247,1,0.546,5.040,4.422,0
7,-4.8,16.1,-0.255,1,0.499,5.023,4.319,0
8,-4.5,15.9,-0.310,1,0.460,5.012,4.223,0
9,-3.7,16.2,-0.378,1,1.000,5.003,4.125,0
10,-2.2,17.1,-0.258,1,1.000,5.001,4.034,0
11,-0.9,17.9,-0.138,1,0.942,4.993,3.939,0
12,0.3,18.6,-0.018,1,0.937,4.969,3.827,0
13,2.7,20.5,0.038,1,0.943,4.940,3.712,0
14,5.7,23.0,-0.049,1,0.839,4.902,3.589,0
15,6.9,23.8,-0.068,1,0.761,4.859,3.463,0
16,8.4,24.9,0.046,1,0.716,4.813,3.337,0
17,9.8,25.9,0.072,1,0.639,4.770,3.215,0
18,11.1,26.6,0.059,1,0.600,4.732,3.099,0
19,12.2,27.2,0.179,1,0.370,4.699,2.988,0
20,13.4,27.8,0.299,1,0.544,4.670,2.883,0
21,14.4,28.1,0.219,1,0.948,4.643,2.781,0
22,15.1,28.1,0.339,1,0.724,4.616,2.680,0
23,15.7,28.1,0.459,1,0.424,4.577,2.572,0
24,16.1,27.8,0.579,1,0.424,4.528,2.461,0
25,16.5,27.2,0.600,1,0.437,4.483,2.360,0
26,16.7,26.2,0.600,1,0.232,4.445,2.273,0
27,16.8,24.8,0.600,1,0.362,4.407,2.194,0
28,16.7,23.2,0.600,1,0.344,4.375,2.128,0
29,16.7,21.3,0.600,1,0.363,4.345,2.065,0
30,16.5,19.3,0.480,1,0.320,4.316,2.004,0
31,16.2,17.0,0.360,1,0.314,4.286,1.948,0
32,15.8,14.5,0.240,0,0.305,4.260,1.896,0
33,15.5,11.8,0.120,0,0.301,4.235,1.850,0
34,15.3,9.2,0.000,0,0.312,4.213,1.808,0
35,15.1,6.6,0.120,0,0.276,4.192,1.770,0
36,15.0,3.9,0.240,0,0.205,4.171,1.736,0
37,15.0,1.2,0.360,0,0.174,4.154,1.707,0
38,15.0,-1.5,0.240,0,0.159,4.143,1.687,0
39,15.1,-4.1,0.120,0,0.279,4.135,1.673,0
40,15.4,-6.6,0.000,0,0.249,4.131,1.662,0
41,15.5,-9.4,-0.120,0,0.217,4.124,1.651,0
42,15.6,-12.1,-0.240,0,0.243,4.114,1.640,0
43,16.0,-14.6,-0.360,0,0.194,4.107,1.633,0
44,16.4,-17.2,-0.349,1,0.172,4.100,1.626,0
45,16.9,-19.6,-0.311,1,0.199,4.096,1.625,0
46,17.5,-21.9,-0.286,1,0.186,4.094,1.626,0
47,18.0,-24.3,-0.286,1,0.177,4.092,1.628,0
48,18.6,-26.5,-0.166,1,0.306,4.091,1.634,0
49,19.3,-28.8,-0.046,1,0.426,4.091,1.640,0
50,19.9,-31.3,0.057,1,0.484,4.085,1.641,0
51,20.5,-34.0,0.177,1,0.357,4.073,1.638,0
52,20.9,-37.0,0.297,1,0.370,4.053,1.632,0
53,21.3,-40.1,0.177,1,0.244,4.037,1.631,0
54,21.5,-43.3,0.057,1,0.243,4.024,1.635,0
55,21.9,-46.1,0.177,1,0.285,4.019,1.647,0
56,22.4,-48.6,0.297,1,0.309,4.018,1.662,0
57,22.7,-51.4,0.382,1,0.257,4.015,1.679,0
58,23.0,-54.3,0.457,1,0.260,4.012,1.694,0
59,23.3,-57.2,0.577,1,0.448,4.011,1.709,0
60,23.5,-60.3,0.600,1,0.465,4.011,1.722,0
61,23.4,-63.7,0.600,1,0.418,4.009,1.732,0
62,23.1,-67.9,0.600,1,0.465,3.998,1.736,0
63,22.5,-72.4,0.575,1,0.465,3.986,1.740,0
64,21.7,-77.4,0.600,1,0.409,3.971,1.743,0
65,20.7,-82.5,0.569,1,0.376,3.957,1.748,0
66,20.0,-87.2,0.449,1,0.337,3.947,1.754,0
67,19.0,-92.1,0.444,1,0.325,3.940,1.761,0
68,18.4,-96.5,0.449,1,0.289,3.937,1.770,0
69,17.7,-100.8,0.465,1,0.333,3.936,1.784,0
70,17.1,-104.8,0.482,1,0.331,3.939,1.803,0
71,16.4,-108.9,0.600,1,0.336,3.941,1.827,0
72,15.6,-113.1,0.587,1,0.339,3.941,1.856,0
73,14.7,-117.2,0.467,1,0.365,3.942,1.890,0
74,13.7,-121.4,0.434,1,0.395,3.942,1.928,0
75,12.6,-125.6,0.368,1,0.197,3.941,1.972,0
76,11.6,-129.6,0.248,1,0.240,3.940,2.021,0
77,10.9,-132.8,0.368,1,0.459,3.946,2.067,0
