step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
101,-35.7,158.4,-0.600,1,0.310,1.800,2.958,0
102,-34.8,159.7,-0.600,1,0.305,1.817,2.968,0
103,-34.1,160.8,-0.600,1,0.303,1.835,2.973,0
104,-33.3,162.0,-0.600,1,0.309,1.853,2.973,0
105,-32.3,163.3,-0.600,1,0.293,1.871,2.969,0
106,-31.4,164.7,-0.600,1,0.298,1.887,2.962,0
107,-30.4,166.1,-0.600,1,0.284,1.904,2.950,0
108,-29.4,167.5,-0.600,1,0.283,1.922,2.932,0
109,-28.5,168.7,-0.600,1,0.282,1.941,2.912,0
110,-27.7,169.8,-0.600,1,0.294,1.961,2.891,0
111,-26.8,170.9,-0.600,1,0.293,1.982,2.872,0
112,-25.8,171.9,-0.600,1,0.301,2.002,2.854,0
113,-24.9,173.0,-0.600,1,0.306,2.021,2.838,0
114,-23.8,174.0,-0.600,1,0.299,2.040,2.825,0
115,-22.8,175.0,-0.600,1,0.292,2.058,2.812,0
116,-21.7,175.9,-0.600,1,0.292,2.077,2.801,0
117,-20.7,176.7,-0.600,1,0.284,2.096,2.790,0
118,-19.7,177.3,-0.600,1,0.282,2.117,2.779,0
119,-18.6,178.0,-0.480,1,0.262,2.138,2.769,0
120,-17.7,178.5,-0.425,1,0.279,2.159,2.761,0
121,-16.7,179.0,-0.383,1,0.301,2.181,2.753,0
122,-15.8,179.4,-0.389,1,0.271,2.202,2.747,0
123,-14.9,179.7,-0.349,1,0.257,2.223,2.743,0
124,-14.1,179.8,-0.353,1,0.253,2.245,2.739,0
125,-13.4,179.8,-0.372,1,0.276,2.269,2.735,0
126,-12.7,179.8,-0.252,1,0.210,2.293,2.731,0
127,-11.9,179.8,-0.268,1,0.195,2.318,2.729,0
128,-11.2,179.5,-0.232,1,0.185,2.346,2.725,0
129,-10.7,179.2,-0.352,1,0.318,2.377,2.720,0
130,-10.2,178.7,-0.321,1,0.321,2.409,2.716,0
131,-9.7,178.3,-0.285,1,0.314,2.437,2.716,0
132,-8.9,178.2,-0.278,1,0.292,2.459,2.725,0
133,-8.0,178.1,-0.248,1,0.240,2.481,2.736,0
134,-7.2,178.0,-0.186,1,0.219,2.503,2.747,0
135,-6.4,177.7,-0.221,1,0.197,2.529,2.757,0
136,-5.8,177.2,-0.235,1,0.226,2.557,2.766,0
137,-5.2,176.8,-0.295,1,0.235,2.587,2.775,0
138,-4.6,176.4,-0.261,1,0.242,2.616,2.787,0
139,-3.9,176.0,-0.141,1,0.488,2.644,2.801,0
140,-3.2,175.5,-0.021,1,0.442,2.671,2.818,0
141,-2.5,175.2,-0.045,1,0.361,2.694,2.841,0
142,-1.6,175.0,-0.115,1,0.368,2.683,2.874,0
143,-0.4,174.9,-0.182,1,0.348,2.647,2.908,0
144,0.8,174.7,-0.117,1,0.350,2.612,2.944,0
145,1.7,174.4,-0.216,1,0.308,2.578,2.980,0
146,2.8,174.2,-0.115,1,0.269,2.544,3.017,0
147,3.8,173.9,-0.155,1,0.273,2.514,3.053,0
148,4.8,173.6,-0.100,1,0.230,2.486,3.087,0
149,5.7,173.3,0.020,1,0.554,2.461,3.120,0
150,6.4,172.7,0.103,1,0.423,2.438,3.152,0
151,7.1,172.2,0.124,1,0.405,2.412,3.189,0
152,7.9,171.8,0.133,1,0.372,2.376,3.237,0
153,8.7,171.3,0.084,1,-0.001,2.339,3.287,0
154,9.3,170.7,0.123,1,0.050,2.304,3.337,0
155,9.7,170.0,0.155,1,0.167,2.279,3.378,0
156,9.9,169.1,0.189,1,0.154,2.267,3.407,0
157,10.1,168.1,0.146,1,0.150,2.254,3.439,0
158,10.3,167.2,0.169,1,0.145,2.240,3.472,0
159,10.4,166.3,0.289,1,0.295,2.226,3.507,0
160,10.6,165.4,0.338,1,0.247,2.213,3.542,0
161,10.7,164.4,0.333,1,0.218,2.196,3.582,0
162,10.9,163.6,0.294,1,0.180,2.175,3.626,0
163,11.0,162.7,0.281,1,0.214,2.154,3.671,0
164,11.0,161.7,0.274,1,0.256,2.136,3.715,0
165,13.1,160.8,0.319,1,0.242,2.155,3.761,0
166,15.3,159.9,0.324,1,0.233,2.168,3.811,0
167,17.5,158.9,0.365,1,0.196,2.174,3.861,0
168,19.7,158.0,0.382,1,0.169,2.177,3.911,0
169,21.8,156.9,0.476,1,0.302,2.178,3.959,0
170,23.9,155.9,0.537,1,0.256,2.175,4.006,0
171,25.9,154.6,0.600,1,0.189,2.164,4.056,0
172,27.9,153.3,0.561,1,0.291,2.146,4.110,0
173,29.8,152.0,0.557,1,0.293,2.125,4.162,0
174,31.6,150.5,0.483,1,0.288,2.095,4.219,0
175,33.5,148.9,0.429,1,0.156,2.060,4.278,0
176,35.3,147.4,0.549,1,0.211,2.031,4.338,0
177,37.4,146.0,0.503,1,0.133,2.014,4.391,0
178,39.3,144.6,0.498,1,0.063,2.002,4.444,0
179,41.3,143.2,0.600,1,0.309,1.999,4.494,0
180,43.4,142.0,0.600,1,0.310,2.003,4.540,0
181,45.3,140.7,0.600,1,0.273,2.008,4.588,0
182,46.9,138.8,0.600,1,0.232,2.008,4.646,0
183,48.4,136.9,0.480,1,-0.322,2.011,4.705,0
184,49.9,135.6,0.360,1,-0.341,2.017,4.729,0
185,51.7,134.9,0.240,1,-0.355,2.029,4.738,0
186,54.2,135.1,0.120,1,-0.361,2.045,4.734,0
187,57.1,135.9,0.000,1,-0.372,2.064,4.721,0
188,60.4,137.2,-0.120,1,-0.340,2.078,4.703,0
189,63.8,138.6,-0.240,1,-0.373,2.085,4.684,0
190,67.2,140.1,-0.360,1,-0.297,2.085,4.665,0
191,70.7,141.7,-0.480,1,-0.278,2.081,4.646,0
192,74.0,143.0,-0.600,1,0.285,2.078,4.630,0
193,77.2,144.2,-0.600,1,-0.254,2.076,4.615,0
194,80.2,145.1,-0.600,1,0.258,2.075,4.605,0
195,83.3,146.1,-0.600,1,-0.289,2.076,4.593,0
196,86.4,147.1,-0.600,1,-0.240,2.079,4.583,0
197,89.5,148.2,-0.600,1,-0.265,2.085,4.569,0
198,93.0,149.7,-0.600,1,-0.233,2.093,4.551,0
199,96.6,151.5,-0.600,1,0.339,2.101,4.530,0
200,100.3,153.4,-0.600,1,0.304,2.111,4.510,0
201,103.9,155.0,-0.600,1,0.303,2.123,4.496,0
202,106.8,155.8,-0.600,1,0.284,2.141,4.492,0
203,109.1,155.7,-0.600,1,0.298,2.167,4.502,0
204,111.6,155.6,-0.600,1,0.284,2.199,4.519,0
205,114.1,155.6,-0.600,1,-0.301,2.237,4.538,0
206,117.1,156.3,-0.600,1,-0.308,2.278,4.555,0
207,120.7,157.8,-0.600,1,-0.293,2.319,4.564,0
