step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,-17.2,10.3,-0.120,0,0.823,4.628,4.460,0
2,-16.7,9.6,-0.240,0,0.833,4.577,4.404,0
3,-16.8,8.5,-0.360,0,0.723,4.514,4.334,0
4,-17.5,6.9,-0.433,0,0.747,4.433,4.244,0
5,-18.7,5.2,-0.313,0,0.689,4.332,4.133,0
6,-20.1,3.5,-0.304,0,0.586,4.214,4.001,0
7,-21.1,2.4,-0.184,0,0.661,4.091,3.864,0
8,-22.5,1.0,-0.064,0,0.596,3.983,3.741,0
9,-23.8,0.1,-0.184,0,0.772,3.866,3.606,0
10,-25.2,-0.7,-0.304,0,0.487,3.751,3.474,0
11,-26.6,-1.3,-0.424,0,0.716,3.635,3.338,0
12,-27.6,-1.3,-0.544,0,0.606,3.524,3.209,0
13,-28.8,-1.4,-0.600,0,0.588,3.414,3.083,0
14,-29.8,-0.9,-0.600,0,0.502,3.303,2.958,0
15,-30.5,0.0,-0.600,0,0.418,3.194,2.839,0
16,-30.9,1.5,-0.600,0,0.378,3.089,2.728,0
17,-30.9,3.4,-0.600,0,0.359,2.991,2.622,0
18,-30.7,5.4,-0.539,0,0.356,2.898,2.521,0
19,-30.6,7.4,-0.600,0,0.358,2.807,2.422,0
20,-30.5,9.6,-0.600,0,0.335,2.717,2.323,0
21,-30.2,12.0,-0.600,0,0.335,2.628,2.225,0
22,-29.8,14.6,-0.600,0,0.360,2.541,2.128,0
23,-29.5,17.3,-0.600,0,0.386,2.457,2.031,0
24,-29.4,20.3,-0.600,0,0.381,2.375,1.932,0
25,-29.3,23.1,-0.600,0,0.369,2.296,1.854,0
26,-29.4,25.2,-0.486,0,0.459,2.222,1.820,0
27,-29.5,27.4,-0.486,0,0.427,2.153,1.786,0
28,-29.9,29.7,-0.396,0,0.400,2.086,1.750,0
29,-30.4,32.2,-0.276,1,-0.375,2.024,1.714,0
30,-31.1,34.5,-0.156,1,-0.291,1.970,1.680,0
31,-32.0,36.8,-0.036,1,-0.107,1.925,1.651,0
32,-33.2,38.2,0.084,1,0.080,1.897,1.634,0
33,-35.0,37.9,0.091,1,0.282,1.886,1.557,0
34,-36.9,37.1,0.131,1,-0.300,1.880,1.484,0
35,-38.7,36.4,0.131,0,-0.338,1.867,1.406,0
36,-40.5,35.3,0.059,0,-0.370,1.859,1.334,0
37,-42.5,33.0,-0.023,0,-0.377,1.862,1.280,0
38,-44.6,29.3,-0.019,0,-0.336,1.878,1.246,0
39,-47.0,24.8,-0.139,0,0.117,1.897,1.230,0
40,-49.6,19.8,-0.259,0,-0.477,1.916,1.228,0
41,-52.1,14.8,-0.379,0,-0.443,1.932,1.237,0
42,-54.5,9.9,-0.499,0,-0.434,1.948,1.259,0
43,-57.1,5.2,-0.600,0,-0.444,1.962,1.294,0
44,-59.2,1.2,-0.492,0,-0.537,1.973,1.339,0
45,-60.5,-1.7,-0.372,0,-0.540,1.983,1.386,0
46,-61.1,-3.7,-0.492,0,-0.426,1.992,1.430,0
47,-61.3,-5.2,-0.600,0,-0.019,2.001,1.472,0
48,-60.4,-5.6,-0.600,0,0.249,2.011,1.516,0
49,-59.6,-5.9,-0.600,0,0.282,2.019,1.553,0
50,-60.3,-7.4,-0.600,0,0.298,2.022,1.579,0
51,-61.8,-9.5,-0.600,0,0.324,2.021,1.596,0
52,-63.1,-11.2,-0.600,0,0.440,2.020,1.609,0
53,-63.6,-12.1,-0.600,0,0.328,2.020,1.621,0
54,-63.1,-11.5,-0.600,0,0.320,2.018,1.623,0
55,-61.8,-9.9,-0.600,0,0.313,2.018,1.625,0
56,-60.5,-8.8,-0.600,0,0.322,2.018,1.633,0
57,-59.4,-7.3,-0.600,0,0.298,2.019,1.635,0
58,-58.4,-6.3,-0.600,0,0.363,2.020,1.643,0
59,-57.6,-5.1,-0.600,0,0.300,2.017,1.646,0
60,-56.9,-4.1,-0.600,0,0.291,2.009,1.654,0
61,-56.2,-3.1,-0.600,0,0.303,1.996,1.663,0
62,-55.9,-2.1,-0.600,0,0.305,1.981,1.668,0
63,-55.7,-1.2,-0.600,0,0.286,1.961,1.674,0
64,-55.7,-0.7,-0.600,0,0.298,1.938,1.688,0
65,-55.8,-0.3,-0.600,0,0.290,1.917,1.703,0
66,-56.0,0.1,-0.600,0,0.317,1.898,1.719,0
67,-56.3,0.4,-0.600,0,0.306,1.883,1.736,0
68,-56.7,0.8,-0.600,0,0.352,1.870,1.751,0
69,-57.0,1.2,-0.600,0,0.301,1.860,1.766,0
70,-57.5,1.5,-0.600,0,0.312,1.852,1.778,0
71,-58.0,1.9,-0.600,0,0.369,1.848,1.791,0
72,-58.5,2.2,-0.600,0,0.357,1.847,1.803,0
73,-59.1,2.5,-0.600,0,0.429,1.848,1.813,0
74,-59.5,3.0,-0.600,0,0.330,1.851,1.820,0
75,-60.0,3.5,-0.600,0,0.333,1.857,1.824,0
76,-60.4,3.8,-0.600,0,0.322,1.867,1.830,0
77,-60.8,4.1,-0.600,0,0.330,1.881,1.837,0
78,-61.2,4.3,-0.600,0,0.562,1.898,1.846,0
79,-61.5,4.6,-0.600,0,0.347,1.917,1.853,0
80,-61.9,4.9,-0.600,0,0.307,1.935,1.850,0
81,-62.1,5.6,-0.600,0,0.295,1.952,1.842,0
82,-62.1,6.0,-0.600,0,0.283,1.977,1.843,0
83,-62.2,6.2,-0.600,0,0.296,2.006,1.849,0
84,-62.2,6.2,-0.600,0,0.299,2.037,1.858,0
85,-62.3,6.1,-0.600,0,0.330,2.071,1.866,0
86,-62.3,6.0,-0.600,0,0.336,2.105,1.875,0
87,-62.3,6.0,-0.600,0,0.323,2.141,1.881,0
88,-62.0,6.1,-0.600,0,0.325,2.177,1.887,0
89,-61.7,6.2,-0.600,0,0.279,2.214,1.893,0
90,-61.4,6.3,-0.600,0,0.382,2.252,1.899,0
91,-60.8,6.5,-0.600,0,0.486,2.291,1.907,0
92,-60.2,6.8,-0.600,0,0.388,2.329,1.912,0
93,-59.3,7.6,-0.600,0,0.383,2.364,1.910,0
94,-58.4,8.2,-0.600,0,0.443,2.400,1.909,0
95,-57.6,8.7,-0.600,0,0.392,2.437,1.911,0
96,-56.7,9.2,-0.600,0,0.475,2.473,1.912,0
97,-56.0,9.6,-0.600,0,0.603,2.511,1.917,0
