step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,14.2,-14.4,0.040,1,0.957,4.556,4.657,0
2,13.6,-14.3,0.050,1,0.915,4.520,4.648,0
3,13.4,-13.5,0.038,1,0.874,4.472,4.603,0
4,13.7,-12.4,0.055,0,0.840,4.405,4.539,0
5,14.4,-11.0,0.037,0,0.728,4.314,4.443,0
6,15.1,-9.8,0.072,0,0.656,4.203,4.313,0
7,15.8,-8.8,0.066,0,0.621,4.083,4.174,0
8,16.6,-7.7,0.057,0,0.556,3.971,4.045,0
9,18.4,-5.8,0.131,0,0.945,3.857,3.913,0
10,20.2,-4.2,0.070,0,0.867,3.742,3.779,0
11,21.1,-3.7,0.052,0,0.798,3.629,3.646,0
12,21.7,-3.7,0.067,0,0.821,3.505,3.501,0
13,22.7,-3.9,0.109,0,0.767,3.375,3.350,0
14,23.6,-4.3,0.072,0,0.740,3.246,3.200,0
15,24.7,-5.1,0.065,0,0.620,3.121,3.056,0
16,25.8,-6.0,0.087,0,0.560,3.002,2.919,0
17,26.9,-7.3,0.088,0,0.499,2.891,2.796,0
18,27.7,-8.8,0.011,0,0.419,2.786,2.683,0
19,28.5,-10.3,0.118,0,0.291,2.686,2.576,0
20,29.4,-11.7,0.194,0,0.263,2.593,2.474,0
21,30.2,-13.1,0.239,0,0.252,2.505,2.378,0
22,30.9,-14.5,0.241,0,0.247,2.424,2.290,0
23,31.6,-16.1,0.254,0,0.257,2.346,2.204,0
24,32.2,-17.6,0.256,0,0.257,2.269,2.121,0
25,32.8,-19.3,0.159,0,0.254,2.192,2.037,0
26,33.5,-21.1,0.085,0,0.270,2.115,1.954,0
27,34.2,-23.0,0.030,0,0.315,2.038,1.870,0
28,34.8,-23.6,-0.090,0,0.482,1.960,1.847,0
29,35.8,-24.2,-0.210,0,0.369,1.880,1.820,0
30,36.5,-25.1,-0.330,0,0.366,1.821,1.785,0
31,37.1,-25.8,-0.450,0,0.462,1.787,1.747,0
32,37.9,-26.3,-0.570,0,0.356,1.757,1.713,0
33,38.9,-26.7,-0.600,0,0.307,1.726,1.677,0
34,40.2,-26.9,-0.600,0,0.283,1.697,1.643,0
35,41.6,-26.5,-0.600,0,0.168,1.673,1.551,0
36,43.0,-25.8,-0.600,0,-0.022,1.652,1.450,0
37,44.3,-24.5,-0.600,0,0.293,1.637,1.357,0
38,44.4,-22.8,-0.600,0,-0.329,1.575,1.278,0
39,44.9,-20.7,-0.480,0,-0.599,1.549,1.201,0
40,45.7,-17.9,-0.600,0,-0.671,1.545,1.134,0
41,45.8,-14.6,-0.600,0,-0.566,1.550,1.088,0
42,45.3,-11.1,-0.600,0,-0.538,1.563,1.063,0
43,44.5,-7.4,-0.600,0,-0.552,1.578,1.051,0
44,44.1,-3.3,-0.600,0,-0.541,1.581,1.048,0
45,44.8,1.7,-0.600,0,-0.540,1.533,1.058,0
46,47.0,3.7,-0.480,0,0.298,1.487,1.074,0
47,50.5,6.7,-0.360,0,0.282,1.443,1.091,0
48,54.1,9.5,-0.240,0,0.247,1.397,1.103,0
49,56.8,10.8,-0.360,0,-0.658,1.350,1.105,0
50,58.6,10.6,-0.480,0,-0.578,1.302,1.097,0
51,61.0,10.7,-0.600,0,-0.579,1.260,1.089,0
52,64.4,11.8,-0.600,0,-0.536,1.231,1.091,0
53,68.7,13.8,-0.600,0,-0.540,1.212,1.100,0
54,73.7,16.6,-0.600,0,-0.524,1.197,1.116,0
55,79.2,20.0,-0.600,0,-0.512,1.181,1.134,0
56,84.1,23.6,-0.600,0,-0.521,1.172,1.153,0
57,89.9,30.1,-0.600,0,-0.495,1.154,1.121,0
58,95.8,36.8,-0.600,0,-0.492,1.135,1.097,0
59,101.6,42.5,-0.480,0,0.315,1.115,1.091,0
60,107.4,47.4,-0.360,0,0.320,1.092,1.091,0
61,111.9,51.9,-0.240,0,0.312,1.075,1.089,0
