step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,18.0,-6.2,-0.017,0,0.100,4.647,5.008,0,1.026,321.2,0,0,1,282.1,148.7,347.1,329.4,0.993
2,18.0,-5.8,0.070,0,0.200,4.640,5.030,0,1.034,320.6,0,0,1,254.1,149.6,319.2,328.6,0.993
3,17.7,-5.1,0.139,0,0.300,4.593,5.054,0,1.039,321.2,0,0,1,235.0,147.5,311.3,333.7,0.996
4,17.8,-4.0,0.163,0,0.400,4.524,5.074,0,1.033,322.7,0,0,1,216.6,133.8,307.4,357.4,0.999
5,18.0,-3.2,0.124,0,0.500,4.464,5.083,0,1.018,326.1,0,0,1,233.5,136.3,320.2,352.6,0.999
6,18.4,-2.2,0.044,0,0.600,4.382,5.086,0,1.012,327.2,0,0,1,270.6,133.8,356.3,352.2,0.995
7,18.9,-1.2,0.086,0,0.700,4.288,5.079,0,0.992,331.5,0,0,1,253.7,135.6,341.4,351.5,0.998
8,18.4,-1.2,0.072,0,0.800,4.195,5.073,0,0.950,332.6,0,0,1,259.0,129.8,351.8,359.4,0.998
9,18.0,-1.1,0.192,0,0.900,4.093,5.057,0,1.006,332.9,0,0,1,216.6,146.7,304.2,329.8,1.000
10,17.3,-1.3,0.121,0,0.976,3.975,5.026,0,0.976,336.9,0,0,0,243.0,152.2,330.1,312.9,1.005
11,16.4,-1.8,0.093,0,0.975,3.822,4.974,0,0.975,338.5,0,0,0,253.6,154.3,337.9,304.6,1.003
12,15.9,-2.0,-0.004,0,1.000,3.704,4.928,0,1.019,343.2,0,0,0,291.1,150.1,378.7,316.2,0.995
13,15.3,-2.2,-0.024,0,1.000,3.561,4.870,0,1.007,350.0,0,0,0,295.5,149.3,384.5,322.5,0.998
14,14.7,-2.5,-0.070,0,0.990,3.414,4.807,0,0.990,357.7,0,0,0,311.4,145.3,401.6,324.2,1.000
15,14.1,-2.7,-0.032,0,0.936,3.266,4.744,0,0.936,362.7,0,0,0,293.9,142.6,383.4,333.0,1.001
16,13.8,-2.6,-0.005,0,0.916,3.119,4.679,0,0.916,372.4,0,0,0,286.6,139.9,378.9,334.7,0.998
17,13.5,-2.3,-0.019,0,0.888,2.975,4.617,0,0.888,383.2,0,0,0,295.4,135.6,387.6,339.3,0.998
18,13.4,-1.9,-0.029,0,0.853,2.835,4.557,0,0.853,394.7,0,0,0,298.9,128.3,394.9,356.0,1.000
19,13.2,-1.4,0.091,0,0.553,2.674,4.488,0,0.553,403.1,0,0,0,176.6,104.3,297.9,409.6,0.992
20,13.2,-0.8,0.211,0,0.627,2.562,4.440,0,0.627,411.3,0,0,0,172.0,108.1,298.5,402.8,0.993
21,12.8,-0.4,0.216,0,0.590,2.435,4.385,0,0.590,423.7,0,0,0,178.4,106.2,305.9,401.8,0.995
22,12.3,0.1,0.233,0,0.508,2.322,4.338,0,0.508,434.9,0,0,0,170.5,98.3,303.9,419.3,0.995
23,11.5,0.9,0.325,0,0.468,2.206,4.287,0,0.468,444.3,0,0,0,140.9,98.1,274.6,425.2,1.000
24,10.3,1.3,0.344,0,0.458,2.119,4.246,0,0.458,465.9,0,0,0,135.0,96.6,272.1,424.7,0.996
25,8.7,1.6,0.378,0,0.000,2.041,4.205,0,0.432,476.7,1,0,0,126.6,93.5,269.1,424.9,0.999
26,7.2,1.7,0.333,0,0.000,1.983,4.169,0,0.408,480.0,1,0,1,141.9,91.3,286.5,431.1,1.002
27,5.4,2.1,0.276,0,0.000,1.929,4.135,0,0.371,480.0,1,0,1,163.2,89.8,306.0,433.1,0.998
28,3.3,2.7,0.271,0,0.000,1.891,4.117,0,0.365,480.0,1,0,1,161.3,90.9,304.3,434.7,1.001
29,1.8,3.2,0.151,1,0.000,1.876,4.115,0,0.070,480.0,1,0,0,252.4,58.5,417.2,478.9,0.997
30,-0.0,3.8,0.031,1,0.000,1.862,4.115,0,0.036,480.0,1,0,0,280.2,56.8,446.7,482.2,1.001
31,-2.1,4.7,-0.089,1,-0.017,1.850,4.117,0,-0.017,480.0,0,0,0,277.0,45.9,460.2,482.6,1.000
32,-3.5,5.3,-0.062,1,-0.134,1.843,4.120,0,-0.134,480.0,0,0,0,249.0,40.3,447.3,482.5,0.999
33,-5.2,6.1,-0.169,1,0.000,1.838,4.125,0,0.252,480.0,1,0,1,290.0,40.3,506.2,485.0,1.000
34,-6.9,6.9,-0.211,1,-0.119,1.841,4.137,0,-0.119,480.0,0,0,0,291.9,36.9,501.7,486.0,1.006
35,-8.5,7.7,-0.181,0,-0.051,1.842,4.147,0,-0.051,480.0,0,0,0,279.9,34.6,498.9,486.6,1.000
36,-10.1,8.6,-0.179,0,0.000,1.847,4.160,0,0.015,480.0,1,0,0,279.0,33.3,505.4,485.9,1.004
37,-12.0,9.5,-0.210,0,-0.022,1.851,4.173,0,-0.022,480.0,0,0,0,297.3,31.7,512.1,485.2,1.003
38,-13.4,10.1,-0.136,0,0.000,1.852,4.180,0,0.099,480.0,1,0,0,266.8,33.8,480.5,486.1,0.998
39,-15.2,10.9,-0.256,0,0.000,1.855,4.189,0,0.285,479.9,1,0,1,435.4,28.6,586.4,481.4,0.997
40,-16.9,11.6,-0.376,0,0.000,1.857,4.197,0,0.262,480.0,1,0,1,435.6,26.0,595.9,481.7,1.004
41,-18.9,12.5,-0.496,0,0.000,1.861,4.208,0,0.309,480.0,1,0,1,454.6,13.0,619.3,482.4,1.002
42,-20.3,13.1,-0.600,0,0.000,1.865,4.216,0,0.284,479.6,1,0,1,451.4,18.2,621.7,478.9,1.002
43,-22.1,14.1,-0.600,0,0.000,1.872,4.227,0,0.301,479.5,1,0,1,452.9,14.3,626.2,479.0,1.002
44,-23.6,15.1,-0.600,0,0.100,1.878,4.238,0,0.302,331.9,0,0,1,444.7,19.3,620.2,478.0,1.001
45,-25.1,16.0,-0.600,0,0.200,1.884,4.248,0,0.294,331.4,0,0,1,438.2,22.7,621.1,478.6,1.002
46,-26.7,17.0,-0.600,0,0.291,1.885,4.251,0,0.291,331.9,0,0,0,435.3,26.7,616.8,478.2,1.001
47,-28.2,18.2,-0.600,0,0.283,1.879,4.247,0,0.283,333.4,0,0,0,434.8,33.5,610.0,479.5,0.998
48,-29.6,19.7,-0.600,0,0.293,1.870,4.237,0,0.293,336.3,0,0,0,445.4,20.5,631.9,475.9,1.005
49,-30.7,21.0,-0.600,0,0.303,1.862,4.227,0,0.303,338.8,0,0,0,494.5,54.9,630.0,474.0,0.994
50,-31.8,22.9,-0.488,0,0.403,1.854,4.215,0,0.459,341.4,0,0,1,391.2,88.4,507.9,438.3,0.990
51,-32.9,24.8,-0.512,0,0.380,1.847,4.202,0,0.380,0.0,0,0,0,438.4,72.9,582.0,467.0,1.006
52,-34.3,27.0,-0.548,0,0.361,1.836,4.184,0,0.361,0.0,0,0,0,442.0,73.7,595.5,468.8,1.000
53,-35.3,29.2,-0.590,0,0.329,1.830,4.169,0,0.329,0.0,0,0,0,444.7,66.3,597.3,474.1,1.006
54,-36.1,31.1,-0.476,0,0.309,1.826,4.159,0,0.309,0.0,0,0,0,406.2,79.6,550.7,459.1,1.004
55,-37.1,33.2,-0.495,0,0.310,1.824,4.149,0,0.310,0.0,0,0,0,410.8,66.9,568.0,473.1,1.002
56,-38.1,35.4,-0.585,0,0.292,1.821,4.142,0,0.292,0.0,0,0,0,442.4,43.9,609.1,483.1,1.004
57,-39.1,37.7,-0.509,0,0.283,1.815,4.137,0,0.283,0.0,0,0,0,415.2,47.6,581.3,479.6,1.005
58,-40.1,40.4,-0.436,1,0.290,1.806,4.135,0,0.290,0.0,0,0,0,378.0,44.1,558.2,478.1,1.006
59,-41.0,42.2,-0.556,1,-0.429,1.797,4.135,0,-0.429,0.0,0,0,0,5.5,-1.6,-6.6,-5.0,-0.015
60,-42.3,44.4,-0.600,1,-0.403,1.783,4.136,0,-0.403,0.0,0,0,0,10.8,-1.8,-1.5,-1.2,-0.005
61,-43.3,46.5,-0.600,1,-0.432,1.771,4.144,0,-0.432,0.0,0,0,0,11.1,-2.1,-0.1,-1.1,-0.000
62,-44.4,48.2,-0.600,1,-0.415,1.764,4.161,0,-0.415,0.0,0,0,0,10.1,-1.1,-0.9,-1.1,0.001
63,-45.5,49.3,-0.600,1,-0.365,1.767,4.191,0,-0.365,0.0,0,0,0,531.3,44.9,637.3,461.5,1.011
64,-47.2,49.8,-0.600,1,-0.404,1.779,4.233,0,-0.404,0.0,0,0,0,9.3,-0.2,3.4,3.7,0.003
65,-48.7,50.1,-0.600,1,-0.446,1.792,4.270,0,-0.446,0.0,0,0,0,407.4,1.1,594.7,468.8,0.996
66,-49.4,51.2,-0.593,1,-0.432,1.805,4.307,0,-0.432,0.0,0,0,0,396.0,-1.1,578.0,468.1,0.990
67,-49.0,53.1,-0.473,1,-0.423,1.817,4.338,0,-0.423,0.0,0,0,0,370.7,-0.7,556.7,471.8,0.994
68,-47.3,56.6,-0.404,1,-0.409,1.832,4.374,0,-0.409,0.0,0,0,0,356.8,2.0,544.3,475.0,0.994
69,-45.0,60.6,-0.524,1,-0.329,1.851,4.410,0,-0.329,0.0,0,0,0,-1.3,1.3,-10.0,-2.5,0.002
70,-42.6,64.7,-0.600,1,0.100,1.872,4.446,0,0.160,0.0,0,0,1,-2.2,-0.6,-0.7,1.9,0.006
71,-39.7,69.4,-0.600,1,0.082,1.900,4.487,0,0.082,0.0,0,0,0,572.0,154.8,620.7,377.6,1.004
72,-38.3,72.3,-0.600,1,-0.281,1.917,4.514,0,-0.281,0.0,0,0,0,3.5,1.2,-1.5,-4.2,-0.002
73,-38.3,74.4,-0.600,1,0.100,1.931,4.542,0,0.261,0.0,0,0,1,539.6,33.6,642.4,488.8,1.008
74,-38.4,76.4,-0.600,1,0.200,1.947,4.572,0,0.276,0.0,0,0,1,519.2,18.9,629.9,484.2,1.007
75,-38.6,78.2,-0.600,1,0.227,1.962,4.600,0,0.227,0.0,0,0,0,0.7,0.2,-2.9,2.9,-0.002
76,-39.8,79.4,-0.600,1,-0.231,1.973,4.628,0,-0.231,0.0,0,0,0,474.2,31.7,594.4,496.1,1.005
77,-40.7,80.8,-0.570,1,-0.245,1.983,4.655,0,-0.245,0.0,0,0,0,5.2,-1.0,-3.7,0.7,-0.007
78,-40.9,82.8,-0.600,1,0.100,2.000,4.685,0,0.275,0.0,0,0,1,-2.5,-1.6,3.1,4.7,0.006
79,-41.4,84.3,-0.600,1,0.200,2.022,4.715,0,0.290,0.0,0,0,1,1.2,-0.3,-1.5,-0.0,0.003
80,-42.0,85.7,-0.600,1,0.300,2.042,4.745,0,0.309,0.0,0,0,1,-2.6,0.3,-0.1,-2.8,-0.002
81,-42.3,87.5,-0.600,1,-0.013,2.061,4.776,0,-0.013,0.0,0,0,0,4.2,0.6,-3.3,-2.7,-0.001
82,-42.2,89.9,-0.600,1,0.100,2.076,4.807,0,0.290,0.0,0,0,1,3.1,0.1,5.9,0.7,0.007
83,-41.0,93.7,-0.600,1,0.200,2.098,4.844,0,0.299,0.0,0,0,1,3.0,0.0,3.2,-1.3,0.000
84,-40.1,96.3,-0.600,1,0.298,2.115,4.871,0,0.298,0.0,0,0,0,4.1,-0.1,1.4,-0.5,0.004
85,-38.9,99.5,-0.600,1,0.297,2.134,4.889,0,0.297,0.0,0,0,0,2.0,0.8,1.1,-0.8,0.006
86,-37.2,102.9,-0.600,1,0.286,2.149,4.893,0,0.286,0.0,0,0,0,3.4,0.7,2.5,1.3,0.006
87,-35.2,106.8,-0.600,1,0.295,2.162,4.899,0,0.295,0.0,0,0,0,505.4,51.1,605.9,469.0,1.001
88,-33.1,110.7,-0.600,1,0.321,2.175,4.906,0,0.321,0.0,0,0,0,479.3,71.0,568.8,462.9,1.000
89,-31.1,114.5,-0.600,1,0.330,2.187,4.916,0,0.330,0.0,0,0,0,2.7,0.4,3.1,-0.7,-0.000
90,-29.1,118.4,-0.600,1,0.362,2.197,4.929,0,0.362,0.0,0,0,0,2.8,0.3,3.7,-1.2,-0.001
91,-27.2,122.1,-0.600,1,0.316,2.208,4.943,0,0.316,0.0,0,0,0,534.8,79.4,637.5,478.1,1.007
92,-25.5,125.5,-0.600,1,0.294,2.219,4.959,0,0.294,0.0,0,0,0,531.4,67.6,635.8,487.3,1.006
93,-24.0,128.7,-0.600,1,0.302,2.231,4.977,0,0.302,0.0,0,0,0,513.0,68.5,618.5,477.7,1.007
94,-22.5,131.8,-0.600,1,0.335,2.245,4.995,0,0.335,0.0,0,0,0,452.0,88.6,563.3,446.3,1.006
95,-20.9,135.1,-0.600,1,0.366,2.260,5.018,0,0.366,0.0,0,0,0,441.0,94.2,563.6,446.0,1.003
96,-19.3,138.0,-0.480,1,0.355,2.272,5.035,0,0.355,469.7,0,0,0,391.9,97.1,508.8,435.2,1.006
97,-17.7,141.0,-0.489,1,0.321,2.285,5.059,0,0.321,463.9,0,0,0,396.1,90.7,519.8,439.2,1.003
98,-16.1,144.1,-0.600,1,0.250,2.296,5.084,0,0.250,463.4,0,0,0,1.7,1.1,-2.4,1.7,0.002
