step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,-8.7,17.9,-0.013,1,0.100,4.589,4.666,0,0.820,319.7,0,0,1,270.2,140.7,383.7,328.0,0.997
2,-7.9,18.9,0.052,1,0.200,4.549,4.654,0,0.780,320.0,0,0,1,244.8,135.7,363.3,342.7,0.994
3,-6.9,20.3,0.149,1,0.300,4.504,4.630,0,0.864,319.2,0,0,1,227.5,138.7,323.5,343.0,0.998
4,-6.0,21.7,0.132,1,0.400,4.457,4.598,0,0.774,323.6,0,0,1,232.1,134.9,336.7,349.2,0.998
5,-4.4,23.9,0.125,1,0.500,4.376,4.537,0,0.784,326.9,0,0,1,235.5,128.4,341.8,356.9,0.997
6,-3.3,25.6,0.156,1,0.600,4.307,4.482,0,0.852,318.5,0,0,1,226.7,130.8,331.4,357.4,0.998
7,-2.1,27.6,0.231,1,0.700,4.211,4.401,0,0.797,319.1,0,0,1,200.0,129.5,309.9,362.7,1.002
8,-1.0,29.6,0.214,1,0.728,4.085,4.288,0,0.728,324.1,0,0,0,207.8,124.9,319.2,374.3,1.006
9,-0.7,30.7,0.094,1,0.735,3.990,4.199,0,0.735,330.6,0,0,0,243.5,131.7,341.9,356.6,0.991
10,0.8,32.9,0.214,1,0.767,3.881,4.089,0,0.767,329.4,0,0,0,126.4,134.1,230.1,350.4,0.989
11,2.1,35.1,0.334,1,0.786,3.760,3.970,0,0.786,336.5,0,0,0,163.6,132.7,267.6,337.5,0.994
12,2.4,36.2,0.276,1,0.886,3.636,3.846,0,0.890,341.7,0,0,1,186.4,135.3,304.6,337.1,0.991
13,2.0,36.8,0.199,1,0.867,3.485,3.698,0,0.867,349.1,0,0,0,207.9,132.1,318.2,354.4,0.991
14,1.5,37.2,0.108,1,0.779,3.372,3.590,0,0.779,356.6,0,0,0,242.6,121.3,359.9,366.0,0.995
15,1.1,38.2,0.084,1,0.756,3.212,3.439,0,0.756,362.8,0,0,0,245.2,124.5,359.5,365.0,0.996
16,0.9,39.0,-0.006,1,0.668,3.102,3.337,0,0.668,366.1,0,0,0,276.0,118.9,391.0,371.3,0.998
17,0.9,40.2,-0.054,1,0.596,2.973,3.220,0,0.596,372.5,0,0,0,287.1,114.2,405.3,376.5,0.997
18,1.2,41.8,-0.066,1,0.535,2.851,3.110,0,0.535,380.0,0,0,0,284.0,108.6,407.6,385.4,0.997
