step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,16.1,-13.4,-0.073,0,0.100,4.673,4.556,0,0.895,323.0,0,0,1,293.7,149.6,376.9,340.0,1.000
2,15.8,-12.9,0.033,0,0.200,4.644,4.518,0,0.876,321.9,0,0,1,267.0,149.7,339.6,334.3,1.001
3,15.2,-12.6,0.006,0,0.300,4.592,4.470,0,0.963,320.9,0,0,1,287.0,146.5,364.6,331.5,0.990
4,14.6,-12.4,-0.070,0,0.400,4.516,4.398,0,0.966,323.4,0,0,1,306.5,140.7,395.2,343.4,0.998
5,14.1,-12.4,-0.085,0,0.500,4.438,4.324,0,0.905,324.8,0,0,1,310.4,139.2,404.6,350.5,0.997
6,13.6,-12.6,-0.014,0,0.600,4.365,4.254,0,0.836,327.7,0,0,1,276.6,131.3,378.9,358.7,1.000
7,13.0,-12.9,-0.016,0,0.700,4.267,4.158,0,0.819,329.2,0,0,1,280.8,127.8,382.5,366.2,1.000
8,12.4,-13.6,0.012,1,0.800,4.157,4.052,0,0.805,335.2,0,0,1,265.9,127.3,379.7,366.0,1.002
9,10.8,-15.4,0.080,1,0.793,4.037,3.934,0,0.793,333.3,0,0,0,234.2,141.4,346.7,351.9,0.999
10,10.8,-15.8,0.064,1,0.893,3.925,3.827,0,1.062,338.5,0,0,1,251.4,151.9,345.3,334.0,1.002
11,10.6,-16.5,0.054,1,0.993,3.828,3.733,0,1.031,343.5,0,0,1,245.5,152.7,341.4,331.7,0.999
12,10.6,-17.7,-0.011,1,0.958,3.671,3.580,0,0.958,348.0,0,0,0,268.1,149.3,365.8,333.9,1.005
13,10.3,-19.0,0.046,1,1.000,3.550,3.465,0,1.003,352.4,0,0,0,243.6,143.6,341.9,340.8,1.004
14,10.4,-20.5,-0.028,1,0.981,3.404,3.328,0,0.981,360.8,0,0,0,268.5,138.9,373.3,347.3,0.998
15,10.4,-22.2,-0.061,1,0.917,3.254,3.190,0,0.917,369.5,0,0,0,274.2,133.8,389.9,352.3,1.000
16,10.6,-23.9,-0.067,1,0.853,3.104,3.054,0,0.853,366.9,0,0,0,267.5,127.8,402.0,361.5,0.999
17,11.0,-25.4,-0.081,1,0.709,2.959,2.923,0,0.709,378.1,0,0,0,277.5,118.8,417.9,379.4,1.002
18,11.6,-26.9,-0.122,1,0.603,2.821,2.799,0,0.603,390.0,0,0,0,283.8,113.1,433.5,386.9,1.003
19,12.4,-28.1,-0.087,1,0.564,2.692,2.684,0,0.564,401.2,0,0,0,287.3,106.5,406.9,414.6,0.998
20,13.6,-29.1,-0.207,1,0.421,2.575,2.581,0,0.421,412.7,0,0,0,327.8,97.7,475.5,426.1,1.008
21,14.7,-30.2,-0.317,1,0.398,2.467,2.483,0,0.398,421.4,0,0,0,383.1,53.7,554.7,462.4,1.005
22,16.0,-31.2,-0.231,1,0.430,2.372,2.395,0,0.430,429.4,0,0,0,316.0,89.1,459.2,441.6,0.999
23,17.8,-32.2,-0.206,1,0.428,2.275,2.299,0,0.428,443.6,0,0,0,310.2,85.1,455.6,441.7,0.998
24,19.7,-33.1,-0.105,1,0.457,2.196,2.217,0,0.457,458.9,0,0,0,269.0,89.8,422.7,439.7,0.997
