step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,-5.1,17.3,-0.120,1,0.100,4.701,4.643,0,0.963,323.9,0,0,1,305.6,146.2,382.2,318.3,1.009
2,-4.5,16.4,-0.045,1,0.200,4.665,4.588,0,0.980,323.4,0,0,1,285.8,146.6,356.0,315.5,1.002
3,-4.2,15.1,-0.013,1,0.300,4.621,4.525,0,0.985,321.9,0,0,1,278.1,143.4,350.7,320.7,0.998
4,-4.4,13.5,0.075,1,0.400,4.567,4.451,0,0.933,320.9,0,0,1,242.2,135.2,322.5,335.1,0.997
5,-5.3,11.3,0.101,1,0.500,4.490,4.351,0,0.906,321.0,0,0,1,242.3,134.1,324.3,340.3,1.001
6,-5.9,9.7,0.094,1,0.600,4.413,4.267,0,0.864,321.0,0,0,1,247.6,131.0,336.8,350.7,1.000
7,-5.6,9.7,0.115,1,0.700,4.341,4.244,0,0.850,321.2,0,0,1,234.6,126.0,327.6,352.5,0.998
8,-3.9,11.1,0.181,1,0.800,4.240,4.205,0,0.800,323.4,0,0,1,212.7,125.1,304.5,356.2,1.000
9,-1.9,13.0,0.061,1,0.762,4.119,4.151,0,0.762,326.8,0,0,0,246.6,133.1,354.9,347.1,1.000
10,-0.3,14.5,0.106,1,0.795,3.982,4.083,0,0.795,331.6,0,0,0,224.5,129.6,334.7,349.6,0.998
11,0.7,15.7,0.182,1,0.833,3.824,4.006,0,0.833,335.1,0,0,0,204.0,128.0,315.5,356.1,0.990
12,2.7,17.9,0.173,1,0.832,3.680,3.933,0,0.832,332.9,0,0,0,200.7,128.8,320.1,358.3,0.992
13,3.3,18.7,0.253,1,0.811,3.560,3.873,0,0.811,336.6,0,0,0,180.0,122.8,297.9,362.9,0.987
14,3.3,19.3,0.133,1,0.747,3.387,3.786,0,0.747,338.6,0,0,0,-2.1,24.2,22.1,12.7,0.185
15,3.1,20.0,0.253,1,0.727,3.238,3.645,0,0.727,346.9,0,0,0,168.2,116.6,293.5,375.5,0.993
16,2.9,21.1,0.359,1,0.670,3.094,3.502,0,0.670,356.8,0,0,0,138.2,112.1,266.0,382.0,0.994
