step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,18.5,-14.7,-0.022,0,0.100,4.658,4.657,0,0.959,320.3,0,0,1,282.2,137.2,370.7,345.2,0.997
2,19.7,-15.6,0.026,0,0.200,4.645,4.647,0,0.850,322.7,0,0,1,262.5,131.5,349.5,359.7,0.998
3,20.9,-16.0,0.037,0,0.300,4.626,4.630,0,0.850,322.2,0,0,1,260.4,128.5,347.6,357.2,1.000
4,22.9,-16.1,0.057,0,0.400,4.582,4.591,0,0.876,323.8,0,0,1,250.2,130.0,346.0,360.1,0.998
5,24.6,-16.1,0.080,0,0.500,4.538,4.551,0,0.835,325.7,0,0,1,247.8,125.8,344.3,370.2,1.000
6,26.7,-15.9,0.091,0,0.600,4.472,4.490,0,0.775,327.0,0,0,1,242.8,124.1,342.9,373.4,1.004
7,29.3,-15.8,0.075,0,0.700,4.376,4.399,0,0.705,327.1,0,0,1,248.1,118.1,356.8,378.0,1.001
8,29.4,-17.2,0.085,0,0.697,4.314,4.335,0,0.697,322.3,0,0,0,239.3,116.8,351.3,380.7,1.002
9,31.2,-17.7,-0.035,0,0.792,4.202,4.227,0,0.792,323.9,0,0,0,368.9,132.0,479.6,359.0,0.993
10,32.7,-17.9,-0.155,0,0.892,4.116,4.146,0,0.911,325.2,0,0,1,358.9,134.6,460.9,355.1,0.998
11,34.7,-18.0,-0.275,0,0.948,3.998,4.033,0,0.948,327.7,0,0,0,363.7,132.0,453.9,359.3,1.001
12,36.4,-18.6,-0.359,0,0.827,3.865,3.905,0,0.827,332.1,0,0,0,373.7,124.8,485.4,375.9,1.002
13,38.1,-19.3,-0.282,0,0.631,3.726,3.772,0,0.631,336.0,0,0,0,337.4,116.2,457.3,390.6,1.002
14,40.3,-19.7,-0.205,0,0.546,3.587,3.640,0,0.546,343.8,0,0,0,316.4,109.5,449.7,400.2,1.002
15,42.8,-20.2,-0.166,0,0.552,3.441,3.501,0,0.552,352.6,0,0,0,303.9,109.5,434.5,399.6,1.000
16,44.6,-20.6,-0.087,0,0.430,3.347,3.413,0,0.430,360.5,0,0,0,274.8,102.6,422.1,409.5,1.003
17,46.6,-21.1,-0.166,0,0.457,3.240,3.312,0,0.457,369.7,0,0,0,302.8,102.1,451.6,408.9,1.003
18,48.7,-21.6,-0.183,0,0.423,3.140,3.220,0,0.423,378.9,0,0,0,297.1,99.4,458.8,407.5,1.001
19,50.8,-22.2,-0.303,0,-0.426,3.045,3.131,0,-0.426,0.0,0,0,0,2.5,1.5,-5.0,-0.6,-0.006
20,53.1,-22.8,-0.423,0,-0.403,2.954,3.045,0,-0.403,0.0,0,0,0,0.2,1.3,-6.5,-2.3,-0.006
21,55.5,-23.2,-0.543,0,-0.367,2.869,2.965,0,-0.367,0.0,0,0,0,0.6,1.1,-1.3,0.8,0.000
22,57.7,-23.6,-0.600,0,0.100,2.795,2.900,0,0.298,0.0,0,0,1,-3.2,0.5,2.3,-0.7,0.010
23,59.7,-24.0,-0.600,0,0.200,2.731,2.850,0,0.292,0.0,0,0,1,-3.6,1.2,-0.2,-0.5,0.002
24,61.5,-24.7,-0.600,0,0.278,2.669,2.801,0,0.278,0.0,0,0,0,-1.2,0.9,-0.5,-0.4,-0.001
25,63.9,-25.1,-0.600,0,0.274,2.604,2.745,0,0.274,0.0,0,0,0,-1.7,0.7,-0.1,-2.0,0.002
26,66.8,-25.4,-0.600,0,0.262,2.541,2.683,0,0.262,0.0,0,0,0,0.9,1.0,-0.6,0.9,0.003
27,70.0,-25.7,-0.600,0,0.277,2.483,2.620,0,0.277,0.0,0,0,0,-0.6,0.8,0.3,1.4,0.002
28,72.6,-26.0,-0.600,0,0.290,2.453,2.559,0,0.290,0.0,0,0,0,1.9,0.5,1.6,-0.9,-0.004
29,74.9,-26.2,-0.600,0,0.277,2.435,2.502,0,0.277,0.0,0,0,0,-0.6,1.5,1.1,-4.6,-0.006
30,78.4,-26.4,-0.600,0,0.289,2.405,2.450,0,0.289,0.0,0,0,0,0.7,0.5,-0.1,-5.7,-0.010
31,82.0,-26.5,-0.600,0,0.291,2.384,2.402,0,0.291,0.0,0,0,0,-0.1,1.7,1.2,-7.3,-0.005
32,85.8,-26.7,-0.600,0,0.280,2.371,2.358,0,0.280,0.0,0,0,0,1.6,1.3,4.1,-3.4,0.001
33,89.6,-26.9,-0.600,0,0.280,2.363,2.320,0,0.280,0.0,0,0,0,-0.1,0.5,3.3,-5.3,-0.007
34,93.4,-27.2,-0.600,0,0.284,2.353,2.286,0,0.284,0.0,0,0,0,-1.4,1.2,2.7,-3.6,-0.002
35,97.3,-27.3,-0.600,0,0.297,2.342,2.257,0,0.297,0.0,0,0,0,-0.0,1.5,3.8,-0.9,-0.001
36,101.3,-27.5,-0.600,0,0.295,2.332,2.231,0,0.295,0.0,0,0,0,1.0,0.6,2.7,-2.8,-0.002
37,105.2,-27.8,-0.600,0,0.293,2.327,2.208,0,0.293,0.0,0,0,0,0.2,1.4,2.9,-2.6,-0.002
38,109.2,-28.0,-0.600,0,0.291,2.326,2.181,0,0.291,0.0,0,0,0,0.7,0.6,3.4,-1.9,-0.004
39,113.9,-28.2,-0.600,0,0.308,2.329,2.145,0,0.308,0.0,0,0,0,-1.4,0.2,1.7,-2.8,-0.008
