step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,19.4,-15.3,-0.074,0,0.100,4.606,4.610,0,0.831,323.1,0,0,1,287.8,142.1,372.9,343.2,0.997
2,20.3,-15.8,-0.076,0,0.200,4.591,4.600,0,0.893,323.7,0,0,1,293.0,144.0,374.4,340.0,0.996
3,21.5,-16.3,-0.035,0,0.300,4.562,4.578,0,0.922,324.2,0,0,1,280.8,140.5,364.4,343.8,0.995
4,22.8,-16.7,-0.011,0,0.400,4.518,4.543,0,0.869,325.5,0,0,1,265.3,134.0,370.7,348.7,1.000
5,24.6,-16.9,-0.003,0,0.500,4.447,4.486,0,0.835,322.2,0,0,1,266.4,129.5,374.8,355.6,1.002
6,25.9,-17.0,-0.028,0,0.600,4.385,4.434,0,0.712,321.7,0,0,1,271.4,121.0,389.4,367.4,1.000
7,27.2,-17.5,-0.030,0,0.578,4.303,4.364,0,0.578,320.0,0,0,0,262.8,114.1,404.3,379.6,1.003
8,28.5,-18.1,-0.024,0,0.545,4.209,4.284,0,0.545,320.6,0,0,0,254.6,109.4,401.8,389.2,1.002
9,29.9,-18.4,-0.144,0,0.645,4.109,4.200,0,0.859,323.4,0,0,1,343.2,135.4,420.6,343.2,0.998
10,30.7,-19.3,-0.153,0,0.745,4.001,4.110,0,0.926,326.6,0,0,1,312.6,135.9,393.5,344.7,0.998
11,31.9,-19.8,-0.128,0,0.786,3.885,4.012,0,0.786,330.2,0,0,0,291.8,124.4,412.4,370.6,1.003
12,33.3,-20.8,-0.178,0,0.780,3.735,3.884,0,0.780,336.2,0,0,0,309.3,124.1,428.9,366.7,1.000
13,34.1,-21.7,-0.135,0,0.792,3.628,3.791,0,0.792,342.6,0,0,0,295.5,126.0,411.5,360.3,1.003
14,35.5,-22.6,-0.136,0,0.803,3.498,3.677,0,0.803,351.1,0,0,0,296.2,123.8,417.7,367.5,1.000
15,37.3,-23.3,-0.119,0,0.783,3.369,3.563,0,0.783,0.0,0,0,0,288.6,124.8,408.2,367.6,1.002
16,38.9,-24.3,-0.037,0,0.785,3.242,3.448,0,0.785,0.0,0,0,0,259.1,123.5,381.6,369.0,0.999
17,41.0,-25.2,-0.085,0,0.829,3.119,3.336,0,0.829,0.0,0,0,0,282.8,122.8,403.5,372.3,1.004
18,43.0,-26.2,-0.160,0,0.778,2.999,3.224,0,0.778,0.0,0,0,0,303.9,118.5,430.6,380.6,1.012
19,45.3,-27.4,-0.280,0,0.368,2.882,3.112,0,0.368,0.0,0,0,0,0.1,0.3,1.9,-4.6,-0.010
20,47.8,-28.5,-0.400,0,0.343,2.771,3.003,0,0.343,0.0,0,0,0,2.1,0.5,2.5,-1.6,-0.004
21,50.7,-29.2,-0.520,0,0.313,2.670,2.901,0,0.313,0.0,0,0,0,2.5,-0.1,0.5,-4.7,-0.010
22,53.8,-29.7,-0.400,0,0.312,2.584,2.814,0,0.312,0.0,0,0,0,-1.3,1.1,-4.1,2.3,-0.002
23,56.8,-30.1,-0.520,0,0.339,2.515,2.742,0,0.339,0.0,0,0,0,1.8,0.4,-2.2,2.0,-0.005
24,59.8,-30.5,-0.400,0,0.323,2.458,2.676,0,0.323,0.0,0,0,0,-2.2,0.8,-9.6,-0.2,-0.003
25,63.0,-30.9,-0.280,0,0.287,2.410,2.611,0,0.287,0.0,0,0,0,1.0,60.9,105.2,486.5,1.008
26,66.3,-31.3,-0.160,0,0.285,2.369,2.549,0,0.285,0.0,0,0,0,-4.9,42.1,111.0,477.4,1.002
27,69.7,-31.8,-0.040,0,0.300,2.337,2.492,0,0.300,0.0,0,0,0,1.1,-1.1,-1.3,1.3,-0.006
