step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,-9.7,13.4,-0.036,1,0.100,5.008,4.547,0,1.015,318.4,0,0,1,291.1,150.3,379.8,327.7,0.996
2,-9.2,12.9,-0.108,1,0.200,5.039,4.501,0,1.022,318.9,0,0,1,317.0,149.3,405.4,323.1,0.997
3,-9.0,12.3,-0.081,1,0.300,5.065,4.445,0,1.037,319.9,0,0,1,300.7,147.6,397.9,324.0,0.999
4,-9.0,11.8,-0.042,1,0.400,5.082,4.390,0,0.986,322.9,0,0,1,284.9,141.5,389.6,335.9,1.000
5,-9.1,10.9,-0.055,1,0.500,5.096,4.300,0,0.935,324.9,0,0,1,280.7,135.8,395.7,346.8,0.999
6,-9.3,10.2,-0.054,1,0.600,5.099,4.228,0,0.915,327.9,0,0,1,282.1,132.1,403.5,349.1,0.996
7,-10.4,8.5,-0.032,0,0.700,5.102,4.127,0,0.825,330.0,0,0,1,270.8,127.7,395.2,360.5,0.999
8,-10.6,7.7,-0.015,0,0.768,5.101,4.051,0,0.768,328.1,0,0,0,264.2,123.9,381.5,365.7,0.998
9,-11.5,6.2,-0.135,0,0.868,5.088,3.933,0,1.002,332.5,0,0,1,327.7,140.5,405.6,336.1,1.000
10,-12.3,4.9,-0.161,0,0.968,5.064,3.835,0,1.011,334.7,0,0,1,320.7,135.5,413.3,344.4,0.991
11,-13.1,3.6,-0.281,0,0.994,5.026,3.706,0,0.994,338.4,0,0,0,365.9,134.1,461.4,349.9,0.987
12,-13.9,2.3,-0.192,0,0.977,4.976,3.568,0,0.977,342.9,0,0,0,329.2,133.2,422.8,343.8,0.989
13,-14.0,1.6,-0.312,0,0.870,4.921,3.424,0,0.870,344.5,0,0,0,381.7,128.6,483.6,350.7,0.993
14,-14.2,0.8,-0.237,0,0.790,4.863,3.279,0,0.790,353.7,0,0,0,337.2,123.6,446.3,363.5,0.985
15,-13.9,0.4,-0.154,0,0.720,4.809,3.141,0,0.720,363.4,0,0,0,309.9,118.5,422.9,366.3,0.993
16,-13.3,0.2,-0.130,0,0.623,4.760,3.009,0,0.623,372.7,0,0,0,293.4,113.3,420.7,380.0,0.992
17,-12.5,0.2,-0.199,0,0.489,4.716,2.885,0,0.489,383.1,0,0,0,305.7,103.5,455.4,397.9,0.998
18,-11.6,0.1,-0.082,0,0.431,4.679,2.771,0,0.431,391.4,0,0,0,277.8,99.0,414.4,414.4,0.993
19,-10.5,-0.1,-0.202,0,0.531,4.645,2.651,0,0.701,399.9,0,0,1,426.2,117.4,513.4,360.4,1.006
20,-9.8,-0.3,-0.322,0,0.631,4.624,2.572,0,0.660,406.6,0,0,1,421.9,110.6,507.2,397.5,0.997
21,-8.9,-0.7,-0.398,0,0.565,4.592,2.478,0,0.565,411.9,0,0,0,379.2,103.9,473.8,403.8,0.994
22,-7.8,-1.1,-0.278,0,0.415,4.547,2.380,0,0.415,421.7,0,0,0,301.1,96.0,418.7,420.4,0.994
23,-6.5,-1.4,-0.158,0,0.336,4.497,2.287,0,0.336,434.2,0,0,0,264.8,90.0,387.2,433.3,0.995
24,-5.2,-1.9,-0.071,0,0.279,4.451,2.208,0,0.279,447.9,0,0,0,266.9,83.4,389.9,445.2,0.998
25,-3.9,-2.6,0.049,0,0.319,4.412,2.144,0,0.319,461.5,0,0,0,180.9,84.0,316.4,442.5,0.995
26,-2.9,-3.7,0.169,1,0.000,4.378,2.089,0,0.319,475.0,1,0,0,158.1,84.2,305.1,445.6,0.994
27,-1.7,-5.2,0.282,1,0.000,4.342,2.033,0,0.281,480.0,1,0,1,139.6,82.4,293.1,450.9,0.995
28,-1.0,-6.4,0.361,1,0.000,4.326,2.005,0,0.305,480.0,1,0,1,110.4,78.8,272.4,450.1,0.997
29,-0.3,-8.0,0.241,1,0.000,4.319,1.986,0,0.150,480.0,1,0,1,355.1,43.8,536.4,484.5,1.002
30,0.3,-9.7,0.121,1,0.000,4.317,1.974,0,0.148,480.0,1,0,1,347.8,51.7,520.5,486.9,1.003
31,1.0,-11.3,0.001,1,0.000,4.318,1.965,0,0.220,480.0,1,0,1,352.2,56.2,515.2,485.8,1.002
32,1.8,-13.3,-0.119,1,0.000,4.319,1.956,0,0.232,480.0,1,0,1,353.3,58.6,517.7,479.7,1.001
33,2.3,-14.7,-0.239,1,0.000,4.321,1.952,0,0.249,480.0,1,0,1,367.4,56.7,534.3,477.4,1.004
34,3.1,-16.3,-0.302,1,0.000,4.323,1.948,0,0.161,480.0,1,0,1,334.2,57.0,501.2,477.1,1.004
35,3.9,-17.9,-0.182,1,0.000,4.326,1.946,0,0.143,480.0,1,0,1,231.7,59.6,384.3,472.0,0.999
36,4.9,-19.7,-0.062,1,0.000,4.330,1.945,0,0.043,480.0,1,0,0,277.5,50.4,432.2,475.2,1.003
37,5.6,-21.3,-0.081,1,0.000,4.334,1.945,0,0.033,480.0,1,0,0,285.3,53.9,427.1,478.3,0.997
38,6.2,-22.7,-0.037,1,-0.093,4.338,1.947,0,-0.093,328.3,0,0,0,274.7,45.9,434.3,476.6,0.997
39,6.8,-24.4,-0.157,1,0.100,4.343,1.950,0,0.311,327.3,0,0,1,460.1,24.0,628.2,478.5,0.997
40,7.5,-26.0,-0.277,1,0.200,4.355,1.959,0,0.292,325.8,0,0,1,451.6,30.7,628.5,479.5,0.996
41,8.1,-27.7,-0.397,1,0.280,4.364,1.965,0,0.280,324.9,0,0,0,449.9,36.3,635.1,481.1,0.999
42,9.1,-29.3,-0.517,1,0.289,4.360,1.961,0,0.289,324.9,0,0,0,463.3,33.9,640.8,479.6,1.000
43,10.5,-31.0,-0.600,1,0.280,4.343,1.947,0,0.280,326.2,0,0,0,484.3,41.8,647.4,472.4,1.000
44,11.7,-32.2,-0.600,1,0.287,4.328,1.937,0,0.287,328.6,0,0,0,487.5,52.5,638.4,462.7,1.000
45,13.2,-33.5,-0.600,1,0.303,4.311,1.927,0,0.303,330.5,0,0,0,488.6,22.8,648.8,465.7,1.001
