step,bear_target,bear_other,w_cmd,on_target
1,15.3,-13.6,-0.120,0
2,14.6,-13.1,-0.182,0
3,14.2,-12.6,-0.189,0
4,14.2,-12.1,-0.100,0
5,14.6,-11.7,-0.086,0
6,14.7,-11.5,-0.121,0
7,14.9,-11.4,-0.160,0
8,15.0,-11.3,-0.160,0
9,15.2,-11.1,-0.040,0
10,15.3,-10.9,-0.029,0
11,15.5,-10.8,0.055,0
12,15.5,-10.8,0.049,0
13,15.4,-10.8,0.057,0
14,15.9,-11.2,0.036,0
15,16.4,-11.6,0.043,0
16,16.9,-11.9,0.030,0
17,17.2,-12.2,0.024,0
18,17.4,-12.4,0.016,0
19,17.6,-12.5,0.136,0
20,17.8,-12.6,0.232,0
21,17.9,-12.9,0.223,0
22,17.9,-13.3,0.103,0
23,17.8,-13.7,0.073,0
24,17.9,-14.1,0.094,0
25,18.2,-14.5,0.174,0
26,18.6,-14.7,0.072,0
27,19.1,-15.2,0.128,0
28,19.7,-15.5,0.054,0
29,20.5,-15.9,0.174,0
30,21.5,-16.3,0.294,0
31,22.6,-16.8,0.391,0
32,23.5,-17.6,0.271,0
33,24.6,-18.4,0.151,0
34,25.5,-19.7,0.111,0
35,26.6,-20.8,0.231,0
36,28.0,-21.9,0.124,0
37,29.3,-23.1,0.173,0
38,30.8,-24.3,0.222,0
39,32.3,-25.5,0.201,0
40,33.8,-27.0,0.321,0
41,35.3,-28.6,0.441,0
42,36.5,-30.5,0.561,0
43,37.4,-32.8,0.600,0
44,38.0,-35.6,0.600,0
45,38.2,-38.7,0.600,1
46,38.4,-42.0,0.556,1
47,39.6,-44.3,0.511,1
48,41.0,-46.4,0.574,1
49,42.5,-48.5,0.600,1
50,43.9,-50.8,0.600,1
51,45.2,-53.1,0.600,1
52,46.5,-55.5,0.600,1
53,47.5,-58.2,0.600,1
54,48.8,-60.6,0.600,1
55,50.1,-63.0,0.600,1
56,51.6,-65.2,0.600,1
57,53.2,-67.3,0.600,1
58,54.8,-69.4,0.600,1
59,56.6,-71.3,0.480,1
60,58.4,-73.2,0.360,1
61,60.3,-75.0,0.240,1
62,62.3,-76.6,0.120,1
63,64.5,-78.1,0.000,1
64,66.7,-79.6,-0.120,1
65,68.9,-81.1,-0.240,1
66,71.1,-82.5,-0.360,1
67,73.3,-83.9,-0.480,1
68,75.6,-85.3,-0.600,1
69,77.9,-86.6,-0.600,1
70,80.5,-87.7,-0.600,1
71,83.0,-88.8,-0.600,1
72,85.5,-89.9,-0.600,1
73,88.1,-90.9,-0.600,1
74,90.8,-91.8,-0.600,1
75,93.5,-92.7,-0.600,0
76,96.3,-93.5,-0.600,0
77,99.1,-94.2,-0.600,0
78,102.0,-94.9,-0.600,0
79,105.0,-95.3,-0.600,0
80,108.2,-95.7,-0.600,0
81,111.5,-95.9,-0.600,0
82,114.8,-96.1,-0.600,0
83,118.2,-96.2,-0.600,0
84,122.0,-96.0,-0.600,0
85,125.8,-95.7,-0.600,0
86,129.7,-95.2,-0.600,0
87,133.8,-94.6,-0.600,0
88,137.4,-94.2,-0.600,0
89,138.5,-94.4,-0.600,0
90,139.2,-94.9,-0.600,0
91,139.9,-95.5,-0.600,0
92,141.1,-95.5,-0.600,0
93,142.7,-95.1,-0.600,0
