step,bear_target,bear_other,w_cmd,on_target
1,13.0,-13.9,-0.107,1
2,12.4,-13.4,-0.061,1
3,12.5,-13.3,-0.053,1
4,12.5,-13.3,-0.050,1
5,12.6,-13.3,-0.045,1
6,12.6,-13.2,-0.080,1
7,12.6,-13.2,-0.177,1
8,12.6,-13.2,-0.067,1
9,12.8,-13.1,-0.080,1
10,13.0,-12.9,-0.169,0
11,13.0,-12.8,-0.071,0
12,13.7,-12.7,-0.107,0
13,14.1,-12.9,-0.061,0
14,14.4,-13.0,-0.075,0
15,14.5,-13.0,-0.110,0
16,14.6,-12.9,-0.124,0
17,14.8,-12.8,-0.033,0
18,15.1,-12.8,0.087,0
19,15.5,-13.1,0.062,0
20,15.6,-13.3,0.019,0
21,15.5,-13.4,0.025,0
22,15.4,-13.5,0.005,0
23,15.6,-13.7,-0.050,0
24,16.0,-14.0,-0.107,0
25,16.2,-14.1,-0.139,0
26,16.3,-14.0,-0.019,0
27,16.6,-14.0,-0.006,0
28,17.0,-14.2,0.114,0
29,17.0,-14.2,0.169,0
30,17.1,-14.5,0.084,0
31,17.3,-14.9,0.075,0
32,17.2,-15.0,0.084,0
33,17.6,-15.2,0.174,0
34,17.7,-15.5,0.104,0
35,18.0,-15.9,0.095,0
36,18.5,-16.2,0.096,0
37,18.9,-16.3,0.138,0
38,19.4,-16.6,0.047,0
39,19.6,-16.8,0.167,0
40,19.8,-16.7,0.202,0
41,20.3,-17.2,0.194,0
42,20.7,-17.9,0.163,0
43,20.7,-18.7,0.110,0
44,20.6,-19.7,0.122,0
45,20.3,-20.8,0.079,1
46,19.9,-22.0,0.087,1
47,19.5,-23.2,0.108,1
48,18.9,-24.6,0.064,1
49,18.1,-26.2,0.113,1
50,17.0,-27.8,0.016,1
51,15.7,-29.4,0.054,1
52,14.5,-30.9,-0.012,1
53,13.1,-32.5,-0.019,1
54,11.7,-34.0,-0.041,1
55,10.5,-35.5,-0.084,1
56,9.3,-36.9,-0.064,1
57,8.0,-38.4,-0.037,1
58,6.7,-39.8,-0.003,1
59,5.7,-41.3,-0.028,1
60,4.2,-42.8,-0.002,1
61,2.7,-44.3,-0.046,1
62,1.2,-45.8,-0.106,1
63,-0.3,-47.3,-0.155,1
64,-1.4,-48.7,-0.118,1
65,-2.5,-50.2,-0.164,1
66,-3.9,-51.6,-0.190,1
67,-4.5,-52.9,-0.310,1
68,-5.3,-54.1,-0.190,1
69,-6.0,-55.1,-0.070,1
70,-6.6,-56.1,-0.066,1
71,-7.0,-57.3,-0.116,1
72,-8.0,-58.6,-0.183,1
73,-9.0,-60.2,-0.229,1
74,-9.5,-61.2,-0.329,1
75,-9.8,-62.3,-0.312,1
76,-10.2,-63.1,-0.293,1
77,-10.2,-64.0,-0.325,1
78,-10.6,-64.8,-0.395,1
79,-10.6,-65.6,-0.408,1
80,-10.9,-66.3,-0.454,1
81,-10.7,-66.9,-0.448,1
82,-10.5,-67.6,-0.430,1
83,-10.6,-68.1,-0.428,1
84,-10.4,-68.8,-0.452,1
85,-10.3,-69.5,-0.468,1
86,-10.4,-70.2,-0.420,1
87,-9.3,-69.3,-0.464,1
88,-8.2,-68.1,-0.470,1
89,-7.0,-66.9,-0.378,1
90,-5.9,-65.7,-0.372,1
91,-5.2,-65.0,-0.352,1
92,-4.5,-64.2,-0.431,1
