step,bear_target,bear_other,w_cmd,on_target
1,16.4,-21.2,-0.086,1
2,16.4,-22.1,-0.089,1
3,17.0,-22.8,-0.007,1
4,17.7,-23.5,-0.036,1
5,18.2,-24.2,-0.045,1
6,18.7,-24.9,-0.116,1
7,19.2,-25.4,-0.132,1
8,19.7,-25.9,-0.110,1
9,20.2,-26.1,-0.065,1
10,20.6,-26.3,-0.103,1
11,20.8,-26.5,-0.089,1
12,21.0,-26.6,-0.124,1
13,21.1,-26.5,-0.143,1
14,21.1,-26.4,-0.156,1
15,21.2,-26.3,-0.128,1
16,21.4,-26.2,-0.095,1
17,21.5,-26.2,-0.078,1
18,21.7,-26.2,-0.099,1
19,21.9,-26.4,0.021,1
20,22.1,-26.6,0.045,1
21,22.2,-26.9,0.057,1
22,22.2,-27.4,-0.030,1
23,22.1,-28.0,0.057,1
24,22.2,-28.5,-0.006,1
25,22.2,-29.2,-0.044,1
26,22.4,-29.7,-0.023,1
27,22.5,-30.3,-0.120,1
28,22.7,-31.0,-0.058,1
29,23.0,-31.5,-0.041,1
30,23.3,-31.9,-0.019,1
31,23.6,-32.0,0.043,1
32,23.8,-32.3,0.056,1
33,23.9,-32.6,0.136,1
34,24.1,-32.9,0.047,1
35,24.2,-33.2,0.033,1
36,24.4,-33.5,-0.046,1
37,24.7,-33.7,0.004,1
38,25.1,-33.6,-0.003,1
39,25.4,-33.8,0.117,1
40,25.8,-33.8,0.186,1
41,26.0,-34.0,0.194,1
42,25.8,-34.3,0.237,1
43,25.5,-34.5,0.250,1
44,25.1,-34.8,0.311,1
45,24.9,-35.0,0.283,1
46,24.8,-35.1,0.277,1
47,24.8,-35.2,0.194,1
48,24.5,-35.6,0.228,1
49,24.1,-36.0,0.108,1
50,23.7,-36.2,0.147,1
51,23.4,-36.5,0.094,1
52,23.3,-36.7,0.056,1
53,23.1,-36.8,0.052,1
54,22.7,-36.9,0.016,1
55,22.6,-37.1,0.021,1
56,22.7,-37.2,0.025,1
57,22.7,-37.3,0.013,1
58,22.7,-37.4,-0.094,1
59,22.6,-37.4,0.026,1
60,22.7,-37.3,0.146,1
61,22.8,-37.2,0.266,1
62,22.5,-37.5,0.305,1
63,22.1,-37.9,0.332,1
64,21.6,-38.1,0.295,1
65,20.9,-38.6,0.324,1
66,20.1,-39.3,0.229,1
67,19.0,-40.0,0.270,1
68,18.4,-40.6,0.214,1
69,17.9,-41.1,0.257,1
70,17.6,-41.5,0.225,1
71,17.2,-41.9,0.254,1
72,16.9,-42.2,0.173,1
73,16.6,-42.5,0.096,1
74,16.4,-43.0,0.149,1
75,16.4,-43.5,0.184,1
76,16.2,-43.6,0.158,1
77,16.0,-43.8,0.103,1
78,15.9,-44.0,0.223,1
79,15.8,-44.1,0.174,1
80,15.3,-44.3,0.290,1
81,15.0,-44.5,0.333,1
82,14.7,-44.8,0.213,1
83,14.4,-45.1,0.093,1
84,14.2,-45.6,0.085,1
85,14.1,-45.7,0.025,1
86,13.9,-45.7,0.082,1
87,13.7,-45.8,0.040,1
88,13.4,-46.2,-0.047,1
89,13.0,-46.8,0.073,1
90,12.9,-47.1,0.193,1
91,12.8,-47.1,0.313,1
92,12.7,-47.2,0.433,1
93,12.5,-47.5,0.372,1
94,12.2,-47.8,0.402,1
