step,bear_target,bear_other,w_cmd,on_target
1,16.2,-17.0,0.026,1
2,16.2,-17.9,-0.094,1
3,16.1,-18.9,-0.204,1
4,16.2,-19.8,-0.211,1
5,16.2,-20.6,-0.284,1
6,16.2,-21.5,-0.315,1
7,16.4,-22.2,-0.435,1
8,17.1,-23.0,-0.555,1
9,17.7,-23.7,-0.600,1
10,18.4,-24.2,-0.480,1
11,19.0,-24.7,-0.454,1
12,19.6,-25.4,-0.430,1
13,19.9,-25.8,-0.310,1
14,20.3,-26.2,-0.267,1
15,20.5,-26.5,-0.181,1
16,20.6,-26.8,-0.111,1
17,20.7,-27.0,0.009,1
18,20.6,-27.0,0.129,1
19,20.5,-27.1,0.090,1
20,20.3,-27.3,-0.001,1
21,20.1,-27.5,-0.066,1
22,20.1,-27.8,-0.136,1
23,20.0,-28.0,-0.144,1
24,20.0,-28.3,-0.112,1
25,20.1,-28.7,-0.011,1
26,20.1,-29.1,-0.022,1
27,20.2,-29.6,0.073,1
28,20.2,-30.1,0.189,1
29,20.3,-30.7,0.069,1
30,20.3,-31.3,-0.051,1
31,20.4,-32.0,-0.171,1
32,20.5,-32.6,-0.291,1
33,20.7,-33.3,-0.411,1
34,20.8,-34.0,-0.531,1
35,21.1,-34.3,-0.600,1
36,21.3,-34.4,-0.600,1
37,21.7,-34.5,-0.500,1
38,22.1,-34.5,-0.496,1
39,22.5,-34.6,-0.376,1
40,22.8,-34.7,-0.256,1
41,23.2,-34.8,-0.136,1
42,23.6,-34.9,-0.016,1
43,23.9,-34.9,0.104,1
44,24.3,-35.1,0.224,1
45,24.6,-35.2,0.316,1
46,24.8,-35.3,0.436,1
47,24.7,-35.3,0.556,1
48,24.6,-35.4,0.600,1
49,24.5,-35.3,0.600,1
50,24.5,-35.3,0.600,1
51,24.5,-35.3,0.600,1
52,24.6,-35.4,0.600,1
53,24.4,-35.6,0.549,1
54,24.2,-35.8,0.529,1
55,24.0,-35.9,0.438,1
56,23.8,-36.0,0.354,1
57,23.8,-36.1,0.315,1
58,23.6,-36.1,0.371,1
59,23.3,-36.2,0.437,1
60,23.1,-36.4,0.501,1
61,23.1,-36.7,0.381,1
62,23.1,-36.9,0.315,1
63,23.1,-37.0,0.311,1
64,23.0,-37.0,0.285,1
65,23.0,-37.0,0.198,1
66,22.9,-37.1,0.098,1
67,22.9,-37.2,0.049,1
68,22.9,-37.2,0.162,1
69,22.9,-37.2,0.282,1
70,22.8,-36.3,0.341,1
71,22.8,-36.3,0.339,1
72,22.7,-36.4,0.314,1
73,22.4,-36.5,0.210,1
74,22.0,-36.6,0.153,1
75,21.7,-36.6,0.136,1
76,21.6,-36.7,0.129,1
77,21.6,-36.7,0.106,1
78,21.6,-36.7,0.078,1
79,21.6,-36.9,0.198,1
80,21.5,-37.5,0.228,1
81,21.0,-38.4,0.247,1
82,20.6,-39.2,0.204,1
83,20.6,-39.5,0.184,1
84,20.5,-39.5,0.132,1
85,20.4,-39.7,0.012,1
86,20.4,-39.7,-0.018,1
87,20.4,-39.6,-0.138,1
88,20.4,-39.6,-0.232,1
89,20.5,-39.6,-0.112,1
90,20.5,-39.5,0.008,1
91,20.6,-39.5,0.128,1
92,20.5,-39.5,0.246,1
93,20.5,-39.5,0.229,1
94,20.5,-39.6,0.219,1
95,20.4,-38.8,0.161,1
96,20.4,-38.8,0.153,1
97,20.3,-38.8,0.149,1
98,20.3,-38.9,0.114,1
99,20.3,-38.9,0.234,1
100,20.2,-38.9,0.281,1
101,20.1,-39.0,0.286,1
102,19.5,-39.0,0.176,1
103,19.0,-39.1,0.190,1
104,18.8,-39.3,0.134,1
105,18.6,-40.0,0.083,1
106,18.5,-41.1,0.054,1
107,18.5,-41.5,0.033,1
108,18.5,-41.5,-0.033,1
109,18.5,-41.5,0.087,1
110,18.5,-41.6,0.207,1
111,18.5,-41.6,0.327,1
112,18.5,-41.6,0.447,1
113,18.4,-41.7,0.495,1
114,18.2,-41.8,0.423,1
115,18.1,-41.9,0.459,1
116,18.0,-42.0,0.464,1
117,17.9,-42.2,0.452,1
118,17.3,-42.4,0.387,1
119,17.2,-42.6,0.267,1
120,17.0,-42.7,0.192,1
121,16.9,-42.8,0.156,1
122,16.9,-42.8,0.227,1
123,16.9,-42.9,0.145,1
124,16.8,-42.9,0.206,1
125,16.8,-43.0,0.086,1
126,16.7,-43.0,-0.034,1
127,16.3,-43.2,0.009,1
128,15.5,-44.0,-0.105,1
129,15.0,-44.5,0.015,1
130,14.7,-45.2,0.135,1
131,14.7,-45.2,0.255,1
132,14.7,-45.2,0.375,1
133,14.6,-45.3,0.495,1
134,14.5,-45.4,0.599,1
135,14.3,-45.6,0.479,1
136,14.0,-46.0,0.359,1
137,13.8,-46.2,0.341,1
138,13.7,-46.3,0.332,1
139,13.6,-46.5,0.212,1
140,13.5,-46.6,0.092,1
141,13.4,-46.3,-0.010,1
142,13.4,-46.3,-0.049,1
143,13.4,-46.3,-0.015,1
144,13.4,-46.3,0.024,1
145,13.4,-46.3,0.051,1
146,13.4,-46.3,0.078,1
147,13.4,-46.3,-0.002,1
148,13.0,-46.3,-0.014,1
149,11.9,-46.3,0.106,1
150,11.5,-46.4,0.226,1
151,10.4,-47.2,0.211,1
152,9.5,-48.5,0.163,1
153,9.2,-50.4,0.066,1
154,9.2,-50.4,-0.004,1
155,9.2,-50.4,0.026,1
156,9.2,-50.4,0.125,1
157,9.2,-50.4,0.103,1
158,9.2,-50.4,0.129,1
159,9.2,-50.4,0.128,1
160,9.1,-50.5,0.008,1
161,9.1,-50.5,-0.112,1
162,9.2,-50.4,-0.129,1
163,9.2,-50.4,-0.009,1
164,9.2,-50.4,0.055,1
165,7.8,-50.3,-0.065,1
166,4.8,-50.3,0.042,1
167,2.0,-50.3,0.001,1
168,-0.6,-50.3,-0.022,1
169,-3.0,-50.3,-0.120,1
170,-5.1,-50.3,-0.149,1
171,-6.8,-50.3,-0.269,1
172,-8.1,-50.2,-0.303,1
173,-9.2,-50.5,-0.230,1
174,-9.9,-51.5,-0.141,1
175,-10.8,-52.3,-0.258,1
176,-11.6,-52.2,-0.249,1
177,-12.3,-52.1,-0.279,1
178,-13.1,-52.0,-0.333,1
179,-13.9,-51.9,-0.213,1
180,-14.6,-51.8,-0.218,1
181,-15.4,-51.8,-0.303,1
182,-16.3,-51.7,-0.282,1
183,-16.8,-51.6,-0.298,1
184,-17.5,-51.5,-0.287,1
185,-18.3,-51.5,-0.251,1
186,-19.0,-49.3,-0.253,1
187,-19.7,-45.4,-0.291,1
188,-20.4,-41.0,-0.248,1
189,-21.1,-36.0,-0.368,1
190,-21.8,-30.8,-0.488,1
191,-22.4,-25.6,-0.480,1
192,-23.0,-20.6,-0.504,0
193,-23.6,-16.1,-0.494,0
194,-24.1,-11.9,-0.415,0
195,-24.7,-8.2,-0.470,0
196,-25.4,-4.6,-0.481,0
197,-26.0,-1.3,-0.433,0
198,-26.6,1.9,-0.387,0
199,-27.2,5.0,-0.267,0
200,-27.8,7.9,-0.147,0
201,-28.5,10.6,-0.138,0
202,-29.3,13.2,-0.168,0
203,-30.2,15.6,-0.201,0
204,-31.1,18.0,-0.109,0
205,-32.0,20.3,-0.039,0
206,-33.0,22.6,0.081,0
207,-34.1,24.7,0.201,0
208,-35.1,26.8,0.173,0
209,-36.3,28.8,0.293,0
210,-37.4,30.8,0.413,0
211,-38.5,32.7,0.533,0
212,-39.7,34.6,0.567,0
213,-41.0,36.3,0.447,0
214,-42.2,38.0,0.567,0
215,-43.4,39.7,0.447,0
216,-44.8,41.3,0.349,0
217,-46.1,42.9,0.229,0
218,-47.3,44.6,0.109,0
219,-48.5,46.5,-0.011,0
220,-49.6,48.3,-0.131,0
221,-50.7,50.2,-0.251,0
222,-51.8,52.1,-0.371,1
223,-52.9,54.0,-0.491,1
224,-53.9,56.0,-0.600,1
225,-54.9,58.0,-0.600,1
226,-55.8,60.1,-0.600,1
227,-56.6,62.2,-0.600,1
228,-57.5,64.3,-0.600,1
229,-58.5,66.3,-0.600,1
230,-59.4,68.4,-0.600,1
231,-60.3,70.5,-0.600,1
232,-61.2,72.6,-0.600,1
233,-62.1,74.7,-0.600,1
234,-63.1,76.7,-0.600,1
235,-64.0,78.8,-0.600,1
236,-65.0,80.8,-0.600,1
237,-66.0,82.8,-0.600,1
238,-67.0,84.8,-0.600,1
239,-68.0,86.8,-0.600,1
240,-69.0,88.9,-0.600,1
241,-69.9,90.9,-0.600,1
242,-70.8,93.0,-0.600,1
243,-71.8,95.0,-0.600,1
244,-72.8,97.1,-0.600,1
245,-73.8,99.2,-0.600,1
246,-74.8,101.1,-0.600,1
247,-75.7,103.2,-0.600,1
248,-76.7,104.6,-0.600,1
249,-77.1,104.7,-0.600,1
250,-76.9,104.9,-0.600,1
251,-76.8,105.0,-0.600,1
252,-76.6,105.2,-0.600,1
253,-76.5,105.3,-0.600,1
254,-76.3,105.5,-0.600,1
255,-76.1,105.6,-0.600,1
256,-76.9,105.9,-0.600,1
257,-78.0,106.0,-0.600,1
258,-79.1,106.3,-0.600,1
259,-80.2,106.5,-0.600,1
260,-81.4,106.8,-0.600,1
261,-82.5,107.0,-0.600,1
262,-83.6,107.3,-0.600,1
263,-84.6,107.5,-0.600,1
264,-85.7,107.7,-0.600,1
