step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,15.9,-8.4,-0.047,0,0.100,4.647,5.004,0,0.670,318.0,0,0,1
2,15.7,-7.9,-0.001,0,0.200,4.632,5.034,0,0.680,317.5,0,0,1
3,15.2,-7.6,-0.018,0,0.300,4.592,5.053,0,0.672,317.4,0,0,1
4,14.7,-7.3,-0.036,0,0.400,4.533,5.071,0,0.742,318.4,0,0,1
5,14.1,-7.0,0.012,0,0.500,4.449,5.083,0,0.508,319.6,0,0,1
6,13.7,-6.9,-0.062,0,0.461,4.378,5.084,0,0.461,322.0,0,0,0
7,13.1,-7.0,-0.046,0,0.397,4.284,5.079,0,0.397,325.6,0,0,0
8,12.7,-6.9,0.074,0,0.497,4.189,5.073,0,0.889,328.7,0,0,1
9,11.9,-7.0,0.194,0,0.597,4.086,5.073,0,1.037,331.1,0,0,1
10,11.1,-7.2,0.242,0,0.697,3.994,5.070,0,0.958,331.7,0,0,1
11,10.3,-7.5,0.250,0,0.797,3.906,5.057,0,0.914,336.7,0,0,1
12,8.9,-8.4,0.187,0,0.882,3.771,5.025,0,0.882,339.6,0,0,0
13,7.6,-9.2,0.172,1,0.850,3.666,4.993,0,0.850,342.6,0,0,0
14,5.4,-10.9,0.236,1,0.788,3.538,4.952,0,0.788,344.8,0,0,0
15,3.5,-12.2,0.185,1,0.668,3.403,4.905,0,0.668,350.3,0,0,0
16,1.5,-13.4,0.162,1,0.569,3.254,4.856,0,0.569,356.1,0,0,0
17,0.4,-13.9,0.189,1,0.570,3.155,4.827,0,0.570,362.6,0,0,0
18,-1.2,-14.5,0.069,1,0.670,3.025,4.793,0,0.710,369.8,0,0,1
19,-2.5,-14.9,-0.051,1,0.542,2.918,4.766,0,0.542,377.6,0,0,0
20,-3.6,-15.2,-0.171,1,0.571,2.829,4.742,0,0.571,386.9,0,0,0
21,-4.7,-15.3,-0.234,1,0.508,2.724,4.712,0,0.508,397.2,0,0,0
22,-5.9,-15.3,-0.234,1,0.347,2.621,4.679,0,0.347,405.3,0,0,0
23,-6.9,-15.0,-0.274,1,0.248,2.522,4.645,0,0.248,412.6,0,0,0
24,-7.9,-14.6,-0.307,1,0.239,2.438,4.615,0,0.239,418.3,0,0,0
25,-8.9,-13.9,-0.370,1,0.255,2.368,4.592,0,0.255,424.7,0,0,0
26,-9.8,-13.2,-0.490,1,0.355,2.307,4.567,0,0.436,433.0,0,0,1
27,-10.8,-12.3,-0.600,1,0.322,2.248,4.539,0,0.322,441.9,0,0,0
28,-11.9,-11.0,-0.600,0,0.332,2.179,4.502,0,0.332,449.6,0,0,0
29,-12.6,-9.9,-0.600,0,0.303,2.133,4.475,0,0.303,463.6,0,0,0
30,-13.4,-8.5,-0.600,0,0.000,2.082,4.443,0,0.326,475.9,1,0,0
31,-14.4,-6.8,-0.600,0,0.000,2.030,4.409,0,0.308,480.0,1,0,1
32,-15.2,-5.2,-0.600,0,0.000,2.001,4.392,0,0.305,480.0,1,0,1
33,-15.9,-4.0,-0.600,0,0.000,1.987,4.387,0,0.310,480.0,1,0,1
34,-17.4,-2.7,-0.600,0,0.000,1.974,4.385,0,0.369,480.0,1,0,1
35,-18.5,-1.9,-0.600,0,0.000,1.967,4.384,0,0.361,480.0,1,0,1
36,-19.8,-0.8,-0.600,0,0.000,1.960,4.384,0,0.319,480.0,1,0,1
37,-21.3,0.4,-0.600,0,0.100,1.954,4.384,0,0.315,325.5,0,0,1
38,-22.4,1.3,-0.600,0,0.200,1.950,4.384,0,0.312,326.5,0,0,1
39,-23.6,3.0,-0.600,0,0.300,1.942,4.379,0,0.312,325.2,0,0,1
40,-24.2,4.6,-0.600,0,0.312,1.933,4.371,0,0.312,325.4,0,0,0
41,-24.4,7.0,-0.600,0,0.307,1.917,4.354,0,0.307,325.1,0,0,0
42,-24.5,10.2,-0.600,0,0.292,1.896,4.328,0,0.292,325.2,0,0,0
43,-24.4,12.7,-0.600,0,0.300,1.883,4.311,0,0.300,326.8,0,0,0
44,-24.2,15.7,-0.600,0,0.300,1.869,4.290,0,0.300,329.2,0,0,0
45,-24.0,18.7,-0.600,0,0.298,1.857,4.270,0,0.298,333.8,0,0,0
46,-23.9,22.2,-0.600,0,0.333,1.846,4.248,0,0.333,338.5,0,0,0
47,-23.9,24.7,-0.600,1,0.320,1.839,4.233,0,0.320,0.0,0,0,0
48,-23.8,27.7,-0.600,1,0.420,1.832,4.216,0,0.750,0.0,0,0,1
49,-23.6,30.8,-0.600,1,0.359,1.826,4.200,0,0.359,0.0,0,0,0
50,-23.5,33.9,-0.600,1,0.327,1.820,4.184,0,0.327,0.0,0,0,0
51,-23.2,37.2,-0.600,1,0.362,1.813,4.168,0,0.362,0.0,0,0,0
52,-23.0,40.5,-0.600,1,0.331,1.805,4.156,0,0.331,0.0,0,0,0
53,-23.0,44.2,-0.600,1,0.322,1.790,4.143,0,0.322,0.0,0,0,0
54,-23.1,46.7,-0.480,1,0.279,1.777,4.137,0,0.279,0.0,0,0,0
55,-23.4,50.2,-0.360,1,0.248,1.756,4.132,0,0.248,0.0,0,0,0
56,-23.8,52.5,-0.240,1,0.236,1.740,4.131,0,0.236,0.0,0,0,0
57,-24.5,54.9,-0.120,1,0.243,1.722,4.135,0,0.243,0.0,0,0,0
58,-25.5,57.2,-0.240,1,-0.294,1.701,4.141,0,-0.294,0.0,0,0,0
