step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,-6.3,15.4,-0.120,1,0.100,5.136,4.597,0,1.008,324.8,0,0,1
2,-6.0,14.8,-0.240,1,0.200,5.170,4.548,0,0.947,324.5,0,0,1
3,-5.8,14.2,-0.155,1,0.300,5.204,4.495,0,0.935,322.4,0,0,1
4,-5.8,13.6,-0.191,1,0.400,5.233,4.436,0,0.921,321.8,0,0,1
5,-5.7,13.1,-0.126,1,0.500,5.258,4.371,0,0.878,321.6,0,0,1
6,-5.3,12.8,-0.101,1,0.600,5.275,4.299,0,0.851,322.1,0,0,1
7,-3.7,13.7,-0.118,1,0.700,5.283,4.203,0,0.707,323.2,0,0,1
8,-1.6,15.4,-0.078,1,0.570,5.279,4.125,0,0.570,326.7,0,0,0
9,1.5,18.0,0.042,1,0.670,5.261,4.022,0,0.864,330.6,0,0,1
10,4.1,20.0,-0.029,1,0.770,5.245,3.921,0,0.885,335.9,0,0,1
11,6.6,21.8,-0.126,1,0.668,5.220,3.798,0,0.668,344.1,0,0,0
12,8.9,23.7,-0.120,1,0.768,5.202,3.711,0,0.878,348.1,0,0,1
13,11.9,26.1,-0.149,1,0.743,5.171,3.599,0,0.743,302.7,0,0,0
14,13.7,27.4,-0.080,1,0.756,5.136,3.486,0,0.756,304.7,0,0,0
15,15.2,28.3,-0.075,1,0.603,5.099,3.372,0,0.603,308.4,0,0,0
16,16.4,29.0,-0.067,1,0.513,5.060,3.258,0,0.513,312.9,0,0,0
17,18.0,29.8,-0.107,1,0.434,5.021,3.133,0,0.434,315.8,0,0,0
18,18.9,30.3,-0.105,1,0.390,5.000,3.052,0,0.390,317.0,0,0,0
19,20.1,30.7,0.015,1,0.325,4.978,2.961,0,0.325,317.8,0,0,0
20,21.3,31.0,0.135,1,0.368,4.958,2.875,0,0.368,317.6,0,0,0
21,22.6,31.3,0.255,1,0.336,4.933,2.779,0,0.336,319.3,0,0,0
22,23.5,31.4,0.375,1,0.436,4.912,2.712,0,0.611,0.0,0,0,1
23,24.5,31.5,0.495,1,0.333,4.884,2.632,0,0.333,0.0,0,0,0
24,25.2,31.3,0.379,1,0.433,4.851,2.549,0,0.524,0.0,0,0,1
25,25.7,30.7,0.303,1,0.358,4.820,2.469,0,0.358,0.0,0,0,0
26,26.0,29.8,0.183,1,0.383,4.788,2.391,0,0.383,0.0,0,0,0
27,26.5,29.0,0.063,1,0.344,4.758,2.317,0,0.344,0.0,0,0,0
28,26.9,28.0,0.009,1,0.362,4.729,2.246,0,0.362,0.0,0,0,0
29,27.5,27.0,0.129,0,0.462,4.704,2.181,0,0.537,0.0,0,0,1
30,28.1,25.9,0.108,0,0.417,4.678,2.118,0,0.417,0.0,0,0,0
31,28.6,24.6,-0.012,0,0.517,4.651,2.056,0,0.559,0.0,0,0,1
32,29.2,23.3,-0.132,0,0.412,4.622,1.994,0,0.412,0.0,0,0,0
33,29.7,21.8,-0.252,0,0.377,4.590,1.932,0,0.377,0.0,0,0,0
34,30.5,20.6,-0.372,0,0.387,4.561,1.876,0,0.387,0.0,0,0,0
35,31.4,19.2,-0.492,0,0.000,4.537,1.828,0,0.358,480.0,1,0,0
36,32.6,17.7,-0.600,0,0.000,4.513,1.779,0,0.333,480.0,1,0,1
37,33.7,16.8,-0.600,0,0.000,4.504,1.754,0,0.315,480.0,1,0,1
38,35.1,15.7,-0.600,0,0.000,4.506,1.741,0,0.305,480.0,1,0,1
39,36.2,14.2,-0.480,0,-0.286,4.515,1.737,0,-0.286,480.0,0,0,0
40,37.1,12.6,-0.360,0,-0.286,4.526,1.736,0,-0.286,480.0,0,0,0
41,37.9,10.9,-0.240,0,-0.323,4.542,1.741,0,-0.323,479.8,0,0,0
42,38.3,8.9,-0.120,0,-0.346,4.568,1.760,0,-0.346,479.8,0,0,0
43,38.0,6.2,-0.240,0,0.000,4.599,1.786,0,0.243,479.3,1,0,1
44,37.2,3.1,-0.360,0,0.000,4.632,1.812,0,0.319,480.0,1,0,1
45,36.8,0.3,-0.480,0,0.000,4.659,1.830,0,0.325,480.0,1,0,1
46,37.3,-1.6,-0.600,0,0.000,4.677,1.837,0,0.303,479.6,1,0,1
47,38.2,-3.0,-0.600,0,0.000,4.692,1.841,0,0.309,478.8,1,0,1
48,39.4,-4.2,-0.600,0,0.000,4.708,1.845,0,0.302,478.9,1,0,1
49,40.8,-5.2,-0.600,0,0.000,4.723,1.851,0,0.329,479.2,1,0,1
50,42.1,-6.3,-0.600,0,0.000,4.739,1.856,0,0.305,480.0,1,0,1
51,43.5,-7.2,-0.600,0,0.000,4.756,1.863,0,0.345,479.9,1,0,1
52,44.9,-8.1,-0.600,0,0.000,4.772,1.870,0,0.343,479.4,1,0,1
53,46.4,-9.0,-0.600,0,0.000,4.789,1.878,0,0.322,479.1,1,0,1
54,48.1,-9.7,-0.600,0,0.000,4.807,1.886,0,0.492,479.1,1,0,1
55,50.0,-10.4,-0.600,0,0.000,4.828,1.897,0,0.391,479.0,1,0,1
