step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,17.3,-12.1,-0.031,0,0.100,4.671,4.560,0,0.914,320.0,0,0,1
2,17.2,-11.3,-0.087,0,0.200,4.659,4.513,0,0.915,321.1,0,0,1
3,17.2,-10.2,-0.104,0,0.300,4.626,4.455,0,0.959,322.7,0,0,1
4,17.6,-8.9,-0.096,0,0.400,4.584,4.384,0,0.929,321.6,0,0,1
5,18.4,-7.3,-0.137,0,0.500,4.522,4.299,0,0.889,322.0,0,0,1
6,19.3,-5.7,-0.161,0,0.600,4.441,4.199,0,0.871,324.4,0,0,1
7,20.6,-3.9,-0.161,0,0.700,4.348,4.085,0,0.826,328.5,0,0,1
8,21.3,-2.8,-0.182,0,0.791,4.249,3.963,0,0.791,331.7,0,0,0
9,22.2,-1.8,-0.062,0,0.891,4.128,3.811,0,0.915,334.3,0,0,1
10,23.0,-1.1,0.058,0,0.934,4.033,3.694,0,0.934,339.7,0,0,0
11,23.9,-0.5,0.171,0,0.910,3.909,3.543,0,0.910,346.6,0,0,0
12,24.9,0.2,0.145,0,0.943,3.777,3.383,0,0.943,355.1,0,0,0
13,25.6,0.6,0.116,0,0.955,3.646,3.224,0,0.955,359.2,0,0,0
14,26.2,0.8,-0.004,0,0.794,3.515,3.061,0,0.794,365.1,0,0,0
15,26.9,0.8,-0.063,0,0.749,3.384,2.896,0,0.749,371.7,0,0,0
16,27.9,1.2,-0.097,0,0.601,3.265,2.738,0,0.601,385.1,0,0,0
17,29.4,2.0,-0.099,0,0.495,3.143,2.566,0,0.495,400.7,0,0,0
18,30.7,2.8,-0.132,0,0.464,3.068,2.454,0,0.464,418.1,0,0,0
19,32.1,3.9,-0.012,0,0.247,2.993,2.334,0,0.247,431.2,0,0,0
20,33.8,5.4,0.108,0,0.308,2.931,2.227,0,0.308,439.4,0,0,0
21,35.5,7.3,0.228,0,0.334,2.877,2.131,0,0.334,449.5,0,0,0
22,36.9,9.1,0.348,0,0.000,2.832,2.053,0,0.343,471.2,1,0,0
23,38.2,11.1,0.468,0,0.000,2.792,1.988,0,0.336,479.5,1,0,1
24,39.6,13.6,0.549,0,0.000,2.759,1.933,0,0.333,480.0,1,0,1
25,40.4,15.3,0.531,0,0.000,2.747,1.910,0,0.340,480.0,1,0,1
26,41.4,17.3,0.600,0,0.000,2.738,1.891,0,0.335,480.0,1,0,1
27,42.3,19.5,0.600,0,0.000,2.731,1.876,0,0.326,480.0,1,0,1
28,43.2,21.6,0.600,0,0.100,2.728,1.864,0,0.318,0.0,0,0,1
29,44.1,22.9,0.600,0,0.200,2.725,1.857,0,0.318,0.0,0,0,1
30,44.9,23.9,0.600,0,0.300,2.718,1.845,0,0.349,0.0,0,0,1
31,45.3,24.1,0.600,0,0.338,2.709,1.832,0,0.338,0.0,0,0,0
32,45.5,24.3,0.600,0,0.329,2.692,1.807,0,0.329,0.0,0,0,0
33,45.5,24.3,0.600,0,0.338,2.672,1.779,0,0.338,0.0,0,0,0
34,45.4,24.3,0.600,0,0.334,2.652,1.751,0,0.334,0.0,0,0,0
35,45.3,24.2,0.600,0,0.329,2.633,1.724,0,0.329,0.0,0,0,0
36,45.2,24.1,0.600,0,0.331,2.615,1.698,0,0.331,0.0,0,0,0
37,45.0,24.2,0.600,0,0.326,2.595,1.670,0,0.326,0.0,0,0,0
38,44.9,24.2,0.600,0,0.317,2.579,1.647,0,0.317,0.0,0,0,0
39,44.7,23.8,0.600,0,-0.316,2.567,1.627,0,-0.316,0.0,0,0,0
40,44.5,23.7,0.600,0,0.100,2.553,1.607,0,0.225,0.0,0,0,1
41,44.5,24.0,0.600,0,-0.336,2.542,1.592,0,-0.336,0.0,0,0,0
42,44.6,24.0,0.600,0,-0.330,2.542,1.587,0,-0.330,0.0,0,0,0
43,45.8,25.5,0.600,0,0.100,2.555,1.603,0,0.285,0.0,0,0,1
44,46.9,26.5,0.480,0,0.200,2.573,1.622,0,0.379,0.0,0,0,1
45,48.4,28.1,0.360,0,0.300,2.591,1.644,0,0.362,0.0,0,0,1
46,49.4,29.4,0.480,0,0.289,2.603,1.658,0,0.289,0.0,0,0,0
47,49.3,29.2,0.360,0,0.196,2.604,1.656,0,0.196,0.0,0,0,0
48,48.7,27.8,0.240,0,0.223,2.602,1.640,0,0.223,0.0,0,0,0
49,48.4,26.3,0.360,0,0.323,2.601,1.622,0,0.337,0.0,0,0,1
50,48.5,25.1,0.240,0,0.286,2.599,1.605,0,0.286,0.0,0,0,0
51,48.5,23.9,0.360,0,0.329,2.594,1.585,0,0.329,0.0,0,0,0
52,48.4,22.6,0.480,0,0.306,2.588,1.564,0,0.306,0.0,0,0,0
53,48.3,21.1,0.600,0,-0.144,2.576,1.538,0,-0.144,0.0,0,0,0
54,48.0,19.6,0.600,0,-0.286,2.565,1.513,0,-0.286,479.2,0,0,0
55,48.0,18.3,0.600,0,0.000,2.559,1.496,0,0.321,479.0,1,0,1
56,48.8,17.8,0.600,0,0.000,2.560,1.492,0,0.251,478.9,1,0,1
57,49.8,17.5,0.600,0,0.000,2.562,1.490,0,0.128,478.9,1,0,1
58,50.7,19.6,0.600,0,-0.032,2.563,1.473,0,-0.032,479.0,0,0,0
59,51.7,22.4,0.480,0,0.100,2.567,1.465,0,0.318,0.0,0,0,1
60,52.8,23.6,0.360,0,0.200,2.575,1.465,0,0.301,0.0,0,0,1
61,53.6,23.4,0.240,0,0.300,2.578,1.462,0,0.324,0.0,0,0,1
62,53.9,22.4,0.120,0,0.315,2.575,1.449,0,0.315,0.0,0,0,0
63,53.7,20.9,0.000,0,0.309,2.565,1.427,0,0.309,0.0,0,0,0
64,53.6,20.5,-0.120,0,0.311,2.553,1.393,0,0.311,0.0,0,0,0
65,53.7,22.3,-0.240,0,0.304,2.542,1.336,0,0.304,0.0,0,0,0
66,54.1,24.5,-0.360,0,0.305,2.532,1.277,0,0.305,0.0,0,0,0
67,54.7,27.1,-0.480,0,0.316,2.525,1.216,0,0.316,0.0,0,0,0
68,55.6,27.9,-0.600,0,0.374,2.518,1.179,0,0.374,0.0,0,0,0
69,56.8,27.9,-0.600,0,0.274,2.512,1.156,0,0.274,0.0,0,0,0
70,58.5,28.3,-0.600,0,-0.323,2.501,1.123,0,-0.323,0.0,0,0,0
71,60.2,28.9,-0.480,0,-0.437,2.494,1.098,0,-0.437,0.0,0,0,0
72,61.7,29.4,-0.600,0,-0.388,2.494,1.088,0,-0.388,0.0,0,0,0
73,63.2,29.6,-0.600,0,-0.474,2.501,1.089,0,-0.474,0.0,0,0,0
74,64.4,29.5,-0.600,0,-0.412,2.514,1.105,0,-0.412,0.0,0,0,0
75,65.3,29.0,-0.600,0,0.100,2.528,1.127,0,0.272,0.0,0,0,1
76,65.9,29.8,-0.600,0,-0.293,2.543,1.168,0,-0.293,0.0,0,0,0
77,66.3,31.3,-0.540,0,-0.420,2.552,1.205,0,-0.420,0.0,0,0,0
78,67.0,30.7,-0.420,0,0.100,2.564,1.220,0,0.272,0.0,0,0,1
79,67.7,30.0,-0.540,0,0.200,2.577,1.239,0,0.286,0.0,0,0,1
80,68.3,29.5,-0.600,0,0.294,2.581,1.244,0,0.294,0.0,0,0,0
81,70.0,31.7,-0.600,0,0.289,2.582,1.247,0,0.289,0.0,0,0,0
82,72.9,37.0,-0.600,0,0.283,2.584,1.247,0,0.283,0.0,0,0,0
83,77.0,43.6,-0.600,0,0.289,2.587,1.239,0,0.289,0.0,0,0,0
84,81.7,51.0,-0.600,0,0.301,2.594,1.228,0,0.301,0.0,0,0,0
85,86.5,58.8,-0.600,0,0.302,2.605,1.215,0,0.302,0.0,0,0,0
86,92.2,68.1,-0.600,0,0.296,2.624,1.201,0,0.296,0.0,0,0,0
87,96.2,72.3,-0.600,0,0.315,2.641,1.193,0,0.315,0.0,0,0,0
88,100.8,76.4,-0.600,0,0.304,2.662,1.185,0,0.304,0.0,0,0,0
89,105.2,80.5,-0.600,0,0.318,2.684,1.180,0,0.318,0.0,0,0,0
90,109.6,84.5,-0.600,0,0.362,2.708,1.176,0,0.362,0.0,0,0,0
91,114.0,88.6,-0.600,0,0.388,2.733,1.175,0,0.388,0.0,0,0,0
92,118.4,92.9,-0.600,0,0.342,2.762,1.175,0,0.342,0.0,0,0,0
93,123.7,98.1,-0.600,0,0.328,2.795,1.179,0,0.328,0.0,0,0,0
94,127.8,102.2,-0.600,0,0.325,2.821,1.185,0,0.325,0.0,0,0,0
95,131.2,105.7,-0.600,0,0.316,2.840,1.204,0,0.316,0.0,0,0,0
96,135.1,109.5,-0.600,0,0.308,2.860,1.213,0,0.308,0.0,0,0,0
97,139.0,113.2,-0.600,0,0.303,2.877,1.225,0,0.303,0.0,0,0,0
98,142.7,118.5,-0.600,0,0.298,2.891,1.290,0,0.298,0.0,0,0,0
99,146.8,124.7,-0.600,0,0.333,2.902,1.378,0,0.333,0.0,0,0,0
100,149.5,129.0,-0.600,0,0.315,2.907,1.441,0,0.315,0.0,0,0,0
101,152.9,134.1,-0.600,0,0.310,2.911,1.516,0,0.310,0.0,0,0,0
102,156.2,137.3,-0.600,0,0.300,2.914,1.547,0,0.300,0.0,0,0,0
103,159.5,140.1,-0.600,0,0.302,2.919,1.570,0,0.302,0.0,0,0,0
104,162.7,143.1,-0.600,0,0.297,2.926,1.605,0,0.297,0.0,0,0,0
105,165.8,146.7,-0.600,0,0.297,2.934,1.702,0,0.297,0.0,0,0,0
106,169.3,150.2,-0.600,0,0.294,2.944,1.819,0,0.294,0.0,0,0,0
107,171.8,152.4,-0.600,0,0.302,2.953,1.905,0,0.302,0.0,0,0,0
108,174.7,154.8,-0.600,0,0.314,2.964,2.010,0,0.314,0.0,0,0,0
109,177.7,156.9,-0.600,0,0.297,2.977,2.116,0,0.297,0.0,0,0,0
110,-179.3,158.8,-0.600,0,0.312,2.991,2.221,0,0.312,0.0,0,0,0
111,-176.4,160.4,-0.600,0,0.304,3.006,2.325,0,0.304,0.0,0,0,0
112,-173.5,161.9,-0.600,0,0.307,3.022,2.427,0,0.307,0.0,0,0,0
113,-170.6,163.3,-0.600,0,0.294,3.038,2.524,0,0.294,0.0,0,0,0
114,-167.7,164.5,-0.600,0,0.280,3.055,2.621,0,0.280,0.0,0,0,0
115,-164.4,166.2,-0.600,1,0.287,3.075,2.738,0,0.287,0.0,0,0,0
116,-162.2,167.4,-0.600,1,0.291,3.088,2.823,0,0.291,0.0,0,0,0
117,-159.5,169.1,-0.600,1,0.287,3.105,2.928,0,0.287,0.0,0,0,0
118,-156.7,171.0,-0.600,1,0.308,3.122,3.034,0,0.308,0.0,0,0,0
119,-153.6,173.3,-0.600,1,0.318,3.143,3.159,0,0.318,0.0,0,0,0
120,-151.3,175.1,-0.600,1,0.351,3.159,3.248,0,0.351,0.0,0,0,0
121,-148.2,177.9,-0.600,1,0.334,3.182,3.373,0,0.334,0.0,0,0,0
122,-146.0,179.8,-0.600,1,0.325,3.200,3.463,0,0.325,0.0,0,0,0
123,-143.3,-177.7,-0.600,1,0.314,3.221,3.569,0,0.314,0.0,0,0,0
124,-140.5,-175.0,-0.600,1,0.307,3.242,3.671,0,0.307,0.0,0,0,0
