step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,-9.2,17.4,0.120,1,0.100,4.588,4.665,0,0.930,321.7,0,0,1
2,-8.5,18.2,0.094,1,0.200,4.554,4.656,0,0.889,321.0,0,0,1
3,-7.8,19.4,0.044,1,0.300,4.511,4.633,0,0.824,321.8,0,0,1
4,-6.7,21.1,-0.033,1,0.400,4.444,4.588,0,0.812,323.5,0,0,1
5,-5.7,22.6,0.057,1,0.500,4.385,4.544,0,0.823,328.1,0,0,1
6,-4.4,24.5,0.035,1,0.600,4.303,4.477,0,0.842,319.1,0,0,1
7,-3.3,26.4,0.088,1,0.700,4.207,4.395,0,0.821,318.8,0,0,1
8,-3.0,27.5,0.113,1,0.800,4.107,4.306,0,0.814,318.6,0,0,1
9,-3.2,28.1,-0.007,1,0.900,4.001,4.209,0,0.907,325.2,0,0,1
10,-3.3,28.8,0.000,1,0.993,3.882,4.093,0,0.993,332.0,0,0,0
11,-3.3,29.7,-0.007,1,1.000,3.750,3.961,0,1.009,337.1,0,0,0
12,-3.5,30.6,-0.074,1,0.871,3.607,3.817,0,0.871,343.1,0,0,0
13,-3.1,32.1,-0.077,1,0.761,3.459,3.671,0,0.761,349.5,0,0,0
14,-2.9,33.4,-0.088,1,0.724,3.318,3.534,0,0.724,356.4,0,0,0
15,-2.4,35.1,-0.075,1,0.675,3.183,3.404,0,0.675,366.7,0,0,0
16,-1.8,36.9,-0.048,1,0.593,3.056,3.284,0,0.593,375.8,0,0,0
17,-1.1,38.9,0.050,1,0.661,2.935,3.171,0,0.661,381.3,0,0,0
18,-0.2,40.9,0.055,1,0.626,2.819,3.066,0,0.626,386.6,0,0,0
19,0.6,43.4,0.073,1,0.475,2.683,2.946,0,0.475,391.9,0,0,0
20,1.3,45.2,0.193,1,0.498,2.587,2.864,0,0.498,401.4,0,0,0
21,2.0,47.6,0.145,1,0.466,2.458,2.758,0,0.466,414.0,0,0,0
22,2.5,49.3,0.147,1,0.452,2.372,2.689,0,0.452,429.3,0,0,0
23,3.1,51.3,0.139,1,0.420,2.272,2.612,0,0.420,443.7,0,0,0
24,3.7,53.4,0.193,1,0.386,2.176,2.542,0,0.386,457.0,0,0,0
25,4.3,55.5,0.210,1,0.364,2.083,2.483,0,0.364,465.3,0,0,0
26,4.8,58.1,0.236,1,0.000,1.996,2.427,0,0.334,472.3,1,0,0
27,4.6,60.0,0.261,1,0.000,1.967,2.395,0,0.212,478.2,1,0,1
28,4.4,62.1,0.275,1,0.000,1.942,2.368,0,0.185,480.0,1,0,1
29,4.7,64.1,0.395,1,0.000,1.920,2.354,0,0.216,480.0,1,0,1
30,6.1,66.1,0.423,1,0.000,1.884,2.345,0,0.142,480.0,1,0,1
31,7.7,68.0,0.430,1,0.000,1.855,2.331,0,0.165,480.0,1,0,1
