step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,12.1,-17.3,-0.120,1,0.100,4.564,4.668,0,0.905,322.4,0,0,1
2,11.3,-17.4,-0.185,1,0.200,4.519,4.667,0,0.916,323.2,0,0,1
3,10.3,-17.3,-0.188,1,0.300,4.463,4.630,0,0.878,321.8,0,0,1
4,9.1,-17.5,-0.112,1,0.400,4.394,4.567,0,0.755,321.0,0,0,1
5,7.2,-18.2,-0.039,1,0.500,4.296,4.478,0,0.692,322.0,0,0,1
6,5.7,-19.1,0.012,1,0.600,4.214,4.404,0,0.688,324.6,0,0,1
7,3.9,-20.4,0.053,1,0.542,4.103,4.304,0,0.542,330.4,0,0,0
8,2.0,-21.9,0.029,1,0.461,3.981,4.194,0,0.461,334.7,0,0,0
9,1.2,-22.4,-0.091,1,0.561,3.864,4.092,0,1.022,336.0,0,0,1
10,-0.4,-24.0,-0.211,1,0.661,3.747,3.987,0,0.963,338.6,0,0,1
11,-2.1,-26.0,-0.331,1,0.761,3.624,3.877,0,0.995,343.1,0,0,1
12,-2.9,-27.2,-0.363,1,0.861,3.493,3.765,0,0.990,349.6,0,0,1
13,-3.3,-28.6,-0.317,1,0.961,3.324,3.620,0,0.965,353.7,0,0,1
14,-3.3,-29.6,-0.346,1,0.960,3.195,3.510,0,0.960,359.1,0,0,0
15,-3.2,-30.9,-0.397,1,0.931,3.037,3.375,0,0.931,364.5,0,0,0
16,-2.7,-32.1,-0.434,1,0.726,2.879,3.238,0,0.726,375.9,0,0,0
17,-1.7,-33.2,-0.405,1,0.631,2.725,3.101,0,0.631,393.2,0,0,0
18,-0.1,-33.8,-0.352,1,0.556,2.583,2.973,0,0.556,410.8,0,0,0
19,1.9,-34.1,-0.232,1,0.233,2.454,2.856,0,0.233,424.2,0,0,0
20,3.9,-34.4,-0.251,1,0.293,2.332,2.748,0,0.293,431.5,0,0,0
21,5.8,-34.9,-0.267,1,0.290,2.217,2.646,0,0.290,440.4,0,0,0
22,7.7,-35.3,-0.244,1,0.313,2.116,2.558,0,0.313,451.4,0,0,0
23,9.9,-35.9,-0.198,1,0.282,2.006,2.465,0,0.282,461.6,0,0,0
24,11.5,-36.5,-0.078,1,0.000,1.927,2.402,0,0.278,470.0,1,0,0
25,13.5,-37.3,-0.039,1,0.000,1.835,2.333,0,0.288,477.4,1,0,1
26,14.1,-38.4,-0.041,1,0.000,1.819,2.277,0,0.299,480.0,1,0,1
27,14.2,-39.6,-0.059,1,0.000,1.814,2.233,0,0.298,480.0,1,0,1
28,14.3,-40.9,-0.087,1,0.000,1.813,2.196,0,0.309,480.0,1,0,1
29,14.3,-42.6,0.033,1,0.000,1.812,2.157,0,0.208,480.0,1,0,1
30,14.4,-44.1,0.153,1,0.000,1.812,2.127,0,0.202,480.0,1,0,1
