step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,-15.8,16.6,-0.120,1,0.100,4.688,4.689,0,0.881,319.3,0,0,1
2,-16.5,16.5,-0.240,1,0.200,4.682,4.675,0,0.797,318.9,0,0,1
3,-17.1,15.9,-0.280,0,0.300,4.669,4.628,0,0.740,320.0,0,0,1
4,-17.6,15.7,-0.272,0,0.400,4.646,4.572,0,0.674,322.1,0,0,1
5,-17.6,16.0,-0.344,0,0.500,4.611,4.505,0,0.660,324.1,0,0,1
6,-16.5,17.6,-0.293,1,0.559,4.553,4.412,0,0.559,327.4,0,0,0
7,-14.9,19.7,-0.237,1,0.500,4.498,4.334,0,0.500,329.2,0,0,0
8,-12.6,22.6,-0.218,1,0.455,4.421,4.233,0,0.455,333.3,0,0,0
9,-10.6,25.3,-0.098,1,0.555,4.340,4.131,0,0.825,326.7,0,0,1
10,-8.7,28.1,0.022,1,0.655,4.254,4.029,0,0.859,325.5,0,0,1
11,-6.9,30.9,0.142,1,0.755,4.145,3.906,0,0.892,325.9,0,0,1
12,-5.6,33.3,0.092,1,0.851,4.041,3.794,0,0.851,325.8,0,0,0
13,-4.4,35.9,0.049,1,0.850,3.927,3.674,0,0.850,327.4,0,0,0
14,-4.0,37.5,0.004,1,0.864,3.828,3.574,0,0.864,331.4,0,0,0
15,-3.8,39.4,-0.037,1,0.863,3.701,3.448,0,0.863,334.7,0,0,0
16,-3.9,41.4,-0.058,1,0.824,3.550,3.301,0,0.824,338.8,0,0,0
17,-4.2,42.7,-0.119,1,0.802,3.441,3.196,0,0.802,346.2,0,0,0
18,-4.5,44.5,-0.158,1,0.626,3.313,3.074,0,0.626,353.0,0,0,0
19,-4.7,46.5,-0.117,1,0.726,3.188,2.957,0,1.000,361.5,0,0,1
20,-5.0,48.5,-0.174,1,0.826,3.073,2.848,0,0.989,367.0,0,0,1
21,-5.4,50.4,-0.166,1,0.926,2.961,2.743,0,0.949,378.8,0,0,1
22,-5.9,52.7,-0.214,1,0.797,2.839,2.634,0,0.797,387.9,0,0,0
23,-6.4,55.3,-0.331,1,0.649,2.711,2.525,0,0.649,398.2,0,0,0
24,-6.9,58.3,-0.328,1,0.541,2.587,2.426,0,0.541,409.5,0,0,0
25,-7.3,61.6,-0.339,1,0.542,2.477,2.342,0,0.542,421.2,0,0,0
26,-7.8,64.9,-0.312,1,0.457,2.385,2.273,0,0.457,433.8,0,0,0
27,-8.4,68.3,-0.245,1,0.285,2.304,2.214,0,0.285,447.4,0,0,0
28,-9.2,71.8,-0.260,1,0.260,2.235,2.166,0,0.260,460.9,0,0,0
29,-10.1,75.0,-0.307,1,0.000,2.182,2.129,0,0.270,474.3,1,0,0
30,-11.2,78.0,-0.273,1,0.000,2.141,2.100,0,0.188,480.0,1,0,1
31,-12.4,81.4,-0.251,1,0.000,2.106,2.074,0,0.198,480.0,1,0,1
32,-13.6,83.2,-0.208,1,0.000,2.095,2.061,0,0.171,480.0,1,0,1
33,-15.1,85.1,-0.152,1,0.000,2.088,2.049,0,0.053,480.0,1,0,0
34,-16.7,87.0,-0.272,1,0.000,2.085,2.039,0,0.336,480.0,1,0,1
35,-18.3,88.8,-0.392,1,0.000,2.084,2.031,0,0.297,480.0,1,0,1
36,-19.8,90.7,-0.512,1,0.000,2.083,2.026,0,0.328,480.0,1,0,1
37,-21.3,92.7,-0.600,1,0.100,2.084,2.022,0,0.292,0.0,0,0,1
38,-23.0,95.1,-0.543,1,0.200,2.084,2.020,0,0.243,0.0,0,0,1
39,-24.1,97.2,-0.600,1,0.300,2.081,2.021,0,0.336,0.0,0,0,1
40,-25.2,100.1,-0.600,1,0.320,2.072,2.026,0,0.320,0.0,0,0,0
41,-26.2,103.4,-0.600,1,0.288,2.059,2.034,0,0.288,0.0,0,0,0
42,-27.1,107.0,-0.490,1,0.025,2.044,2.047,0,0.025,0.0,0,0,0
43,-27.8,110.9,-0.574,1,-0.187,2.031,2.063,0,-0.187,0.0,0,0,0
44,-28.7,114.7,-0.600,1,0.100,2.029,2.081,0,0.347,0.0,0,0,1
45,-29.6,116.8,-0.600,1,0.200,2.037,2.089,0,0.322,0.0,0,0,1
46,-30.9,119.0,-0.600,1,0.300,2.040,2.102,0,0.302,0.0,0,0,1
47,-31.8,122.0,-0.600,1,0.312,2.031,2.119,0,0.312,0.0,0,0,0
48,-32.3,125.7,-0.600,1,0.366,2.009,2.140,0,0.366,0.0,0,0,0
49,-32.6,129.9,-0.600,1,0.301,1.980,2.160,0,0.301,0.0,0,0,0
50,-32.7,134.4,-0.600,1,0.288,1.942,2.182,0,0.288,0.0,0,0,0
