step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,15.8,-15.1,-0.058,0,0.100,4.606,4.663,0,0.793,320.6,0,0,1
2,15.2,-14.5,-0.091,0,0.200,4.564,4.624,0,0.681,324.0,0,0,1
3,14.7,-13.6,-0.114,0,0.300,4.504,4.567,0,0.649,324.7,0,0,1
4,14.6,-12.5,-0.073,0,0.400,4.430,4.498,0,0.636,325.7,0,0,1
5,14.9,-11.1,-0.094,0,0.500,4.343,4.416,0,0.612,326.1,0,0,1
6,15.5,-9.7,-0.076,0,0.553,4.241,4.320,0,0.553,326.9,0,0,0
7,16.6,-7.9,-0.053,0,0.501,4.106,4.191,0,0.501,331.1,0,0,0
8,17.1,-7.1,0.037,0,0.601,4.006,4.094,0,0.914,333.8,0,0,1
9,16.1,-7.8,0.143,0,0.701,3.890,3.979,0,0.889,334.1,0,0,1
10,16.2,-7.7,0.172,0,0.801,3.760,3.855,0,0.887,342.0,0,0,1
11,16.6,-7.5,0.175,0,0.804,3.624,3.724,0,0.804,350.6,0,0,0
12,16.8,-7.7,0.120,0,0.811,3.477,3.583,0,0.811,357.0,0,0,0
13,16.6,-8.5,0.165,0,0.789,3.325,3.437,0,0.789,360.8,0,0,0
14,16.6,-9.2,0.136,0,0.762,3.168,3.286,0,0.762,365.2,0,0,0
15,16.4,-10.0,0.139,0,0.668,3.014,3.138,0,0.668,370.5,0,0,0
16,16.4,-10.8,0.094,0,0.647,2.861,2.992,0,0.647,377.4,0,0,0
17,16.2,-11.8,0.037,0,0.587,2.714,2.852,0,0.587,388.2,0,0,0
18,16.0,-12.9,0.157,0,0.453,2.547,2.695,0,0.453,397.7,0,0,0
19,15.9,-13.6,0.186,0,0.425,2.432,2.586,0,0.425,414.9,0,0,0
20,15.6,-14.5,0.178,0,0.353,2.301,2.463,0,0.353,434.6,0,0,0
21,14.9,-15.7,0.164,1,0.359,2.165,2.336,0,0.359,457.9,0,0,0
22,14.9,-16.1,0.116,1,0.000,2.134,2.305,0,0.352,473.6,1,0,0
23,15.0,-16.6,0.117,1,0.000,2.100,2.272,0,0.353,480.0,1,0,1
24,14.7,-17.9,0.164,1,0.000,2.024,2.203,0,0.347,480.0,1,0,1
25,14.1,-19.5,0.131,1,0.000,1.951,2.146,0,0.364,480.0,1,0,1
26,13.1,-21.2,0.097,1,0.000,1.875,2.104,0,0.359,480.0,1,0,1
27,11.8,-23.3,0.104,1,0.000,1.803,2.066,0,0.328,480.0,1,0,1
28,10.3,-25.3,0.043,1,0.000,1.738,2.045,0,0.135,480.0,1,0,1
29,9.0,-27.0,-0.026,1,0.000,1.698,2.035,0,0.153,480.0,1,0,1
30,6.9,-29.1,0.094,1,0.000,1.645,2.032,0,0.243,480.0,1,0,1
31,4.5,-31.1,0.146,1,0.000,1.601,2.040,0,0.258,480.0,1,0,1
32,2.3,-33.1,0.148,1,0.000,1.572,2.053,0,0.297,480.0,1,0,1
33,-0.2,-35.3,0.116,1,0.000,1.549,2.066,0,0.304,480.0,1,0,1
34,-2.6,-37.3,0.094,1,0.000,1.535,2.079,0,0.288,480.0,1,0,1
35,-5.1,-39.2,0.084,1,0.000,1.527,2.092,0,0.276,480.0,1,0,1
36,-7.2,-41.2,0.082,1,0.000,1.523,2.105,0,0.271,480.0,1,0,1
37,-9.7,-43.2,0.060,1,0.000,1.522,2.118,0,0.286,479.5,1,0,1
38,-11.7,-45.1,-0.060,1,0.000,1.522,2.130,0,0.130,477.6,1,0,1
39,-14.3,-47.1,-0.180,1,-0.344,1.525,2.143,0,-0.344,478.1,0,0,0
40,-16.3,-48.9,-0.268,1,-0.322,1.530,2.156,0,-0.322,478.4,0,0,0
41,-18.5,-50.5,-0.264,1,-0.056,1.546,2.175,0,-0.056,478.8,0,0,0
42,-19.9,-51.6,-0.147,1,-0.215,1.573,2.200,0,-0.215,0.0,0,0,0
43,-21.5,-53.0,-0.219,1,-0.112,1.596,2.222,0,-0.112,0.0,0,0,0
44,-21.1,-54.3,-0.301,1,-0.005,1.612,2.241,0,-0.005,0.0,0,0,0
45,-20.9,-55.9,-0.276,1,-0.046,1.624,2.251,0,-0.046,0.0,0,0,0
46,-20.8,-57.6,-0.311,1,-0.360,1.628,2.252,0,-0.360,0.0,0,0,0
47,-20.7,-59.3,-0.315,1,-0.351,1.633,2.249,0,-0.351,0.0,0,0,0
48,-20.4,-60.7,-0.435,1,0.100,1.646,2.246,0,0.314,0.0,0,0,1
49,-20.0,-61.9,-0.555,1,-0.230,1.668,2.243,0,-0.230,0.0,0,0,0
50,-19.7,-63.1,-0.600,1,-0.316,1.689,2.236,0,-0.316,0.0,0,0,0
51,-19.3,-64.3,-0.600,1,-0.372,1.708,2.222,0,-0.372,0.0,0,0,0
52,-18.8,-65.3,-0.600,1,-0.353,1.729,2.206,0,-0.353,0.0,0,0,0
53,-18.5,-66.3,-0.600,1,-0.376,1.731,2.182,0,-0.376,479.7,0,0,0
54,-18.9,-66.7,-0.530,1,0.100,1.689,2.164,0,0.294,0.0,0,0,1
55,-18.5,-66.6,-0.482,1,0.097,1.636,2.142,0,0.097,0.0,0,0,0
56,-17.1,-66.6,-0.389,1,0.197,1.609,2.111,0,0.265,0.0,0,0,1
57,-16.3,-67.6,-0.373,1,0.274,1.607,2.076,0,0.274,0.0,0,0,0
58,-15.9,-68.8,-0.429,1,-0.360,1.600,2.044,0,-0.360,0.0,0,0,0
59,-16.9,-70.2,-0.399,1,-0.341,1.536,2.004,0,-0.341,0.0,0,0,0
60,-17.8,-70.8,-0.338,1,-0.200,1.471,1.967,0,-0.200,478.2,0,0,0
61,-18.9,-71.3,-0.327,1,-0.215,1.423,1.935,0,-0.215,479.2,0,0,0
62,-20.5,-71.8,-0.330,1,0.000,1.395,1.909,0,0.155,478.8,1,0,1
63,-23.1,-73.2,-0.248,1,-0.084,1.381,1.886,0,-0.084,0.0,0,0,0
